year,return
2017,0.0
2018,0.0
2019,0.013481766585828447
2020,0.8981057995107347
2021,0.0673323200623186
2022,-0.006345032188246336
2023,0.15062050054694098
2024,0.041277497557217435
2025,-0.014368360097941735
2026,0.0
