extra_publication_lag_days,extra_execution_delay_days,prefinal_cagr,prefinal_dd,prefinal_sharpe,reverse_total_return,reverse_dd,post_2020_cagr,post_2020_total_return,severe_prefinal_cagr,extreme_prefinal_cagr,final_total_return,final_average_gross
0,0,0.13383444123923982,-0.2397261973201944,0.9094354868596205,0.0,0.0,0.045675826989899804,0.2501786154085084,0.12117637163391204,0.10864995663448829,0.0,0.0
0,1,0.13787048983469674,-0.21788897136964447,0.9226136286002927,0.0,0.0,0.04625443107735139,0.25364077894142345,0.1244712006363562,0.1112197701325337,0.0,0.0
0,2,0.13502617527016003,-0.20151600448613238,0.9099231396018194,0.0,0.0,0.047005414053847394,0.2581458307766493,0.12162931764259977,0.10838071431998264,0.0,0.0
1,0,0.1384313311294938,-0.2194758448970593,0.9325757522868533,0.0,0.0,0.046758906785271837,0.2566656394072433,0.1257000282790226,0.11310130429378362,0.0,0.0
1,1,0.13192388869051497,-0.2142453914654222,0.8941184843513638,0.0,0.0,0.04292205780204106,0.23380569834203424,0.11865282304457425,0.10552754507141837,0.0,0.0
1,2,0.1405857606296521,-0.17041400803496187,0.9432836386868838,0.0,0.0,0.0483207829395742,0.26606776447142955,0.12716549944216893,0.11389317631338658,0.0,0.0
3,0,0.13748573843676715,-0.18448413255943197,0.9351519709740691,0.0,0.0,0.045074234671067304,0.24658701342813427,0.12485603603018092,0.11235683061824164,0.0,0.0
3,1,0.12826478145664066,-0.20723625199516382,0.8765640326802351,0.0,0.0,0.037178912435179345,0.20021082664800338,0.1151487367601789,0.1021754324811921,0.0,0.0
3,2,0.13146033159736636,-0.17977128434511203,0.8934434379216563,0.0,0.0,0.045842841827409275,0.25117718723372384,0.11829061815427155,0.10526441263320052,0.0,0.0
5,0,0.12885706070229364,-0.19443157922825782,0.8866841629019004,0.0,0.0,0.042773540246399344,0.2329275667742643,0.11625327426690868,0.10378037159186304,0.0,0.0
5,1,0.12102245846629356,-0.2202614578812797,0.8334461775176553,0.0,0.0,0.03205095303187844,0.1708366763245821,0.10790685668756383,0.09493482297968203,0.0,0.0
5,2,0.13111477791946147,-0.16476632270966063,0.8915745211236815,0.0,0.0,0.045870990360405095,0.2513455484588143,0.11781000875794256,0.10465169496005378,0.0,0.0
