allocation,cadence_days,full_CAGR_pct,full_close_DD_pct,later_return_pct,later_close_DD_pct,later_fills,later_double_cost_return_pct,later_delay_return_pct,later_OKX_return_pct,full_accounting_complete
0.25,1,16.44582216768573,-18.38039573668079,3.760714055963521,-9.543978921258267,482,2.3140669627280452,8.379048560749736,3.703337838218279,true
0.25,3,20.919871464075214,-13.768386716316062,4.666547368780183,-8.081516668642507,227,3.745987914780735,5.831039218426715,4.874040505893351,true
0.25,7,17.73869161144923,-18.265877522406427,7.764861874074258,-5.236900992844095,121,7.1451838868275885,3.618131342114639,7.7779755689457275,true
0.25,14,14.614111801912122,-20.55173041014735,2.098762496149731,-8.247123532524414,75,1.6395502853443489,0.5450073981071668,2.0960858676949634,true
0.5,1,33.10879958000494,-34.041414297415095,6.407284213572395,-18.37399586600281,556,3.493088293423896,16.15402968000097,6.294794722512531,true
0.5,3,43.890325702961675,-24.48164286646164,8.416963473606543,-15.668598713595705,237,6.530205848996484,10.73162997375392,8.849759789076472,true
0.5,7,35.22524432524614,-33.88928808145578,15.34114437540628,-10.344874398797966,128,14.022428825871902,6.343156305797248,15.367860956634761,true
0.5,14,28.99629382954241,-36.87323278150064,3.4046163095151405,-16.069641733543783,78,2.476067527786796,0.05462548531884881,3.401001607985532,true
0.75,1,,-45.79406649435326,7.962568261012093,-26.498378136690658,585,3.590880859839407,23.0159086233471,7.773581110518246,false
0.75,3,,-34.952335412742094,11.222589309633758,-22.78539966749119,246,8.34113840523485,14.71759369970551,11.887324056395565,false
0.75,7,53.0521663456236,-46.567668655729875,22.639569725066867,-15.321655821471126,130,20.557519000967915,8.149635571838054,22.68345242731751,true
0.75,14,42.7476816154386,-49.379732949140255,3.9086670654484568,-23.494047644738647,80,2.512468472679674,-1.3609158102552255,3.9044612846765636,true
