policy,cadence_days,full_CAGR_pct,full_close_DD_pct,later_return_pct,later_close_DD_pct,later_fills,later_double_cost_return_pct,later_delay_return_pct,later_OKX_return_pct,full_accounting_complete
guarded_ensemble20,7,15.046013817733561,-14.962395424773046,8.642288466009497,-7.3561574193716,130,7.748215541699066,5.895205843802787,8.666350433481561,true
guarded_ensemble20,1,12.388774814961078,-23.832611487683142,6.3220992555544475,-10.309654753553577,593,3.9994499708101205,10.909472988956082,6.913047004841566,true
guarded_ensemble20,3,17.49470307680223,-17.591088314952664,5.985311427404949,-8.288774963735058,247,4.620914235958495,8.688336232706817,6.312183505706237,true
guarded_ensemble20,14,13.321257756659044,-15.85749140701278,1.9360249643657346,-11.23760179520239,79,1.287829471930535,1.7069686944818363,1.9338767709750293,true
guarded_ensemble30,1,17.377236929990225,-33.958896012999595,6.657405621459733,-14.467182483520135,601,3.58239212978384,15.402725547182783,8.140616520807242,true
guarded_ensemble30,3,25.133188543713292,-25.403279884618858,7.580642760415324,-11.988798862110183,248,5.635592311391835,12.434161708008107,8.091828450292304,true
guarded_ensemble30,7,21.64551075038719,-21.82136804721827,11.543535079167476,-10.832594149756513,130,10.274087570196656,6.866099851945728,11.565303324019172,true
guarded_ensemble30,14,18.821483837498953,-23.446162064487808,0.2805813725151429,-16.459516012370923,80,-0.6052077089379826,-0.4460906463691572,0.27479941818471243,true
guarded_raw12620,1,13.430930523262742,-24.509461005354648,6.215373000014401,-9.741455690363454,371,3.945934495043346,11.18734862938313,4.14396561678958,true
guarded_raw12620,3,19.355445106532798,-18.668961245295435,4.7745579123323445,-8.259272075006663,160,3.2227521199088116,7.900092476532095,5.523418788389489,true
guarded_raw12620,7,17.475009216596284,-14.180019467199312,7.664728318463787,-7.494696663134692,78,6.7510777604340655,4.3933997675533965,7.684563718682158,true
guarded_raw12620,14,13.02311020796656,-13.654522458130325,1.3118286906943055,-11.62167825907342,45,0.7275673098591007,0.7176626453387236,1.3054443585140962,true
ensemble_market_gate,1,,-55.046731166211195,8.158343826927084,-33.9647170300064,634,2.3919470658873676,28.708385337549092,7.9511544232167,false
ensemble_market_gate,3,,-42.81510772813396,12.865974944078197,-29.466572777969546,256,8.993169821675838,17.525547049968402,13.776631875421907,false
ensemble_market_gate,7,65.97809415819765,-57.898879822383265,29.574251683038955,-20.170464051840597,129,26.659821525987184,8.93291383796404,29.64884592705015,true
ensemble_market_gate,14,52.17197119733772,-59.8672776789676,3.5824019453071454,-30.532869408475605,79,1.719464436881979,-3.730672818986114,3.578580946283494,true
