candidate,scenario,block_days,positive_probability,above_20_probability,median_return,p05_return,median_max_drawdown,p05_max_drawdown
v8_baseline,stress,14,0.8299,0.472,0.1837138379630916,-0.10470245587544004,-0.11412061427708098,-0.21270113267600155
v8_baseline,stress,30,0.7959,0.4516,0.16874096589991205,-0.12393559927729875,-0.11776092249721254,-0.21035337870868068
v8_baseline,stress,60,0.7583,0.4073,0.14298171731000253,-0.12881450347873855,-0.11753156995426839,-0.20133286593670313
v10_sleeves20,stress,14,0.832,0.4466,0.1715588363596633,-0.09519977767438066,-0.10638784327853684,-0.19861992711323762
v10_sleeves20,stress,30,0.801,0.4279,0.15674972935980303,-0.11185394772437322,-0.10930421836856263,-0.19551658909874903
v10_sleeves20,stress,60,0.7621,0.3898,0.13611674227203607,-0.11768587582601969,-0.10877799106932945,-0.18653245859702886
v8_baseline,severe,14,0.7434,0.3669,0.12452780561340293,-0.15029469789266048,-0.12727310860441948,-0.23828670647251318
v8_baseline,severe,30,0.7058,0.3566,0.11065870970076885,-0.16806081642315576,-0.1309606412580575,-0.23786912645000088
v8_baseline,severe,60,0.6599,0.3227,0.08533697691570175,-0.17233982493020356,-0.1330822012520898,-0.2303780239847005
v10_sleeves20,severe,14,0.7526,0.3461,0.12038548563646723,-0.1352581191697981,-0.11724324824716248,-0.22023731086683865
v10_sleeves20,severe,30,0.7145,0.3387,0.10662827511794482,-0.15091471447987287,-0.12036117281523301,-0.21863178390499688
v10_sleeves20,severe,60,0.6734,0.3078,0.08622945285447914,-0.155612220745562,-0.12194796507494993,-0.2102299377850857
