signal_source,execution_source,period,scenario,return_pct,cagr_pct,max_close_drawdown_pct,order_fills,closed_asset_positions,fees,accounting_complete,liquidity_rejections
binance,binance,2024,base,22.925979551500397,22.873995830259,-9.373637516757894,138,28,60.39091115909686,true,0
binance,binance,later,base,8.642288466009497,5.105631763786933,-7.3561574193716,130,35,58.924458632400665,true,0
binance,binance,full_common,base,33.51521693772228,11.448451120119385,-9.373637516757894,263,60,128.38669098152636,true,0
binance,okx,2024,base,22.9471005444015,22.895064625250928,-9.374949125844367,138,28,60.40098245575851,true,0
binance,okx,later,base,8.65844778609155,5.115023024905696,-7.339128996889244,130,35,58.925947007143215,true,0
binance,okx,full_common,base,33.56095611056313,11.462766944375403,-9.374949125844367,262,60,128.41148363543024,true,0
okx,binance,2024,base,22.555834520989926,22.504764361911,-9.417782016505793,135,26,58.890393624664185,true,0
okx,binance,later,base,8.650175169498153,5.110215324063083,-7.352026699832526,130,35,58.90666543030029,true,0
okx,binance,full_common,base,33.122595774530936,11.325439031198536,-9.417782016505793,260,58,126.66201549031122,true,0
okx,okx,2024,base,22.593406176859343,22.54224339053468,-9.419592357489936,135,26,58.9034865215202,true,0
okx,okx,later,base,8.666350433481561,5.11961557854641,-7.335006473713557,130,35,58.90815466284353,true,0
okx,okx,full_common,base,33.18614123905388,11.345363818485232,-9.419592357489936,259,58,126.69891482688084,true,0
okx,okx,later,double_costs,7.772359720146316,4.5992317928007065,-7.5317425275538525,130,35,117.18992731900742,true,0
okx,okx,full_common,double_costs,31.033939815143885,10.667200697752467,-9.660252597426865,259,58,250.9345040133641,true,0
okx,okx,later,extra_day_delay,5.916361063201836,3.513336395975042,-9.560038298153827,132,34,57.48052921839063,true,0
okx,okx,full_common,extra_day_delay,36.005118839592434,12.22334782531631,-9.560038648815517,271,55,129.55399617380496,true,0
okx,okx,later,capital1000,8.994916022118794,5.310440702270713,-7.344467509499319,100,35,5.83649461261832,true,0
okx,okx,full_common,capital1000,33.95923707810196,11.587294904941704,-9.36137804883127,197,58,12.487605964195556,true,0
