open_time,market_trend_63,breadth_positive_63,breadth_above_100d,market_vol_30,downside_vol_ratio_14_90,average_pairwise_corr_60,cross_sectional_dispersion_20,liquidity_level_20,liquidity_breadth_90,taker_buy_pressure_20,funding_level_14,funding_dispersion_14,drawdown_breadth_90,downside_jump_breadth_5
2021-01-01 00:00:00+00:00,2.4776637715876166,0.5384615384615385,0.23076923076923084,0.6696257881458348,1.5362825180488282,0.648206541556344,0.049981494020269426,18.98966524107312,0.7692307692307693,-0.01711458172937741,0.0008584585714285714,0.0009429031974607169,0.38461538461538464,0.18181818181818182
2021-01-02 00:00:00+00:00,2.4918303448020804,0.8461538461538463,0.23076923076923084,0.669478236424714,1.5463153686836577,0.6309129977939553,0.053423282405956764,18.992867490422825,0.8461538461538461,-0.017929946415055853,0.0008431007142857143,0.0010237254136890692,0.46153846153846156,0.1272727272727273
2021-01-03 00:00:00+00:00,2.644279730665137,0.8461538461538463,0.3846153846153846,0.7074759062662144,1.6114772236749921,0.6057803158326037,0.061076533838972914,19.040178123339956,1.0,-0.018751460196845926,0.00080778,0.001044302944215327,0.38461538461538464,0.2363636363636364
2021-01-04 00:00:00+00:00,2.8260745309664466,0.8461538461538463,0.8461538461538463,0.7702970390266749,1.6549018910127085,0.6016072797138882,0.06435611444221845,19.083426566701238,1.0,-0.019113035972143533,0.0009147178571428571,0.0011299382468753024,0.38461538461538464,0.27272727272727276
2021-01-05 00:00:00+00:00,2.979237832884504,1.0,0.8461538461538463,0.7671930862002304,1.6719723079007296,0.5950743792259205,0.0651615909610894,19.16741022709608,1.0,-0.01942883607996998,0.00117424,0.00134642497554944,0.3076923076923077,0.2545454545454545
2021-01-06 00:00:00+00:00,3.059019734699698,0.8461538461538463,0.8461538461538463,0.7785229021569662,1.697458089948313,0.585068648759692,0.06646661927202537,19.238197567693184,1.0,-0.02012122346745071,0.0012360507142857144,0.001653866005765978,0.3076923076923077,0.2909090909090909
2021-01-07 00:00:00+00:00,3.182681712069173,1.0,0.6923076923076923,0.8045112573660114,1.490141239055038,0.5743418355730591,0.06874175524709257,19.26801577018622,1.0,-0.0204945898260539,0.0015331335714285717,0.0021797855449813344,0.23076923076923078,0.30909090909090914
2021-01-08 00:00:00+00:00,3.1329636324748797,1.0,0.8461538461538463,0.7561657353644359,1.6633350571316226,0.5579005491622785,0.07334645186813657,19.29978478326884,1.0,-0.021664380337158562,0.0017566342857142855,0.0024718746672490388,0.3076923076923077,0.27272727272727276
2021-01-09 00:00:00+00:00,3.03898303448362,1.0,0.8461538461538463,0.7579622177080675,1.6668217687089164,0.5480362500112068,0.07630454785578064,19.349008459726974,1.0,-0.02179801445654056,0.0019050221428571431,0.002504700078451712,0.3076923076923077,0.21818181818181817
2021-01-10 00:00:00+00:00,3.3182149192457113,1.0,0.8461538461538463,0.740720428316111,1.4774890930224376,0.5384311238169176,0.07695604431649669,19.45039440601489,1.0,-0.0217966296790012,0.0020680014285714286,0.002462794587609738,0.07692307692307693,0.16363636363636364
