,deleveraging,transition,rotation,speculative_risk_on,transition_2,calm_risk_on
deleveraging,0.8327464788732394,0.12852112676056338,0.008802816901408451,0.0017605633802816902,0.02640845070422535,0.0017605633802816902
transition,0.10975609756097561,0.837979094076655,0.005226480836236934,0.0017421602787456446,0.04355400696864112,0.0017421602787456446
rotation,0.023809523809523808,0.003401360544217687,0.9081632653061225,0.003401360544217687,0.05782312925170068,0.003401360544217687
speculative_risk_on,0.010869565217391304,0.010869565217391304,0.03260869565217391,0.9021739130434783,0.010869565217391304,0.03260869565217391
transition_2,0.04811715481171548,0.03556485355648536,0.03556485355648536,0.0020920502092050207,0.8765690376569037,0.0020920502092050207
calm_risk_on,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.022935779816513763,0.0045871559633027525,0.9587155963302753
