timestamp,open_hyperliquid,close_hyperliquid
2023-05-01 00:00:00+00:00,0.4703,0.463
2023-05-01 08:00:00+00:00,0.463,0.46
2023-05-01 16:00:00+00:00,0.4599,0.4647
2023-05-02 00:00:00+00:00,0.4646,0.4633
2023-05-02 08:00:00+00:00,0.4633,0.4622
2023-05-02 16:00:00+00:00,0.4621,0.464
2023-05-03 00:00:00+00:00,0.4641,0.458
2023-05-03 08:00:00+00:00,0.458,0.4527
2023-05-03 16:00:00+00:00,0.4527,0.463
2023-05-04 00:00:00+00:00,0.463,0.4613
2023-05-04 08:00:00+00:00,0.4613,0.4558
2023-05-04 16:00:00+00:00,0.4557,0.4606
2023-05-05 00:00:00+00:00,0.4606,0.4606
2023-05-05 08:00:00+00:00,0.4605,0.4626
2023-05-05 16:00:00+00:00,0.4625,0.4668
2023-05-06 00:00:00+00:00,0.4667,0.4618
2023-05-06 08:00:00+00:00,0.4618,0.4539
2023-05-06 16:00:00+00:00,0.4539,0.4579
2023-05-07 00:00:00+00:00,0.458,0.4575
2023-05-07 08:00:00+00:00,0.4574,0.4578
2023-05-07 16:00:00+00:00,0.4578,0.4487
2023-05-08 00:00:00+00:00,0.4486,0.4353
2023-05-08 08:00:00+00:00,0.4354,0.4332
2023-05-08 16:00:00+00:00,0.4332,0.4279
2023-05-09 00:00:00+00:00,0.4279,0.4256
2023-05-09 08:00:00+00:00,0.4256,0.4216
2023-05-09 16:00:00+00:00,0.4216,0.4284
2023-05-10 00:00:00+00:00,0.4283,0.4256
2023-05-10 08:00:00+00:00,0.4256,0.4295
2023-05-10 16:00:00+00:00,0.4294,0.4298
2023-05-11 00:00:00+00:00,0.4298,0.4252
2023-05-11 08:00:00+00:00,0.4251,0.4193
2023-05-11 16:00:00+00:00,0.4193,0.4204
2023-05-12 00:00:00+00:00,0.4204,0.4238
2023-05-12 08:00:00+00:00,0.4238,0.4239
2023-05-12 16:00:00+00:00,0.424,0.4303
2023-05-13 00:00:00+00:00,0.4303,0.4266
2023-05-13 08:00:00+00:00,0.4266,0.4252
2023-05-13 16:00:00+00:00,0.4252,0.4238
2023-05-14 00:00:00+00:00,0.4238,0.4253
2023-05-14 08:00:00+00:00,0.4254,0.4291
2023-05-14 16:00:00+00:00,0.4291,0.425
2023-05-15 00:00:00+00:00,0.425,0.4251
2023-05-15 08:00:00+00:00,0.4252,0.4257
2023-05-15 16:00:00+00:00,0.4258,0.427
2023-05-16 00:00:00+00:00,0.4269,0.4259
2023-05-16 08:00:00+00:00,0.4258,0.422
2023-05-16 16:00:00+00:00,0.422,0.4424
2023-05-17 00:00:00+00:00,0.4424,0.449
2023-05-17 08:00:00+00:00,0.449,0.4407
2023-05-17 16:00:00+00:00,0.4406,0.4482
2023-05-18 00:00:00+00:00,0.4481,0.4478
2023-05-18 08:00:00+00:00,0.4477,0.4604
2023-05-18 16:00:00+00:00,0.4605,0.4595
2023-05-19 00:00:00+00:00,0.4595,0.4596
2023-05-19 08:00:00+00:00,0.4597,0.4653
2023-05-19 16:00:00+00:00,0.4654,0.4671
2023-05-20 00:00:00+00:00,0.4671,0.4642
2023-05-20 08:00:00+00:00,0.4642,0.4662
2023-05-20 16:00:00+00:00,0.4663,0.4684
2023-05-21 00:00:00+00:00,0.4684,0.469
2023-05-21 08:00:00+00:00,0.4691,0.4593
2023-05-21 16:00:00+00:00,0.4593,0.4572
2023-05-22 00:00:00+00:00,0.4571,0.4608
2023-05-22 08:00:00+00:00,0.4609,0.4567
2023-05-22 16:00:00+00:00,0.4568,0.4614
2023-05-23 00:00:00+00:00,0.4614,0.4621
2023-05-23 08:00:00+00:00,0.4622,0.4605
2023-05-23 16:00:00+00:00,0.4605,0.4649
2023-05-24 00:00:00+00:00,0.4649,0.4568
2023-05-24 08:00:00+00:00,0.4567,0.4505
2023-05-24 16:00:00+00:00,0.4506,0.4528
2023-05-25 00:00:00+00:00,0.4528,0.4496
2023-05-25 08:00:00+00:00,0.4496,0.4476
2023-05-25 16:00:00+00:00,0.4477,0.4535
2023-05-26 00:00:00+00:00,0.4535,0.4609
2023-05-26 08:00:00+00:00,0.4608,0.4629
2023-05-26 16:00:00+00:00,0.463,0.4681
2023-05-27 00:00:00+00:00,0.4681,0.4737
2023-05-27 08:00:00+00:00,0.4737,0.4706
2023-05-27 16:00:00+00:00,0.4706,0.4712
2023-05-28 00:00:00+00:00,0.4712,0.4727
2023-05-28 08:00:00+00:00,0.4728,0.4721
2023-05-28 16:00:00+00:00,0.4721,0.482
2023-05-29 00:00:00+00:00,0.482,0.4804
2023-05-29 08:00:00+00:00,0.4804,0.4787
2023-05-29 16:00:00+00:00,0.4786,0.4942
2023-05-30 00:00:00+00:00,0.4941,0.5009
2023-05-30 08:00:00+00:00,0.501,0.5044
2023-05-30 16:00:00+00:00,0.5044,0.5202
2023-05-31 00:00:00+00:00,0.5201,0.5089
2023-05-31 08:00:00+00:00,0.509,0.5047
2023-05-31 16:00:00+00:00,0.5047,0.5166
2023-06-01 00:00:00+00:00,0.5166,0.5044
2023-06-01 08:00:00+00:00,0.5044,0.5051
2023-06-01 16:00:00+00:00,0.5051,0.5061
2023-06-02 00:00:00+00:00,0.5062,0.5153
2023-06-02 08:00:00+00:00,0.5153,0.5187
2023-06-02 16:00:00+00:00,0.5188,0.5241
2023-06-03 00:00:00+00:00,0.5241,0.5241
2023-06-03 08:00:00+00:00,0.5242,0.5214
2023-06-03 16:00:00+00:00,0.5214,0.5186
2023-06-04 00:00:00+00:00,0.5186,0.525
2023-06-04 08:00:00+00:00,0.525,0.5357
2023-06-04 16:00:00+00:00,0.5357,0.5354
2023-06-05 00:00:00+00:00,0.5353,0.5341
2023-06-05 08:00:00+00:00,0.534,0.5039
2023-06-05 16:00:00+00:00,0.5038,0.5085
2023-06-06 00:00:00+00:00,0.5086,0.5053
2023-06-06 08:00:00+00:00,0.5053,0.5108
2023-06-06 16:00:00+00:00,0.5108,0.5297
2023-06-07 00:00:00+00:00,0.5298,0.5261
2023-06-07 08:00:00+00:00,0.5262,0.5173
2023-06-07 16:00:00+00:00,0.5172,0.5179
