timestamp,open_hyperliquid,close_hyperliquid
2023-05-01 00:00:00+00:00,1868.1,1848.4
2023-05-01 08:00:00+00:00,1848.5,1832.9
2023-05-01 16:00:00+00:00,1833.2,1829.8
2023-05-02 00:00:00+00:00,1829.8,1834.8
2023-05-02 08:00:00+00:00,1834.9,1857.9
2023-05-02 16:00:00+00:00,1857.7,1868.9
2023-05-03 00:00:00+00:00,1869.3,1864.4
2023-05-03 08:00:00+00:00,1864.6,1852.0
2023-05-03 16:00:00+00:00,1852.3,1904.2
2023-05-04 00:00:00+00:00,1904.6,1898.0
2023-05-04 08:00:00+00:00,1898.0,1885.7
2023-05-04 16:00:00+00:00,1884.6,1876.1
2023-05-05 00:00:00+00:00,1876.2,1894.0
2023-05-05 08:00:00+00:00,1894.4,1952.8
2023-05-05 16:00:00+00:00,1953.0,1992.7
2023-05-06 00:00:00+00:00,1993.5,1957.8
2023-05-06 08:00:00+00:00,1958.1,1876.7
2023-05-06 16:00:00+00:00,1876.2,1895.6
2023-05-07 00:00:00+00:00,1895.4,1904.7
2023-05-07 08:00:00+00:00,1904.5,1916.3
2023-05-07 16:00:00+00:00,1916.7,1869.6
2023-05-08 00:00:00+00:00,1869.5,1850.7
2023-05-08 08:00:00+00:00,1850.3,1864.1
2023-05-08 16:00:00+00:00,1863.5,1846.5
2023-05-09 00:00:00+00:00,1846.6,1843.6
2023-05-09 08:00:00+00:00,1842.4,1839.5
2023-05-09 16:00:00+00:00,1835.4,1845.7
2023-05-10 00:00:00+00:00,1850.3,1838.5
2023-05-10 08:00:00+00:00,1837.6,1872.0
2023-05-10 16:00:00+00:00,1871.7,1840.2
2023-05-11 00:00:00+00:00,1840.1,1828.8
2023-05-11 08:00:00+00:00,1827.3,1807.0
2023-05-11 16:00:00+00:00,1807.0,1795.2
2023-05-12 00:00:00+00:00,1793.6,1761.0
2023-05-12 08:00:00+00:00,1758.4,1764.7
2023-05-12 16:00:00+00:00,1764.5,1806.9
2023-05-13 00:00:00+00:00,1804.5,1802.1
