timestamp,open_hyperliquid,close_hyperliquid
2023-05-01 00:00:00+00:00,0.079455,0.078826
2023-05-01 08:00:00+00:00,0.078835,0.078285
2023-05-01 16:00:00+00:00,0.078295,0.078765
2023-05-02 00:00:00+00:00,0.078755,0.078515
2023-05-02 08:00:00+00:00,0.078495,0.078625
2023-05-02 16:00:00+00:00,0.078635,0.078705
2023-05-03 00:00:00+00:00,0.078725,0.078215
2023-05-03 08:00:00+00:00,0.078205,0.077665
2023-05-03 16:00:00+00:00,0.077655,0.079584
2023-05-04 00:00:00+00:00,0.079576,0.07923
2023-05-04 08:00:00+00:00,0.079255,0.078145
2023-05-04 16:00:00+00:00,0.078135,0.078326
2023-05-05 00:00:00+00:00,0.078335,0.078655
2023-05-05 08:00:00+00:00,0.078636,0.078575
2023-05-05 16:00:00+00:00,0.078565,0.080145
2023-05-06 00:00:00+00:00,0.080156,0.07868
2023-05-06 08:00:00+00:00,0.078716,0.076385
2023-05-06 16:00:00+00:00,0.076375,0.076666
2023-05-07 00:00:00+00:00,0.076675,0.076945
2023-05-07 08:00:00+00:00,0.076941,0.077235
2023-05-07 16:00:00+00:00,0.077235,0.076485
2023-05-08 00:00:00+00:00,0.076475,0.074385
2023-05-08 08:00:00+00:00,0.074356,0.074405
2023-05-08 16:00:00+00:00,0.074395,0.07232
2023-05-09 00:00:00+00:00,0.072335,0.072787
2023-05-09 08:00:00+00:00,0.072753,0.072496
2023-05-09 16:00:00+00:00,0.072494,0.073052
2023-05-10 00:00:00+00:00,0.073056,0.072814
2023-05-10 08:00:00+00:00,0.072816,0.073927
2023-05-10 16:00:00+00:00,0.073922,0.073104
2023-05-11 00:00:00+00:00,0.073096,0.072324
2023-05-11 08:00:00+00:00,0.072264,0.070786
2023-05-11 16:00:00+00:00,0.070764,0.071926
2023-05-12 00:00:00+00:00,0.071926,0.070214
2023-05-12 08:00:00+00:00,0.070186,0.071004
2023-05-12 16:00:00+00:00,0.071024,0.072304
2023-05-13 00:00:00+00:00,0.072336,0.071946
2023-05-13 08:00:00+00:00,0.072006,0.071566
2023-05-13 16:00:00+00:00,0.071554,0.071646
2023-05-14 00:00:00+00:00,0.071664,0.072046
2023-05-14 08:00:00+00:00,0.072016,0.072406
2023-05-14 16:00:00+00:00,0.072456,0.071917
2023-05-15 00:00:00+00:00,0.071953,0.072997
2023-05-15 08:00:00+00:00,0.073093,0.072483
2023-05-15 16:00:00+00:00,0.072513,0.071873
2023-05-16 00:00:00+00:00,0.071862,0.072188
2023-05-16 08:00:00+00:00,0.072154,0.071998
2023-05-16 16:00:00+00:00,0.071993,0.0727
2023-05-17 00:00:00+00:00,0.072709,0.072553
2023-05-17 08:00:00+00:00,0.072533,0.073198
2023-05-17 16:00:00+00:00,0.073191,0.074775
2023-05-18 00:00:00+00:00,0.074802,0.074026
2023-05-18 08:00:00+00:00,0.074019,0.073621
2023-05-18 16:00:00+00:00,0.07358,0.073402
2023-05-19 00:00:00+00:00,0.0734,0.073608
