audit,name,fee_bps,slippage_bps,funding_buffer_bps,forced_exit_extra_bps,execution_delay_hours,total_return,cagr,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,trade_count,liquidations,min_margin_buffer,observations_per_year,prefinal_cagr,prefinal_sharpe,prefinal_max_drawdown,final_return
base,base,5.0,3.0,10.0,10.0,0,0.029619388875445685,0.0053262222749808075,-0.007934204412405443,0.7580359163205787,5.702293271326842,0.0008788684050268505,0.5,417.79212465057304,31,0,0.5,8765.82,0.005855732487162424,0.7947206429177058,-0.007934204412405443,0.0
severe,severe,5.5,6.0,20.0,20.0,0,0.0022406412431994482,0.0004073968164868269,-0.014296792865065577,0.05949962426980596,5.702293271326842,0.0008788684050268505,0.5,682.831003493698,31,0,0.5,8765.82,0.0004477894858154752,0.06237887407310963,-0.014296792865065577,0.0
extreme,extreme,7.5,10.0,30.0,35.0,0,-0.03220330882214417,-0.005939352143165433,-0.044069803679124275,-0.7537492349748803,5.702293271326842,0.0008788684050268505,0.5,1015.969430377705,31,0,0.5,8765.82,-0.006526171412928328,-0.7902264810561866,-0.044069803679124275,0.0
delay_1h,delay_1h,5.0,3.0,10.0,10.0,1,-0.022238089723150556,-0.004084381440618068,-0.022238089723150556,-0.952158361426083,4.974340938817033,0.001069174555721641,0.5,354.52494028254034,27,0,0.5,8765.82,-0.0044883400618768166,-0.9982394096386074,-0.022238089723150556,0.0
