asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
DOGE,1,2021-01-29 01:00:00+00:00,2021-01-29 02:00:00+00:00,2021-01-29 04:00:00+00:00,0.036801,0.036999,0.081901,0.081009,6.070781442005353,66.10161418708256,max_hold,2,90.1767278646389,4.007391379074403,4.041859113668629,5.007235528153466,0.0,10095.598689529748,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-29 04:00:00+00:00,2021-01-29 05:00:00+00:00,2021-01-29 07:00:00+00:00,0.062617,0.06244,0.053533,0.053832,-5.417229484368815,-75.53015003860968,max_hold,2,18.19528151154873,4.038239475811899,4.0439022926261945,5.045780225026967,0.0,10100.666049047832,basis_l168_z3_s60_h2_c1
DOGE,1,2021-01-29 09:00:00+00:00,2021-01-29 10:00:00+00:00,2021-01-29 12:00:00+00:00,0.036998,0.037161,0.049931,0.049877,6.353396110053199,69.49148550878517,max_hold,2,18.60993539558399,4.040266419619133,4.0460942872095185,5.048312891314106,0.0,10106.141310845273,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-29 12:00:00+00:00,2021-01-29 13:00:00+00:00,2021-01-29 15:00:00+00:00,0.061838,0.06169,0.053548,0.053573,-5.099729416137247,-72.53758062780459,max_hold,2,6.270175983977708,4.042456524338109,4.043347612121965,5.051049427160468,0.0,10099.274633265632,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-29 16:00:00+00:00,2021-01-29 17:00:00+00:00,2021-01-29 19:00:00+00:00,0.052165,0.051646,0.047308,0.047128,-7.093190190756502,-97.89263822090642,max_hold,2,14.204633222184611,4.0397098533062525,4.043775822653804,5.047617461706162,0.0,10100.348163350149,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-29 22:00:00+00:00,2021-01-29 23:00:00+00:00,2021-01-30 00:00:00+00:00,0.05168,0.051459,0.045873,0.045902,-5.382452766400357,-77.53106544978165,convergence,1,11.044519776823904,4.04013926534006,4.042941017544654,5.048154012042404,0.0,10098.261448832047,basis_l168_z3_s60_h2_c1
DOGE,1,2021-01-30 07:00:00+00:00,2021-01-30 08:00:00+00:00,2021-01-30 10:00:00+00:00,0.032062,0.032266,0.035862,0.03578,6.132120411826613,66.84205141874405,max_hold,2,24.259337995863973,4.039304579532819,4.047392592899351,5.047111072126256,0.0,10109.38697858335,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-31 19:00:00+00:00,2021-01-31 20:00:00+00:00,2021-01-31 22:00:00+00:00,0.040331,0.03997,0.036721,0.036143,-3.965232584312622,-75.82856894767414,max_hold,2,-15.758018709434651,4.04375479143334,4.035834082032993,5.052671611895959,0.0,10080.496699388552,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-01-31 22:00:00+00:00,2021-01-31 23:00:00+00:00,2021-02-01 01:00:00+00:00,0.037864,0.03736,0.036751,0.036634,-7.472365088535834,-140.9522830710604,max_hold,2,25.095756030136755,4.032198679755421,4.040624102695574,5.038232250354398,0.0,10092.481400385885,basis_l168_z3_s60_h2_c1
DOGE,1,2021-02-01 02:00:00+00:00,2021-02-01 03:00:00+00:00,2021-02-01 05:00:00+00:00,0.03774,0.038181,0.040357,0.040836,8.122581374203131,136.86224946983396,max_hold,2,-0.49012710807727444,4.036992560154354,4.035181712287061,5.044222203912866,0.0,10078.874876801454,basis_l168_z3_s60_h2_c1
DOGE,1,2021-02-01 05:00:00+00:00,2021-02-01 06:00:00+00:00,2021-02-01 08:00:00+00:00,0.040709,0.041252,0.039177,0.039621,6.3462643282096325,118.93418172947747,max_hold,2,4.796937957511162,4.031549950720581,4.031856105923298,5.037421663425366,0.0,10070.570987038896,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-02-08 05:00:00+00:00,2021-02-08 06:00:00+00:00,2021-02-08 08:00:00+00:00,0.070988,0.070411,0.071896,0.071866,-3.3095635314493865,-84.74327253108046,max_hold,2,19.814707422486407,4.028228394815558,4.034542986426627,5.03327137932204,0.0,10077.28965170082,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-02-08 22:00:00+00:00,2021-02-08 23:00:00+00:00,2021-02-09 01:00:00+00:00,0.077185,0.076484,0.080396,0.080275,-3.5284070174271145,-88.48924305628836,max_hold,2,20.05730585250683,4.030915860680328,4.037326416677058,5.036629367920069,0.0,10084.242085908048,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-02-09 15:00:00+00:00,2021-02-09 16:00:00+00:00,2021-02-09 17:00:00+00:00,0.072641,0.07192,0.070705,0.070655,-3.6716388482566753,-95.91304401787325,convergence,1,22.838293979140374,4.033696834363219,4.04121867322113,5.040104194536842,0.0,10093.965360185068,basis_l168_z3_s60_h2_c1
SOL,-1,2021-02-10 06:00:00+00:00,2021-02-10 07:00:00+00:00,2021-02-10 09:00:00+00:00,8.2616,8.195,8.4061,8.385,-4.4023223972259045,-77.99726096245892,max_hold,2,14.363794390110236,4.0375861440740275,4.041716627372442,5.044963887020497,0.0,10095.20488791671,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-02-12 03:00:00+00:00,2021-02-12 04:00:00+00:00,2021-02-12 06:00:00+00:00,0.063108,0.0624,0.067351,0.067204,-3.795362011933976,-96.8098765285161,max_hold,2,24.605371074164253,4.0380819551666844,4.046308870814284,5.045583402980772,0.0,10106.680284761913,basis_l168_z3_s60_h2_c1
ETH,1,2021-02-23 14:00:00+00:00,2021-02-23 15:00:00+00:00,2021-02-23 16:00:00+00:00,1520.01,1553.44,1574.4,1572.9,30.7136596035006,221.15338161543448,convergence,1,58.73578178141824,4.042672113904765,4.064549357771771,5.051318806324004,0.0,10152.257526265332,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-04-14 00:00:00+00:00,2021-04-14 01:00:00+00:00,2021-04-14 03:00:00+00:00,0.105416,0.104865,0.114115,0.11381,-7.033690171709587,-60.88588470855288,max_hold,2,7.051646527970718,4.060903010506133,4.062099307913119,5.074098311627413,0.0,10146.112072163256,basis_l168_z3_s60_h2_c1
DOGE,-1,2021-04-16 11:00:00+00:00,2021-04-16 12:00:00+00:00,2021-04-16 14:00:00+00:00,0.303519,0.300137,0.384304,0.385846,-9.851139554029542,-107.12187813683371,max_hold,2,49.20162838539807,4.058444828865302,4.0765021022879155,5.071026813667196,0.0,10182.107726803835,basis_l168_z3_s60_h2_c1
SOL,-1,2021-05-16 16:00:00+00:00,2021-05-16 17:00:00+00:00,2021-05-16 19:00:00+00:00,46.775,46.425,43.667,43.484,-9.579715361754815,-84.32531112648026,max_hold,2,7.878466966974173,4.072843090721534,4.074365340272036,5.089017441856557,0.0,10176.74996789796,basis_l168_z3_s60_h2_c1
BTC,1,2021-05-19 13:00:00+00:00,2021-05-19 14:00:00+00:00,2021-05-19 16:00:00+00:00,35649.99,35869.9,37304.85,37254.9,13.157979504231102,63.194013954517516,max_hold,2,19.856783897781384,4.070699987159184,4.077014420723433,5.086339633955401,0.0,10183.372697753903,basis_l168_z3_s60_h2_c1
XRP,1,2021-08-12 10:00:00+00:00,2021-08-12 11:00:00+00:00,2021-08-12 13:00:00+00:00,1.0052,1.01178,0.9723,0.97179,14.859951853301368,65.64813691890308,max_hold,2,17.29106053808148,4.073349079101561,4.078636163685154,5.089649674337401,0.0,10187.422123374861,basis_l168_z3_s60_h2_c1
DOGE,1,2021-09-07 14:00:00+00:00,2021-09-07 15:00:00+00:00,2021-09-07 17:00:00+00:00,0.23307,0.238278,0.26231,0.262248,57.24309946123447,200.09994020776267,max_hold,2,63.2871851317571,4.074968849349944,4.098653735862907,5.091673577262755,0.0,10237.444012344144,basis_l168_z3_s60_h2_c1
SOL,1,2021-11-26 10:00:00+00:00,2021-11-26 11:00:00+00:00,2021-11-26 12:00:00+00:00,186.585,188.175,185.272,185.203,22.22566143842347,92.39764431362455,convergence,1,22.402852036388992,4.094977604937657,4.102300754710238,5.116674517369603,0.0,10246.532911503513,basis_l168_z3_s60_h2_c1
