policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l168_z5_s45_h1_c1,168,5.0,45.0,1,1,False,False,-0.012401858076236115,-0.0025894866754404555,-0.0005185067508297614,-0.014531666329792858,-0.07536965285815422,8.80122492754946,0.0005704636728733114,0.5,571.910486012872,44,0,0.5,8765.82
basis_l336_z4_s45_h4_c2,336,4.0,45.0,4,2,False,False,-0.012684475311623438,-0.0025364715824629513,-0.0005078804635370027,-0.009551252600775384,-0.12651645590081517,2.200306231887365,0.00046778021175611535,0.5,142.94373197161337,11,0,0.5,8765.82
basis_l336_z5_s30_h4_c2,336,5.0,30.0,4,2,False,False,-0.013586407389089419,-0.0026536960500416207,-0.000531377412733014,-0.01060087209661098,-0.128683826662052,3.4004732674622917,0.0007530120481927711,0.5,221.54735793266983,17,0,0.5,8765.82
basis_l336_z3_s45_h1_c1,336,3.0,45.0,1,1,False,False,-0.014014988631219902,-0.0028004679542064093,-0.0005608000853508655,-0.01427026987126645,-0.0778294277516281,11.601614677224289,0.0007301935012778386,0.5,754.5022278875635,58,0,0.5,8765.82
basis_l168_z5_s60_h2_c2,168,5.0,60.0,2,2,False,False,-0.01548243803534095,-0.002772301938798738,-0.0005551535082445325,-0.007544245218652601,-0.16090848812531233,2.6003619104123405,0.0003536874771814531,0.5,173.7357795579706,13,0,0.5,8765.82
basis_l336_z5_s60_h2_c2,336,5.0,60.0,2,2,False,False,-0.01548243803534095,-0.002772301938798738,-0.0005551535082445325,-0.007544245218652601,-0.16090848812531233,2.6003619104123405,0.0003536874771814531,0.5,173.7357795579706,13,0,0.5,8765.82
basis_l168_z4_s45_h2_c2,168,4.0,45.0,2,2,False,False,-0.015773581053970392,-0.003130523367732563,-0.0006269773969684866,-0.007544245218652601,-0.15989945526295932,3.200445428199804,0.00042214311792625046,0.5,213.00527914923745,16,0,0.5,8765.82
basis_l168_z3_s60_h4_c2,168,3.0,60.0,4,2,False,False,-0.018536132839409556,-0.003549835294590409,-0.0007110762481111754,-0.00825126788331143,-0.20124755657857554,1.8002505533623896,0.0004107338444687842,0.5,116.85977104258492,9,0,0.5,8765.82
basis_l336_z3_s60_h4_c2,336,3.0,60.0,4,2,False,False,-0.018536132839409556,-0.003549835294590409,-0.0007110762481111754,-0.00825126788331143,-0.20124755657857554,1.8002505533623896,0.0004107338444687842,0.5,116.85977104258492,9,0,0.5,8765.82
basis_l336_z4_s60_h4_c2,336,4.0,60.0,4,2,False,False,-0.018536132839409556,-0.003549835294590409,-0.0007110762481111754,-0.00825126788331143,-0.20124755657857554,1.8002505533623896,0.0004107338444687842,0.5,116.85977104258492,9,0,0.5,8765.82
basis_l168_z4_s60_h2_c2,168,4.0,60.0,2,2,False,False,-0.020101120549968224,-0.0036310740567758737,-0.0007273730878375462,-0.007544245218652934,-0.21648927481324018,2.6003619104123405,0.0003536874771814531,0.5,173.6050929240906,13,0,0.5,8765.82
basis_l168_z5_s30_h2_c1,168,5.0,30.0,2,1,False,False,-0.020577338080624414,-0.005777660231727877,-0.0011583729755535455,-0.02666182574812226,-0.13564951590019067,11.801642516486776,0.0013120664476086164,0.5,770.9025276899384,59,0,0.5,8765.82
basis_l336_z5_s45_h2_c2,336,5.0,45.0,2,2,False,False,-0.021259655379797,-0.004111567055169907,-0.0008237837601169362,-0.007544245218652823,-0.22726547879182657,3.000417588937316,0.000399324571011318,0.5,199.76932618026024,15,0,0.5,8765.82
basis_l336_z4_s45_h2_c2,336,4.0,45.0,2,2,False,False,-0.02251620666677033,-0.004785715859014661,-0.0009591141193021624,-0.007756822784566575,-0.23976484443639512,3.200445428199804,0.00042214311792625046,0.5,212.54492727954664,16,0,0.5,8765.82
basis_l168_z3_s45_h2_c2,168,3.0,45.0,2,2,False,False,-0.022960273658025793,-0.005794156742953249,-0.0011616880901751392,-0.010579426922922797,-0.2367549040274498,3.600501106724779,0.00046778021175611535,0.5,238.35272902456512,18,0,0.5,8765.82
