policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
absorption_reversal_f2_p1_v0_i3_d0_n1_h12,absorption_reversal,2.0,1.0,0.0,3.0,0.0,1,12,False,False,,,-0.8337437213866441,-0.26433695543210656,-0.18533542503068012,-0.26497379225150586,-11.657252766131428,390.4827882424187,0.004454606508488865,0.2,2510.7971263821646,1462,0
flow_exhaustion_reversal_f1.5_p0_v2_i6_d0_n1_h3,flow_exhaustion_reversal,1.5,0.0,2.0,6.0,0.0,1,3,False,False,,,-0.8381810120668515,-0.2998045580090052,-0.2117757677080533,-0.29988294199201004,-11.095558337159206,416.39033301636834,0.0011875395941747845,0.2,2632.818059654775,1559,0
flow_vacuum_continuation_f1.5_p1_v0_i0_d-1.5_n1_h3,flow_vacuum_continuation,1.5,1.0,0.0,0.0,-1.5,1,3,False,False,,,-0.8461456273655473,-0.34310336356712723,-0.2446659184309341,-0.34310336356712723,-10.191703605524282,575.8419230168633,0.0016422933707766745,0.2,3559.6978980664608,2156,0
flow_exhaustion_reversal_f2_p0_v2_i6_d0_n1_h1,flow_exhaustion_reversal,2.0,0.0,2.0,6.0,0.0,1,1,False,False,,,-0.8920081696708431,-0.2585868931491804,-0.1810891844898015,-0.2585868931491804,-12.936799802445723,382.20305743837264,0.0003633459823100527,0.2,2485.141055428105,1431,0
flow_exhaustion_reversal_f1.5_p0_v2_i6_d0_n1_h1,flow_exhaustion_reversal,1.5,0.0,2.0,6.0,0.0,1,1,False,False,,,-0.9271469471579187,-0.28269642974194553,-0.19896780878355413,-0.28269642974194553,-13.131756142573574,433.216882714913,0.00041184289539266636,0.2,2773.138836144458,1622,0
flow_vacuum_continuation_f1.5_p1_v0_i0_d-1.5_n1_h1,flow_vacuum_continuation,1.5,1.0,0.0,0.0,-1.5,1,1,False,False,,,-1.01858228374807,-0.36007666187049425,-0.2577542655904491,-0.36007666187049425,-13.261391709156337,617.5076651275456,0.0005870411677853542,0.2,3764.093468109336,2312,0
absorption_reversal_f2_p1_v0_i3_d0_n1_h3,absorption_reversal,2.0,1.0,0.0,3.0,0.0,1,3,False,False,,,-1.0459133323521441,-0.280812502162764,-0.19756364946103178,-0.280812502162764,-15.580600630177575,412.3840116595719,0.0011761136198883049,0.2,2629.232111152808,1544,0
absorption_reversal_f2_p0.5_v0_i3_d0_n1_h12,absorption_reversal,2.0,0.5,0.0,3.0,0.0,1,12,False,False,,,-1.1370524106824453,-0.39783509425372965,-0.2872921462592797,-0.3980530225069443,-14.876479019525721,661.3101119618524,0.00754418995555296,0.2,3884.6887088869107,2476,0
absorption_reversal_f1.5_p1_v0_i3_d0_n1_h12,absorption_reversal,1.5,1.0,0.0,3.0,0.0,1,12,False,False,,,-1.151395124663242,-0.4185065601238054,-0.3037233779484436,-0.418717007209643,-14.684408755048109,715.796082414283,0.008165762956737453,0.2,4092.6581781594496,2680,0
absorption_reversal_f2_p1_v0_i6_d0_n1_h12,absorption_reversal,2.0,1.0,0.0,6.0,0.0,1,12,False,False,,,-1.1585089472423895,-0.44241015860912736,-0.32296784407187995,-0.44282060001449497,-14.32574832357755,749.7162699018256,0.008552722619239563,0.2,4251.517700305286,2807,0
