symbol,month,expected_minutes,joined_minutes,complete_minutes,coverage,full_month,depth_raw_rows,mark_raw_rows,depth_archive_count,mark_archive_count,dataset,archive_count
ETHUSD_PERP,2024-11,43200,43200.0,43200,1.0,True,864000.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2024-12,44640,44640.0,44506,0.9969982078853047,True,890100.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-01,44640,44640.0,44480,0.996415770609319,True,889570.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-02,40320,40320.0,40298,0.999454365079365,True,805950.0,40320.0,28.0,1.0,depth_mark,
ETHUSD_PERP,2025-03,44640,44640.0,44568,0.9983870967741936,True,891360.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-04,43200,43200.0,43179,0.9995138888888889,True,863570.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2025-05,44640,44640.0,44599,0.999081541218638,True,891960.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-06,43200,43200.0,43179,0.9995138888888889,True,863560.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2025-07,44640,44640.0,44640,1.0,True,892800.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-08,44640,44640.0,44640,1.0,True,892800.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-09,43200,43200.0,43200,1.0,True,863990.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2025-10,44640,44640.0,44640,1.0,True,892800.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2025-11,43200,43200.0,43174,0.9993981481481482,True,863480.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2025-12,44640,44640.0,44640,1.0,True,892800.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2026-01,44640,44640.0,44640,1.0,True,892650.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2026-02,40320,40320.0,40301,0.9995287698412698,True,806020.0,40320.0,28.0,1.0,depth_mark,
ETHUSD_PERP,2026-03,44640,44640.0,44581,0.9986783154121864,True,891590.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2026-04,43200,43200.0,43140,0.9986111111111111,True,862750.0,43200.0,30.0,1.0,depth_mark,
ETHUSD_PERP,2026-05,44640,44640.0,44640,1.0,True,892620.0,44640.0,31.0,1.0,depth_mark,
ETHUSD_PERP,2026-06,43200,43200.0,42946,0.9941203703703704,True,858910.0,43200.0,30.0,1.0,depth_mark,
BTCUSD_PERP,2023-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-08,44640,,38880,0.8709677419354839,False,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2023-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-02,41760,,41760,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-08,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2024-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
