name,family,threshold,budget,hold_days,band,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_no_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_prefinal_cagr,gate_stress_prefinal_drawdown,gate_stress_no_liquidations,gate_stress_positive_margin,eligible_before_2021,score
spot_spike_t30_b15_h14,spot_spike_long,0.3,0.15,14,0.0,0.0028769666982257913,0.0440128489825411,-0.30030562860057197,0.0753052416660863,2.0713342118953237,0,0.8161417322834646,-0.00983114378564609,-0.0935521045638592,0.04045720600955294,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.08980698135670134
backwardation_t05_b15_h7,backwardation_long,0.05,0.15,7,0.0,-0.000346891085102774,-0.005188257827119402,-0.2346680788993144,0.031865032719067016,1.0459905507888436,0,0.8161417322834645,0.08202240515231907,-0.12211790367745401,0.09572136988407176,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.09662269440868416
backwardation_t02_b10_h14,backwardation_long,0.02,0.1,14,0.0,-0.0016392056402750876,-0.024296385470067183,-0.1716562522106566,0.0030852231818838255,1.13204389061047,0,0.8440944881889763,0.015074174220545133,-0.03956702776814536,0.014554649492618754,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.09734175311009935
spot_spike_t30_b15_h7,spot_spike_long,0.3,0.15,7,0.0,0.0006801326177330314,0.01024574360806696,-0.2519566236973527,0.045608685794923075,1.9280135506249196,0,0.8161417322834645,-0.031095045431146495,-0.022890110370870298,0.13359754922446965,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.09828949632453642
backwardation_t02_b10_h3,backwardation_long,0.02,0.1,3,0.0,-0.0029752642115484784,-0.043690783055795546,-0.17591256826985624,-0.02302094879131209,1.0662915494087108,0,0.8440944881889764,0.03363278652854573,-0.024564383818360458,0.0066371168472429964,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.12759067684342426
backwardation_t00_b10_h7,backwardation_long,0.0,0.1,7,0.0,-0.003267248495775421,-0.0478810760902868,-0.1739722101492821,-0.02142717908109537,1.4633738378025427,0,0.8440944881889763,0.05202234766145297,-0.014033167188817641,-0.02773007052576215,False,False,False,True,True,False,False,True,True,False,,,,,False,False,False,False,False,-0.1295815195253127
backwardation_t05_b10_h3,backwardation_long,0.05,0.1,3,0.0,-0.003000436624921332,-0.04405271147274914,-0.16414005854091607,-0.040616163303801606,0.6952289578417991,0,0.8440944881889763,0.055011196531081774,-0.09247447691184141,0.06212004673060778,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.13563935540252028
backwardation_t02_b10_h7,backwardation_long,0.02,0.1,7,0.0,-0.0035228737053590864,-0.051535502217732954,-0.17644365670462503,-0.030683670510113843,1.1271664742652245,0,0.8440944881889765,0.030272483945191553,-0.03640010427461249,-0.00342417229827785,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.13722291101579676
backwardation_t02_b15_h14,backwardation_long,0.02,0.15,14,0.0,-0.0037232888402272124,-0.05439148367026547,-0.25006852200793916,0.004207662062325492,1.6813778743338794,0,0.8161417322834645,0.020990738376177598,-0.06426580646074143,0.018394051876130968,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.1450869553654373
spot_spike_t20_b10_h7,spot_spike_long,0.2,0.1,7,0.0,-0.001391545124677096,-0.020661228177921598,-0.2666108861326305,0.0016421325200588945,1.9970181152846402,0,0.8440944881889764,-0.06136182913575827,-0.030986952009596447,0.08318492969434899,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.15441658194845695
backwardation_t00_b05_h14,backwardation_long,0.0,0.05,14,0.0,-0.0032737939289659845,-0.04797481352020172,-0.14370444016767403,-0.08537903712013842,0.7790574782523477,0,0.8720472440944883,0.0022275086476164496,-0.03188598533931142,-0.02374409689121071,False,False,True,True,True,False,False,True,True,False,,,,,False,False,False,False,False,-0.1715694198444309
backwardation_t02_b15_h3,backwardation_long,0.02,0.15,3,0.0,-0.005600166414029273,-0.08075080848329885,-0.2557280753282505,-0.021919695070318976,1.587095234921826,0,0.8161417322834645,0.049212182632244916,-0.04168244753170558,0.006932992487077794,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.17685501791172104
backwardation_t05_b15_h3,backwardation_long,0.05,0.15,3,0.0,-0.005329219661834306,-0.07698839614489061,-0.2397905839304273,-0.040265891108697244,1.032917054399277,0,0.8161417322834646,0.08202240515232151,-0.13693311621129267,0.09184799614511152,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.18114879294157227
backwardation_t00_b15_h7,backwardation_long,0.0,0.15,7,0.0,-0.006254785266090357,-0.08978197178221836,-0.25531890215795083,-0.02049824501074509,2.178384943945057,0,0.8161417322834646,0.07680077228708582,-0.02716483457613328,-0.04449842588050068,False,False,False,True,True,False,False,True,True,False,,,,,False,False,False,False,False,-0.1824511160613518
spot_spike_t10_b15_h14,spot_spike_long,0.1,0.15,14,0.0,0.004502209357439391,0.06966886908554315,-0.5288914763686642,0.12067751190234595,4.993637997317685,0,0.8161417322834645,-0.2064110799606742,-0.15094092812015836,-0.09009938991205313,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.18470018754028422
backwardation_t02_b15_h7,backwardation_long,0.02,0.15,7,0.0,-0.006477312597149787,-0.09283306585264117,-0.25685316720147366,-0.029666941517054665,1.6767140157978684,0,0.8161417322834645,0.044097830402640925,-0.05931113611906591,-0.00828485984064331,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.18781529047006978
spot_spike_t10_b05_h3,spot_spike_long,0.1,0.05,3,0.0,-0.0029708141597653004,-0.04362678700599909,-0.15865000839821986,-0.08734376867553631,1.7053087745454298,0,0.8720472440944883,-0.06590265461362055,-0.0044484290830905104,0.029686545782106277,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.18966348893963114
spot_spike_t20_b15_h7,spot_spike_long,0.2,0.15,7,0.0,-0.0030880200068427177,-0.04531098748792639,-0.3752199781123723,0.0025684360891222377,2.980549436744326,0,0.8161417322834645,-0.09256466690022236,-0.052503288100473555,0.12415375525386185,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.2210230873481926
backwardation_t00_b10_h14,backwardation_long,0.0,0.1,14,0.0,-0.0074999064060151666,-0.10673163195993096,-0.2712513079187314,-0.08430833070935236,1.5439431515398365,0,0.8440944881889765,0.0029053014379425424,-0.06710024411737403,-0.049252116193092776,False,False,False,True,True,False,False,True,True,False,,,,,False,False,False,False,False,-0.2503732289961468
spot_spike_t10_b10_h3,spot_spike_long,0.1,0.1,3,0.0,-0.0066891102118695756,-0.0957281753522562,-0.2951650143740592,-0.08616530270942224,3.4015343726647314,0,0.8440944881889764,-0.12897994447624606,-0.013727776218370624,0.05794964017997373,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.2811413740468383
tail_t80_b05_h14,tail_long,0.8,0.05,14,0.0,-0.0070093076360541184,-0.10008865800123601,-0.14515375810908404,-0.20329169793155094,0.9018491354682565,0,0.8720472440944882,-0.015081200197502365,-0.025802452101426177,-0.0300843566668878,False,False,True,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.2989056836128838
spot_spike_t20_b05_h14,spot_spike_long,0.2,0.05,14,0.0,-0.006636223802195862,-0.09500606793753208,-0.18088639698143727,-0.19692289604327787,1.0601523158742057,0,0.8720472440944882,-0.06035755009128563,-0.015307702419135372,-0.02167239738177884,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.31124006529713033
backwardation_t00_b15_h14,backwardation_long,0.0,0.15,14,0.0,-0.012671942407314729,-0.17403398648551016,-0.38348447293682253,-0.08328191686282034,2.294809318703057,0,0.8161417322834644,0.0020387531667309666,-0.10503429890851923,-0.07633531162537255,False,False,False,True,True,False,False,True,True,False,,,,,False,False,False,False,False,-0.3233161313328916
spot_spike_t10_b15_h3,spot_spike_long,0.1,0.15,3,0.0,-0.011131010084707071,-0.15449442766931876,-0.41205533459912613,-0.08504188768414678,5.088870673296041,0,0.8161417322834645,-0.1892072661724914,-0.027515261140597214,0.0846524947158458,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.3642202818860844
tail_t80_b10_h14,tail_long,0.8,0.1,14,0.0,-0.014920045362119216,-0.20178594674179184,-0.2761085181498182,-0.20233171713373127,1.7892756304345898,0,0.8440944881889764,-0.03155775202055833,-0.05559158243142981,-0.061338161128333124,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.3881188232372247
spot_spike_t20_b10_h14,spot_spike_long,0.2,0.1,14,0.0,-0.014091323397951605,-0.19165857238722406,-0.335534336509394,-0.19560150557707556,2.104222583921125,0,0.8440944881889763,-0.11883213465765075,-0.03616120044068538,-0.04507736875833035,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.412593546466887
curve_spread_t05_b05_h14,curve_spread,0.05,0.05,14,0.0,-0.0030676784185975636,-0.045018885776594963,-0.04734183019693616,-0.41432318919162414,0.3579917987413364,0,0.8724898550724639,0.0028001019009269434,-0.00800574537391796,-0.005133782815849308,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.4477093791147007
curve_spread_t05_b05_h7,curve_spread,0.05,0.05,7,0.0,-0.0031449681906249305,-0.04612831017759367,-0.04650695580144326,-0.4291299445239949,0.35069523455051493,0,0.8724898550724638,0.0027642904580180705,-0.00620197255583288,-0.0044912136917296674,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.4621803111514715
tail_t80_b15_h14,tail_long,0.8,0.15,14,0.0,-0.023715670238016018,-0.30221753745556545,-0.39530443128184745,-0.20141771759460725,2.6624257391099655,0,0.8161417322834645,-0.04934395315683904,-0.08878673439454199,-0.09357038049055699,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.47312553110266264
curve_spread_t05_b10_h14,curve_spread,0.05,0.1,14,0.0,-0.006181844389103741,-0.08877978992795843,-0.09320095711678278,-0.4144183781944537,0.7151936301266828,0,0.8449797101449276,0.005580688068561379,-0.01597597567225273,-0.010276651680808935,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.4805344818323194
