audit,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,liquidations,min_margin_buffer,observations_per_year
base,development_2006_2010,0.19645142754105205,0.036588694362147844,-0.05578807364875882,0.7118898785767112,1.5752018346920214,0.023802597997764005,0.14293522820442742,167.42177566955826,0,0.8411250000000001,252.24372325836532
base,validation_2011_2014,0.04529690003041842,0.011159609681558047,-0.06191084213583964,0.286731843742827,0.6973223977759273,0.010816110536269748,0.1423841059602649,69.60075754367693,0,0.8502301699716713,226.46037037037036
base,validation_2015_2018,0.08529158751695198,0.020701159721606466,-0.10254195808436695,0.28136224879268756,1.1179404241667588,0.01643788377046174,0.22714065971628783,113.6425798116538,0,0.8301181102362205,252.34026045236465
base,bridge_2019_2020,0.15559648471494358,0.07514508854196289,-0.041762634674116006,1.2451642006152384,0.4310238043397144,0.006100974702255036,0.16250000000000003,25.12190706080904,0,0.8426546391752577,253.01435185185184
base,holdout_2021_2023,-0.06817782006359252,-0.02340492242351,-0.09138670827104944,-0.5136604539638472,0.7951431425766903,0.013864874127319763,0.14660953373103625,70.57046051534803,0,0.8477184466019418,252.55059917355373
base,holdout_2024_2025,-0.0773079593434528,-0.03951011234247481,-0.13520722029583088,-0.4992334309173885,1.765185437908097,0.025730484294407396,0.1662290663940598,95.27690959708096,0,0.8347756818761152,252.0123148148148
base,final_2026h1,-0.046448609019285714,-0.09248784203752525,-0.046448609019285714,-2.7032618489373026,1.1420915508621488,0.012851408182653939,0.13036760499271305,14.606466774705451,0,0.8509650924024641,250.97668994413408
base,full,0.2814045669881262,0.01120041781590797,-0.2143899626022262,0.22083482821619999,1.0306461752136264,0.01563091676998138,0.22714065971628783,566.599238099278,0,0.8301181102362205,247.10355337596852
stress,development_2006_2010,0.17777640765726055,0.0333266152254339,-0.05877276381577701,0.6518224724067457,1.5752018346920211,0.023802597997764005,0.14293522820442742,331.83673747703114,0,0.8164017857142859,252.24372325836532
stress,validation_2011_2014,0.03949085492830906,0.009749703488966643,-0.0650735637321368,0.25324840088866857,0.6973223977759273,0.010816110536269748,0.1423841059602649,136.52724489215274,0,0.8248565864022663,226.46037037037036
stress,validation_2015_2018,0.07563723059131378,0.018420530119411582,-0.10561843483586308,0.2550200716317945,1.1179404241667588,0.01643788377046174,0.22714065971628786,221.2945615218974,0,0.8061811023622047,252.34026045236465
stress,bridge_2019_2020,0.153609176642455,0.0742183306457267,-0.042014487282470925,1.2351971854458799,0.4310238043397145,0.006100974702255036,0.1625,48.659154662281566,0,0.8178221649484535,253.01435185185184
