policy,family,universe,target_vol,gross_cap,rebalance_days,no_trade_band,eligible_before_2021,prefinal_cagr,prefinal_sharpe,prefinal_max_drawdown,annual_turnover,validation_2016_2018_return,validation_2019_2020_return,worst_validation_return,stress_prefinal_cagr,stress_prefinal_dd,score
slow_trend_v12_g100_r10_b5_micro,slow_trend,micro,0.12,1.0,10,0.05,False,0.00987670254809525,0.2704528254770291,-0.1137172822291097,5.7494211095662235,-0.0070966034306336745,0.025066186978789595,-0.0070966034306336745,0.00695982101666881,-0.11916995005864417,0.062422123456745804
slow_trend_v12_g125_r10_b5_micro,slow_trend,micro,0.12,1.25,10,0.05,False,0.00987670254809525,0.2704528254770291,-0.1137172822291097,5.7494211095662235,-0.0070966034306336745,0.025066186978789595,-0.0070966034306336745,0.00695982101666881,-0.11916995005864417,0.062422123456745804
slow_trend_v15_g100_r10_b5_micro,slow_trend,micro,0.15,1.0,10,0.05,False,0.00987670254809525,0.2704528254770291,-0.1137172822291097,5.7494211095662235,-0.0070966034306336745,0.025066186978789595,-0.0070966034306336745,0.00695982101666881,-0.11916995005864417,0.062422123456745804
slow_trend_v15_g125_r10_b5_micro,slow_trend,micro,0.15,1.25,10,0.05,False,0.00987670254809525,0.2704528254770291,-0.1137172822291097,5.7494211095662235,-0.0070966034306336745,0.025066186978789595,-0.0070966034306336745,0.00695982101666881,-0.11916995005864417,0.062422123456745804
slow_trend_v10_g100_r10_b5_micro,slow_trend,micro,0.1,1.0,10,0.05,False,0.009876702548094807,0.27045282547702765,-0.11371728222911048,5.7494211095662235,-0.0070966034306340076,0.025066186978790927,-0.0070966034306340076,0.006959821016668144,-0.1191699500586424,0.06242212345674336
slow_trend_v10_g125_r10_b5_micro,slow_trend,micro,0.1,1.25,10,0.05,False,0.009876702548094807,0.27045282547702765,-0.11371728222911048,5.7494211095662235,-0.0070966034306340076,0.025066186978790927,-0.0070966034306340076,0.006959821016668144,-0.1191699500586424,0.06242212345674336
slow_trend_v12_g100_r10_b2_micro,slow_trend,micro,0.12,1.0,10,0.02,False,0.009858529027946261,0.27008542934768176,-0.11446763573546459,5.7781758288313565,-0.006565862034587533,0.025976281218121677,-0.006565862034587533,0.006927223818717465,-0.11993627691997444,0.061587472281773345
slow_trend_v12_g125_r10_b2_micro,slow_trend,micro,0.12,1.25,10,0.02,False,0.009858529027946261,0.27008542934768176,-0.11446763573546459,5.7781758288313565,-0.006565862034587533,0.025976281218121677,-0.006565862034587533,0.006927223818717465,-0.11993627691997444,0.061587472281773345
slow_trend_v15_g100_r10_b2_micro,slow_trend,micro,0.15,1.0,10,0.02,False,0.009858529027946261,0.27008542934768176,-0.11446763573546459,5.7781758288313565,-0.006565862034587533,0.025976281218121677,-0.006565862034587533,0.006927223818717465,-0.11993627691997444,0.061587472281773345
slow_trend_v15_g125_r10_b2_micro,slow_trend,micro,0.15,1.25,10,0.02,False,0.009858529027946261,0.27008542934768176,-0.11446763573546459,5.7781758288313565,-0.006565862034587533,0.025976281218121677,-0.006565862034587533,0.006927223818717465,-0.11993627691997444,0.061587472281773345
slow_trend_v10_g100_r10_b2_micro,slow_trend,micro,0.1,1.0,10,0.02,False,0.009858529027946483,0.2700854293476794,-0.11446763573546948,5.7781758288313565,-0.006565862034589198,0.025976281218126118,-0.006565862034589198,0.006927223818717687,-0.11993627691997355,0.06158747228176882
slow_trend_v10_g125_r10_b2_micro,slow_trend,micro,0.1,1.25,10,0.02,False,0.009858529027946483,0.2700854293476794,-0.11446763573546948,5.7781758288313565,-0.006565862034589198,0.025976281218126118,-0.006565862034589198,0.006927223818717687,-0.11993627691997355,0.06158747228176882
slow_trend_v12_g100_r5_b5_micro,slow_trend,micro,0.12,1.0,5,0.05,False,0.01009834233934348,0.2773818970067182,-0.10842454588087591,8.352970872386958,-0.0049699770307454205,0.016581599573299632,-0.0049699770307454205,0.0058716497852449034,-0.11627080900583098,0.03237218804177469
slow_trend_v12_g125_r5_b5_micro,slow_trend,micro,0.12,1.25,5,0.05,False,0.01009834233934348,0.2773818970067182,-0.10842454588087591,8.352970872386958,-0.0049699770307454205,0.016581599573299632,-0.0049699770307454205,0.0058716497852449034,-0.11627080900583098,0.03237218804177469
slow_trend_v15_g100_r5_b5_micro,slow_trend,micro,0.15,1.0,5,0.05,False,0.01009834233934348,0.2773818970067182,-0.10842454588087591,8.352970872386958,-0.0049699770307454205,0.016581599573299632,-0.0049699770307454205,0.0058716497852449034,-0.11627080900583098,0.03237218804177469
slow_trend_v15_g125_r5_b5_micro,slow_trend,micro,0.15,1.25,5,0.05,False,0.01009834233934348,0.2773818970067182,-0.10842454588087591,8.352970872386958,-0.0049699770307454205,0.016581599573299632,-0.0049699770307454205,0.0058716497852449034,-0.11627080900583098,0.03237218804177469
