scenario,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,liquidations,min_margin_buffer,observations_per_year
base,development_2010_2015,0.09436746731309609,0.015174326740525546,-0.1137172822291097,0.3777157466361383,5.370917403805645,0.5785463872671477,0.7267479500858134,171.75299788828727,0,0.924717103371865,252.18449931412894
base,validation_2016_2018,-0.0070966034306336745,-0.0023792853958348736,-0.0754196956458636,-0.04692183230982332,7.182275276565115,0.612223361740084,0.7834658191257539,122.81894931602177,0,0.9322850187095508,251.52747252747253
base,validation_2019_2020,0.025066186978790483,0.012481311385145855,-0.04080837583412855,0.3898399446528622,4.78591957430284,0.49150951114509134,0.6512450254038725,55.51574846852497,0,0.9416956676648492,253.01954732510288
base,bridge_2021_2023,0.02879680234680082,0.009567457350345032,-0.068467369846964,0.24526427024277953,6.170750777357782,0.5366128534169674,0.737049566703338,110.40854799193764,0,0.933989077312548,252.89118457300276
base,holdout_2024_2025,0.08609599132881485,0.042247847400255,-0.03215410845098465,1.132035901091886,5.73699018257945,0.5682455155755752,0.7430059170988431,72.28919357165216,0,0.9332977052158792,252.5185185185185
base,final_2026h1,0.0020283593269616595,0.004143240565650519,-0.01929000871356268,0.13085865814098216,6.085734100349032,0.4893471698260071,0.5833808582843022,19.818123268218333,0,0.9486987438751219,250.981843575419
base,full_2010_2026h1,0.2425252381456684,0.0132597872835154,-0.1137172822291097,0.3534968218225126,5.824570034446825,0.562536366717765,0.7834658191257539,552.603560504642,0,0.924717103371865,251.62879920279022
stress,development_2010_2015,0.07684007632924206,0.012440619318532464,-0.11916995005864417,0.31381962005330666,5.370920059701928,0.5785463872671477,0.7267479500858133,338.95294411969525,0,0.9118008705695118,252.18449931412894
stress,validation_2016_2018,-0.0177137534238474,-0.005960132537495499,-0.07912277320676075,-0.1451378671214583,7.1822744086289845,0.6122233617400838,0.7834658191257539,239.05416001023235,0,0.9169854107584049,251.52747252747253
stress,validation_2019_2020,0.020067138760499592,0.010004377004553477,-0.04189504359292828,0.3157573174209151,4.785923046511881,0.49150951114509134,0.6512450254038724,107.60566786512301,0,0.9288339346550241,253.01954732510288
stress,bridge_2021_2023,0.01937531227808975,0.006457073263745894,-0.06981636569095973,0.1726675702719487,6.170750777357782,0.5366128534169674,0.7370495667033379,211.68110926468708,0,0.9193095300401358,252.89118457300276
stress,holdout_2024_2025,0.07982281671760671,0.03922733900378095,-0.032434826221028445,1.0541765441745348,5.736991155110656,0.5682455155755753,0.7430059170988431,137.8279466508989,0,0.9185820018240405,252.5185185185185
stress,final_2026h1,0.0005150669062528035,0.001051277092140479,-0.019644783699294233,0.04687359745179855,6.085739817296579,0.4893471698260071,0.5833808582843022,37.662393565003015,0,0.937995761824541,250.981843575419
