block_days,horizon_days,median_return,p05_return,prob_positive,median_max_drawdown,p05_max_drawdown
10,252,0.015004868316054742,-0.05525192986475062,0.64,-0.0400139063312806,-0.0811903733868397
10,504,0.02847699786051472,-0.07095975154728719,0.68,-0.055204815790473816,-0.1090689799637975
21,252,0.015064728287294549,-0.05602867739433715,0.637,-0.03991696031574532,-0.08213056258769622
21,504,0.027797899285134542,-0.069554422144438,0.691,-0.054369106785062904,-0.1110922550220223
63,252,0.018047912957106282,-0.056168935864843776,0.6764,-0.036642422497759675,-0.08862102685119193
63,504,0.03097582519919173,-0.07366382723603965,0.6992,-0.05230990006211106,-0.1154534590381153
