date,equity,gross,turnover,costs,short_gross,financing_drag
2008-01-01 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 00:00:00+00:00,10071.346561599552,0.8081205794210613,0.8081205794210613,20.203014485526534,0.28817707592616304,0.0
2008-01-03 00:00:00+00:00,10116.339423780897,0.8081342468839816,1.4731742035827347e-05,0.0003682935508956837,0.28818315796721045,0.0
2008-01-04 00:00:00+00:00,10152.22676008172,0.7918286809627602,0.017575272916564674,0.43938182291411687,0.280927157214667,0.0
2008-01-07 00:00:00+00:00,10133.649750250408,0.7899141610170513,0.0020636027423154915,0.051590068557887295,0.28007519303053874,0.0
2008-01-08 00:00:00+00:00,10243.252792488252,0.7846449608409346,0.005679510395081573,0.14198775987703932,0.2777303912231114,0.0
2008-01-09 00:00:00+00:00,10193.904890627748,0.7843573889178986,0.00030996501776814345,0.007749125444203586,0.2776024212955396,0.0
2008-01-10 00:00:00+00:00,10205.559933088292,0.7626673476085611,0.023379034951925774,0.5844758737981444,0.2679503210971393,0.0
2008-01-11 00:00:00+00:00,10234.711346067155,0.7570296426280526,0.006076710500833341,0.15191776252083353,0.26544153411122123,0.0
2008-01-14 00:00:00+00:00,10262.105873359636,0.7570972795815791,7.290381230700554e-05,0.0018225953076751388,0.26547163265475304,0.0
2008-01-15 00:00:00+00:00,10269.178753577135,0.7549839188060826,0.0022779272169986195,0.05694818042496549,0.26453118400970227,0.0
2008-01-16 00:00:00+00:00,10217.509450179454,0.755059771910571,8.175975120347078e-05,0.0020439937800867695,0.2645649387524637,0.0
2008-01-17 00:00:00+00:00,10253.668619120726,0.7543515796297857,0.0007633388912926895,0.01908347228231724,0.2642497921487119,0.0
2008-01-18 00:00:00+00:00,10280.280529708996,0.7525128150714404,0.0019819483174247175,0.049548707935617935,0.26343153922308127,0.0
2008-01-21 00:00:00+00:00,10263.859537904525,0.7899143378239943,0.13442095770992085,3.3605239427480216,0.31860576674644264,0.0
2008-01-22 00:00:00+00:00,10314.642021920421,0.7896138942337788,0.00030044359021584935,0.007511089755396234,0.3184708751523229,0.0
2008-01-23 00:00:00+00:00,10244.367053167263,0.7891449058520034,0.050543057034335044,1.2635764258583762,0.32678068670395427,0.0
2008-01-24 00:00:00+00:00,10258.640030956094,0.7856439854009997,0.0035009204510035342,0.08752301127508835,0.3252088617228226,0.0
