date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY,FX_EURUSD,FX_GBPUSD,FX_AUDUSD,FX_NZDUSD,FX_USDJPY,FX_USDCAD,FX_USDCHF
2012-08-14 00:00:00+00:00,0.05583436911269325,0.06406363056584315,0.014736170441449196,0.01361626032606127,-0.0004917196742632805,0.06962171432708666,0.03033391055895622,0.080222619917965,0.07177026257429975,-0.07322194677077157,0.004614044059362228,0.05533064809037443,-0.03360189179115801,-0.015254199004879548,-0.03247072710555633,-0.020054069498900214,0.0074281646507828245,-0.0144666585514193,0.024762919141207748,0.016224597368127064,0.03266202254743601
2012-08-15 00:00:00+00:00,0.05607123810374627,0.06426672349993492,0.014798795001290548,0.013673907646573889,-0.00043983304994440163,0.06984301807460916,0.030455163269417364,0.08054382782580137,0.07197602076060011,-0.07352406731717974,0.004360548487543622,0.05549881507630118,-0.033740836226481906,-0.015317498329113402,-0.03256545604185141,-0.02018368069160557,0.007457982829702306,-0.014494055002836122,0.02481030835252307,0.01635599238961982,0.03275729967351795
2012-08-16 00:00:00+00:00,0.056089656375016325,0.06428251543933781,0.014803664512180082,0.013678390141232531,-0.00043579849093461354,0.06986022603600937,0.030464591541575634,0.08056880405571781,0.07199201994257184,-0.07354755936717439,0.004340837379784197,0.05551189127150806,-0.03375164015776005,-0.015322420307797766,-0.03257282189940014,-0.020193758896001467,0.007460301408025608,-0.01449618527439167,0.02481399320525706,0.01636620929956075,0.03276470815677364
2012-08-17 00:00:00+00:00,0.056621642435188635,0.06473864356896768,0.014944313538090651,0.013807860743453042,-0.00031926588476978435,0.07035725398476064,0.030736914024297745,0.08129020759877514,0.07245413398456411,-0.07422609444458693,0.003771509541963834,0.055889578920264936,-0.034063696634220854,-0.015464584792735356,-0.03278557441453478,-0.02048485376432944,0.007527270306969993,-0.014557715195159878,0.024920425033713108,0.016661310483972607,0.03297869185596343
2012-08-20 00:00:00+00:00,0.05678523562239718,0.06487890937683011,0.014987565089492267,0.013847674772527793,-0.0002834304712440103,0.07051009706159164,0.030820657013508067,0.08151204932303771,0.07259624054457219,-0.07443475351341808,0.003596433233525584,0.05600572317827317,-0.034159658384716254,-0.015508302369077992,-0.03285099880183214,-0.020574369525840932,0.00754786418422048,-0.01457663651021069,0.024953154316190766,0.016752058243963374,0.03304449484965426
2012-08-21 00:00:00+00:00,0.057113658823546534,0.06516050145542476,0.015074395190478611,0.013927603839883848,-0.00021148871483307394,0.07081693876706174,0.03098877612078612,0.0819574099793952,0.07288152804424466,-0.0748536491930225,0.0032449569731516845,0.0562388897890658,-0.03435230739304826,-0.015596068043272217,-0.03298234220968471,-0.020754077822076094,0.00758920763626815,-0.014614622192652473,0.025018860326973067,0.01693423985153429,0.03317659833270216
2012-08-22 00:00:00+00:00,0.05710570199884217,0.06515367922484033,0.015072291527003578,0.013925667370184051,-0.00021323167313407922,0.07080950480486337,0.03098470303989115,0.08194662006972847,0.07287461628339069,-0.07484350045967976,0.003253472312450968,0.056233240779365826,-0.03434764001759061,-0.015593941713335172,-0.03297916010662774,-0.020749723965813625,0.007588205993876669,-0.014613701900129266,0.02501726844428028,0.016929826073485938,0.03317339781503541
2012-08-23 00:00:00+00:00,0.05373677349461925,0.06039083694306621,0.022577403055390334,0.01308918639666835,-0.005672345997576605,0.066840185118271,0.02945780051251489,0.10310051846460408,0.05327130007829472,0.0019957950830663262,-0.06053045585726777,0.03429606322846509,-0.028202002948932606,0.023418223348324788,-0.03363500036672401,-0.012314860839398124,0.001727128670068466,-0.0073020426451202835,-0.011220885881188749,0.021040100713229544,0.03389135063643296
2012-08-24 00:00:00+00:00,0.05367993444934499,0.060342102795027636,0.022562375676009522,0.013075353354842192,-0.005684796703663874,0.06678708110634915,0.029428704731472008,0.10302344146632417,0.05322192637676171,0.002068291881145448,-0.060469627100327626,0.03425570990537188,-0.02816866186441634,0.02343341264406149,-0.03361226922629519,-0.012283759358290448,0.001719973504615759,-0.007295468597012458,-0.011232257388769748,0.02100857118485085,0.03386848795247041
2012-08-27 00:00:00+00:00,0.05363268419087151,0.06030159013194196,0.02254988342606943,0.013063853956873654,-0.0056951469669021485,0.06674293577848203,0.029404517429096843,0.10295936741171058,0.05318088205330465,0.0021285584185443476,-0.0604190601973444,0.03422216421618554,-0.02814094544424112,0.023446039494954676,-0.03359337284519878,-0.01225790471885808,0.0017140254205930652,-0.00729000359543101,-0.011241710515046636,0.02098236071002229,0.03384948221932666
