date,equity,gross,turnover,costs,short_gross,financing_drag
2008-01-01 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0
2008-01-02 00:00:00+00:00,10083.470283930465,0.8081227725943803,0.8081227725943801,8.081227725943801,0.2881782316612285,0.0
2008-01-03 00:00:00+00:00,10128.51366520345,0.8081364401266784,1.473181526801589e-05,0.0001473181526801589,0.2881843137375859,0.0
2008-01-04 00:00:00+00:00,10164.713249920052,0.7918301664157099,0.01757603397451502,0.1757603397451502,0.28092799272427893,0.0
2008-01-07 00:00:00+00:00,10146.144626588459,0.7899160585590816,0.0020631583472292764,0.020631583472292762,0.2800762112990446,0.0
2008-01-08 00:00:00+00:00,10255.970115098055,0.7846464447865519,0.0056799556011531875,0.056799556011531874,0.27773122373000253,0.0
2008-01-09 00:00:00+00:00,10206.567168028536,0.7843588547769088,0.0003099844801955501,0.003099844801955501,0.27760324566050726,0.0
2008-01-10 00:00:00+00:00,10218.593601069677,0.7626683348178073,0.02337954841697693,0.23379548416976928,0.26795092542115595,0.0
2008-01-11 00:00:00+00:00,10247.874845490805,0.7570308583734876,0.006076463530060864,0.06076463530060864,0.2654422383041586,0.0
2008-01-14 00:00:00+00:00,10275.306680820477,0.7570984941392087,7.290252434600727e-05,0.0007290252434600727,0.26547233634107076,0.0
2008-01-15 00:00:00+00:00,10282.422439685364,0.7549851265975905,0.002277934270607171,0.02277934270607171,0.26453188399905175,0.0
2008-01-16 00:00:00+00:00,10230.687118983846,0.7550609736650327,8.17532354636585e-05,0.000817532354636585,0.2645656360799399,0.0
2008-01-17 00:00:00+00:00,10266.906191151897,0.7543528439299642,0.0007632713949576571,0.007632713949576571,0.26425051707925307,0.0
2008-01-18 00:00:00+00:00,10293.582161494494,0.7525139717314394,0.001982064131201146,0.01982064131201146,0.26343221565665614,0.0
2008-01-21 00:00:00+00:00,10279.215412038493,0.7899153213619255,0.13442150969102656,1.3442150969102657,0.3186063573586566,0.0
