year,return,max_drawdown
2008,0.0882406082192646,-0.06737393403101077
2009,0.043409691821955976,-0.07265439303153809
2010,0.030461466948748628,-0.046050718668056434
2011,0.026171552624236538,-0.05368902525694774
2012,-0.04231146825941934,-0.07081000381805247
2013,0.056965359701463214,-0.03062877207679615
2014,0.048984240127380785,-0.03992670959094835
2015,0.0027560575245118013,-0.0531623168008325
2016,0.024903077443429344,-0.05241686230160103
2017,0.02412109423699138,-0.016924768061552853
2018,-0.030437689625450015,-0.07783472336035713
2019,-0.01697333053114969,-0.040341496958848366
2020,0.034157420585409826,-0.059208378313651555
2021,0.03212100422472042,-0.03126687308916898
2022,0.01515264868109334,-0.0639721907352343
2023,-0.0361843967551313,-0.0526928962114116
2024,0.046824357266415984,-0.025139521818176358
2025,0.0491812016015063,-0.03985037253367596
2026,-0.009712970974924295,-0.058572476760117564
