candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom+ma+breakout+relative+crisis__vol12__cap075__r5__b10,False,-0.022665483013388582,True,True,True,False,False,True,False,False,0.0069684111197856335,0.11590223915952777,-0.1573249349873066,20.180244030420862
relative__vol08__cap100__r5__b10,False,-0.022692003985990073,True,True,True,False,False,True,False,False,0.008603150802320103,0.16117502631138061,-0.13891515792769682,29.072225653142585
relative__vol08__cap100__r10__b10,False,-0.022692003985990073,True,True,True,False,False,True,False,False,0.008603150802320103,0.16117502631138061,-0.13891515792769682,29.072225653142585
relative__vol08__cap100__r20__b10,False,-0.022692003985990073,True,True,True,False,False,True,False,False,0.008603150802320103,0.16117502631138061,-0.13891515792769682,29.072225653142585
crisis__vol10__cap075__r5__b05,False,-0.02272824828073611,True,True,False,False,False,True,True,True,0.0012168928687295022,0.02187812966978295,-0.1460098823974102,4.059133433229361
relative__vol08__cap100__r20__b05,False,-0.022832290710475475,True,True,True,False,False,True,False,False,0.0085477507993994,0.16014093826693981,-0.13891515792769682,29.07438533115202
relative__vol08__cap100__r10__b05,False,-0.022832290710475506,True,True,True,False,False,True,False,False,0.0085477507993994,0.1601409382669398,-0.13891515792769682,29.074385331152026
tsmom+relative__vol12__cap125__r10__b10,False,-0.02285982736551551,True,True,False,False,False,True,False,False,0.011053594082158114,0.13349415121929906,-0.20438829220893695,17.39526669433386
crisis__vol10__cap100__r10__b10,False,-0.022873008826388576,True,True,False,False,False,True,True,True,0.0027449207437810763,0.042068583108628814,-0.1697527972785169,4.122830976188915
tsmom+relative__vol10__cap125__r5__b10,False,-0.02288203215844864,True,True,True,False,False,True,False,False,0.00965889083373539,0.12540918191217504,-0.1994180986024109,21.691053628645218
relative__vol08__cap100__r5__b05,False,-0.022946301992720776,True,True,True,False,False,True,False,False,0.00850274257627337,0.15930304686844154,-0.13891515792769682,29.07635707839143
crisis__vol10__cap075__r5__b10,False,-0.02300752225074144,True,True,False,False,False,True,True,True,0.001167270642472129,0.02094145724949833,-0.14614046309568784,4.006888648639902
tsmom+relative__vol10__cap125__r5__b05,False,-0.02325610598354926,True,True,True,False,False,True,False,False,0.009500791383340923,0.12339231404916831,-0.197776713573391,21.84041563518866
crisis__vol10__cap100__r5__b05,False,-0.023698747479566427,True,True,False,False,False,True,True,True,0.002732557018221504,0.04144726250336109,-0.16542361594604704,5.379722710287785
tsmom+relative__vol12__cap125__r10__b05,False,-0.023876110105508386,True,True,False,False,False,True,False,False,0.010719742156982903,0.12946834894763223,-0.20638975379409996,17.428269026897933
crisis__vol10__cap125__r5__b05,False,-0.02425299183355161,True,True,False,False,False,True,True,False,0.00465916964123414,0.06345642012945904,-0.18746091779756524,6.493054340826311
crisis__vol12__cap075__r10__b05,False,-0.024405393035096607,True,True,False,False,False,True,True,True,0.0015842122216420673,0.026864670904747496,-0.16873053678540284,3.194061914464575
tsmom+crisis__vol08__cap075__r5__b05,False,-0.024623637501647692,True,False,False,False,False,True,False,False,0.005543521696995901,0.09937337286687183,-0.1798742749200476,14.211178496445587
