candidate,scenario,period,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,average_gross,max_gross,final_equity
V95,stress,development,0.21532238919961633,0.03187838917867447,0.06317139585200764,0.5046332877202262,0.8015873714415294,-0.10652971085164142,0.2992441162547592,8.278630678264227,0.7241526882737597,0.8750000000000004,12153.223891996164
V95,stress,validation_a,0.10444912245632754,0.02429362066245866,0.04313289111010786,0.5632272736006244,0.9212445594960031,-0.053162158758597755,0.45697204985171386,8.998768104483501,0.8364249735862752,0.8750000000000004,13418.065691317655
V95,stress,validation_b,-0.014331623472319643,-0.0046291742505207845,0.05580520957412988,-0.08295236745543506,-0.12887817201754795,-0.11393051185104486,-0.04063155844128098,10.038494698394574,0.7867437684675578,0.8750000000000002,13225.668404245931
V95,stress,bridge,0.00979058173882974,0.003148643221746461,0.0511036628331171,0.061612867790486865,0.09520613558720296,-0.10149124654528519,0.031023791005873033,9.850636572634226,0.7734526556567347,0.8750000000000002,13355.910865753754
V95,stress,holdout,0.09833266160916687,0.046502509088719446,0.042818742217594026,1.086031645964878,1.7415744515884664,-0.03985034129699472,1.1669287533109884,8.996781221727051,0.8415334727061474,0.8750000000000003,14668.911476456627
V95,stress,final_2026h1,-0.012676508759793204,-0.024803616506734683,0.05704133978832313,-0.43483579801560346,-0.6169907179038763,-0.05857249567221545,-0.4234686642949477,10.867619568308907,0.8220126913673893,0.8750000000000003,14526.432727664658
V95,stress,prefinal,0.46689114764566275,0.02078237566676533,0.05388481859365374,0.3856814629642822,0.6089600094066703,-0.11393051185104486,0.18241272973421416,9.07369067260435,0.7807595657522081,0.8750000000000004,14668.911476456627
V95,stress,full,0.45264327276646577,0.019704896700898145,0.05397708164150306,0.3650604312358195,0.5743766937939154,-0.11393051185104486,0.1729553951856263,9.121310518861128,0.7818546300572149,0.8750000000000004,14526.432727664658
V95,severe,development,0.12504193001995478,0.019140463795136897,0.06324162031359483,0.3026561258270345,0.47831393762267677,-0.12219165693328604,0.15664296790399668,8.278630678264227,0.7241526882737597,0.8750000000000004,11250.419300199548
V95,severe,validation_a,0.04459366364789896,0.01059673824414653,0.04333289085038428,0.24454261038650638,0.3965417076315833,-0.06293683181545973,0.16837101484894829,8.998768104483501,0.8364249735862752,0.8750000000000004,11746.006642287151
V95,severe,validation_b,-0.05948082208866745,-0.019518048726510306,0.05602559761951268,-0.3483773409980107,-0.5361038473543138,-0.15023143127568162,-0.1299198746944891,10.038494698394574,0.7867437684675578,0.8750000000000002,11047.265474276192
V95,severe,bridge,-0.035420979704317235,-0.011568932299044321,0.05117815619796716,-0.22605215112270594,-0.34722620313665237,-0.11785794058338739,-0.09815997328460883,9.850636572634226,0.7734526556567347,0.8750000000000002,10656.563294110849
V95,severe,holdout,0.06835293515069729,0.03256074028351752,0.04320325027564168,0.7536641358179366,1.1991127728738102,-0.046878695956798166,0.6945743608893132,8.996781221727051,0.8415334727061474,0.8750000000000003,11382.420661454353
V95,severe,final_2026h1,-0.020820606894379146,-0.040577090544668515,0.05709938025051069,-0.7106397716865868,-1.0059827323284323,-0.06380689987279364,-0.6359357785061426,10.867619568308907,0.8220126913673893,0.8750000000000003,11178.885714490512
V95,severe,prefinal,0.13824206614543533,0.006975693153582485,0.054032928380534556,0.1291007791481368,0.20251988050303468,-0.15700534806911115,0.04442965312564959,9.07369067260435,0.7807595657522081,0.8750000000000004,11382.420661454353
V95,severe,full,0.11788857144905118,0.00584098847722303,0.054123040142058834,0.10792055401714246,0.16872830998090566,-0.15700534806911115,0.03720248099225209,9.121310518861128,0.7818546300572149,0.8750000000000004,11178.885714490512
V95,extreme,development,-0.010841719709420605,-0.001752633283483962,0.06352134466913366,-0.027591249722640127,-0.04324896199086367,-0.14770341379617813,-0.011865895570311537,8.278630678264227,0.7241526882737597,0.8750000000000004,9891.582802905794
V95,extreme,validation_a,-0.04810962412123887,-0.011842039166707008,0.04400626215857828,-0.26909895514492366,-0.4286174990221583,-0.09804989947050113,-0.12077563802367541,8.998768104483501,0.8364249735862752,0.8750000000000004,9407.969859315244
V95,extreme,validation_b,-0.13023067039530178,-0.043857235385750926,0.05668051741173529,-0.7737620859591977,-1.169504684774853,-0.21081889965571232,-0.20803274970780153,10.038494698394574,0.7867437684675578,0.8750000000000002,8182.705095049046
V95,extreme,bridge,-0.10637113329403425,-0.03563770942085065,0.05162178275459907,-0.6903618495755192,-1.0480620037461255,-0.15824792441228885,-0.2252017494270729,9.850636572634226,0.7734526556567347,0.8750000000000002,7312.7151226825235
V95,extreme,holdout,0.020162531697371255,0.009720815791800064,0.044140842627845504,0.22022270561885132,0.34376014011806383,-0.0597846103849794,0.16259729266785308,8.996781221727051,0.8415334727061474,0.8750000000000003,7455.974790319978
V95,extreme,final_2026h1,-0.03425391817683077,-0.06631809465752159,0.05746830132736759,-1.1539943434162294,-1.6292957798702268,-0.07247162380541394,-0.9150905026715759,10.867619568308907,0.8220126913673893,0.8750000000000003,7222.191587100497
V95,extreme,prefinal,-0.2544025209680022,-0.015636890517771507,0.054531535103112865,-0.28674950170032704,-0.4443221424242376,-0.36792623877395436,-0.04250006895370803,9.07369067260435,0.7807595657522081,0.8750000000000004,7455.974790319978
V95,extreme,full,-0.2777808412899503,-0.016863148381991877,0.05461862578870186,-0.30874354926520514,-0.4769737376789062,-0.36792623877395436,-0.04583295944911452,9.121310518861128,0.7818546300572149,0.8750000000000004,7222.191587100497
