year,V75_original,V100_candidate
2021,1.0440158280864336,1.073945993209386
2022,0.010811554628629816,0.01330373456373124
2023,0.14851914071837702,0.14840432336928377
2024,0.4195522030251695,0.42002023827483814
2025,0.23816495433729012,0.21850051160486017
2026,0.04425555083890176,0.04690337178130766
