policy,validation_2024_net_pct,later_608day_net_pct,later_close_dd_pct,later_order_fills,later_rebalance_days,later_closed_asset_positions,later_fees_usdt,full_cagr_pct,full_close_dd_pct,full_accounting_complete
 early_total,69.75594355901471,3.192650224607685,-33.56483203793164,665,313,135,923.6656656028989,,-45.20211323740132,false
early_downside,91.60447630513335,-1.693361406856131,-33.45009195524102,670,313,141,971.6758572825544,,-43.44345216300161,false
early_full,79.7327536368076,-13.274010673420655,-37.91398038267384,675,311,151,944.6480338494798,,-56.17567282685988,false
leader_downside,156.25558561284882,-1.7538895777850283,-46.630668978720315,280,228,85,1684.5605498892837,55.73862059971455,-53.920909950184395,true
residual_downside,100.51153851864795,-0.7659991536694166,-25.65860816803165,537,286,114,777.1998807039745,,-46.90200665577275,false
ignition_downside,102.68764141668952,-21.43823068840606,-44.88413557516219,911,446,84,555.6954077510068,,-59.379314240407396,false
rebound_downside,10.679023771261576,-18.872885579593767,-31.454657090294656,371,196,80,369.15911474728654,0.4671422231112832,-54.171420883904844,true
asymmetric_blend,80.70940618617098,-21.974931806143537,-32.766770584681616,1103,436,180,617.8599110077998,33.90213757313762,-44.45436512883503,true
asymmetric_blend_weekly,67.03091985378455,-12.663131148328121,-27.09682049365706,279,80,98,271.8476836226941,29.79058315055214,-53.48202051259753,true
guarded_plus_pulse,42.83207074204161,-0.7995650792544273,-13.014221476714816,1155,397,179,268.0377070446893,18.299585496429117,-27.751175481210677,true
btc_early_downside,30.018740874464832,-9.26334365478777,-21.786780638430116,62,62,20,405.706966016736,9.237822324810207,-38.43391221775773,true
guarded_control,22.925979551500397,8.642288466009497,-7.3561574193716,130,26,35,58.924458632400665,15.046013817733561,-14.962395424773046,true
raw126_control,162.91804380767462,-7.801620187498825,-44.61014822849687,123,50,26,171.43068492674456,84.35527315327785,-67.01442791425032,true
btc_hold,120.16026922723016,-16.210544525905647,-52.812072431581505,2,1,1,18.297341322049803,19.180171951939194,-76.49726633482824,true
cash,0,0,0,0,0,0,0,0,0,true
