policy,promotable,development_total_return,development_cagr,development_sharpe,development_max_drawdown,development_annual_turnover,development_annual_meta_turnover,development_average_gross,development_max_gross,development_average_risky_budget,development_max_risky_budget,development_final_equity,development_meta_cost,development_extra_underlying_cost,development_financing_drag,wf_2022_total_return,wf_2022_cagr,wf_2022_sharpe,wf_2022_max_drawdown,wf_2022_annual_turnover,wf_2022_annual_meta_turnover,wf_2022_average_gross,wf_2022_max_gross,wf_2022_average_risky_budget,wf_2022_max_risky_budget,wf_2022_final_equity,wf_2022_meta_cost,wf_2022_extra_underlying_cost,wf_2022_financing_drag,wf_2023_total_return,wf_2023_cagr,wf_2023_sharpe,wf_2023_max_drawdown,wf_2023_annual_turnover,wf_2023_annual_meta_turnover,wf_2023_average_gross,wf_2023_max_gross,wf_2023_average_risky_budget,wf_2023_max_risky_budget,wf_2023_final_equity,wf_2023_meta_cost,wf_2023_extra_underlying_cost,wf_2023_financing_drag,score
invvol_63_r14,True,0.7124514878794952,0.19672875233796772,2.4373896603918173,-0.03656713728973171,13.977591275223277,3.8726720852206453,0.38343546278702895,0.5341186475476476,1.0,1.0,17124.51487879495,57.99849772728236,0.0,0.0,0.17169307215680973,0.1723269680663151,2.8038274202115683,-0.01908085168685092,12.259621217735184,3.3261192032261384,0.3607386739376897,0.4996003484917305,1.0,1.0,16569.37621377512,16.574021232117214,0.0,0.0,0.03350389645678464,0.03362016203768525,0.6615817811507366,-0.03656713728973238,14.186197311437052,3.413981175734286,0.3956759018137807,0.4994114437530194,1.0,1.0,17124.51487879495,17.01183662864097,0.0,0.0,1.6551703767500796
invvol_126_r28,True,0.6983175725455246,0.19342200008553112,2.424919084775606,-0.031602097900162884,12.266132268356994,1.9707394667818123,0.3802650604356487,0.5341971238940214,1.0,1.0,16983.175725455247,29.514486630927436,0.0,0.0,0.15870402953346985,0.15928678431880106,2.723128397143789,-0.01788044365228081,10.070318593427215,0.9536819511926107,0.3580538244236263,0.5020392787753999,1.0,1.0,16536.02323293163,4.752188343827871,0.0,0.0,0.027041114192021265,0.027134659154564478,0.5709403078708963,-0.031602097900162995,12.38462128450636,1.4946248880719732,0.3909101661278963,0.4953918597475059,1.0,1.0,16983.175725455247,7.447701996046439,0.0,0.0,1.6429314026463513
online_global_126_r14,True,0.49047324962881733,0.142525649906597,1.4780527445914549,-0.099720898171341,37.02676750745031,29.150707264341296,0.35208770125814587,0.5895490492452801,0.8849315068493151,1.0,14904.732496288174,436.57123345707816,0.0,0.0,0.08019883895534519,0.080483327276625,1.0667200197701268,-0.09142611194163619,34.66911735726205,28.91355359363089,0.33571304831693927,0.5895490492452801,0.8465753424657534,1.0,15218.636464422634,144.07597018531035,0.0,0.0,-0.02062628730690097,-0.020695960704470773,-0.2025922527483726,-0.09972089817134133,49.47169037439458,42.39210747180532,0.33797494015722457,0.5787137737583187,0.8082191780821918,1.0,14904.732496288174,211.23947952027947,0.0,0.0,0.3605930591590244
online_state_duration_budget_126_r14,True,0.192233594801674,0.060459234560091835,1.1739688864775457,-0.05544221714020814,35.6382848816362,30.407862087400787,0.193038993270982,0.36666733208664487,0.5111891070646125,0.7017973084739881,11922.33594801674,455.39882576119237,0.0,0.0,0.025875180727636282,0.02596464153090916,0.7529934399703532,-0.023202340496011997,47.42897900411747,43.236082021195074,0.18281794639441137,0.3108588119003106,0.51071846341971,0.604357165464609,12280.818599987804,215.44499689541883,0.0,0.0,-0.029190452497313224,-0.029288619384634784,-0.6341988620415745,-0.05544221714020692,33.48171217920789,28.3870425819011,0.17555166980870246,0.3422357873436403,0.45505022473082857,0.6593495713737048,11922.33594801674,141.45237068265604,0.0,0.0,-0.020766353005131355
online_state_duration_126_r14,True,0.3274915248113264,0.09919651851883615,1.1069112537566441,-0.10133863564306711,62.63928470432073,53.32056734297359,0.34671324404352794,0.5873732851084321,0.9214611872146119,1.0,13274.915248113264,798.547549548767,0.0,0.0,0.05431328977036398,0.054503649267495735,0.8134496701450371,-0.04577331155460029,87.57375687526557,79.40794864573665,0.3570000080897967,0.5873732851084321,0.9972602739726028,1.0,14080.164548318971,395.6890737940977,0.0,0.0,-0.05719033307049293,-0.057379839193312576,-0.6644137957640833,-0.10133863564306589,57.890023546230104,48.963715688250204,0.31208132656746346,0.5787137737583187,0.8054794520547945,1.0,13274.915248113264,243.98574249331708,0.0,0.0,-0.4119142461672796
online_state_126_r14,True,0.30986335125813436,0.09430159688365958,1.0508100601221881,-0.10484680744055486,60.83920217354959,51.15538593581651,0.37005673110333176,0.5873732851084321,0.9689497716894977,1.0,13098.633512581344,766.1210321058373,0.0,0.0,0.04294371421117704,0.0430934150479787,0.6780444076582116,-0.04439712702071574,85.34955493644651,76.94688619982516,0.35418852720463634,0.5873732851084321,0.9972602739726028,1.0,13966.866452450597,383.4256223842565,0.0,0.0,-0.062163760412910274,-0.06236919506069549,-0.7156438966527227,-0.10484680744055475,55.75744501756374,45.69675335978113,0.38081287896958405,0.5787137737583187,0.947945205479452,1.0,13098.633512581344,227.70649942107408,0.0,0.0,-0.4349646136078751
online_state_duration_budget_vol22_cap125,True,0.22456477823692644,0.06997483695594386,0.7552680095945151,-0.13548266987236113,76.39544842876913,65.6716183308255,0.3940678909922401,0.7233922171978983,1.0489188324029584,1.2500000000000002,12245.647782369264,983.5212284156839,0.0,403.51062658325844,0.04818199053782801,0.04835037146984411,0.6384080501910475,-0.04867228662183842,109.62357883375617,99.45287577463492,0.4182503184246559,0.6646996353222587,1.1862217671337292,1.25,13418.845340339793,495.57276031632557,0.0,154.1688973572673,-0.08742909901820362,-0.08771404665323534,-0.8253737284304129,-0.13548266987236146,72.36252943278762,61.204644610312755,0.3899669874928586,0.7233922171978983,1.0065755026689884,1.2500000000000002,12245.647782369264,304.98217811664637,0.0,160.87684049135515,-0.8932724780671093
online_state_duration_budget_vol18_cap125,True,0.20684480490730706,0.06478057461969544,0.7373683083437979,-0.13660366184895956,75.18197014597696,64.71841243802724,0.3756609533814006,0.7233922171978983,1.0066737398240977,1.2500000000000002,12068.448049073071,969.2456820770011,0.0,376.4173630253835,0.04779743477814735,0.04796444129928967,0.6671466958142254,-0.044205324446613625,109.38984366499228,99.30518745062652,0.39385846685148634,0.5887652515359846,1.1321599794446895,1.25,13241.839208702106,494.83683076350724,0.0,143.1455758446959,-0.08861240052348018,-0.08890101394101635,-0.8385178925314805,-0.1366036618489589,72.36252943278762,61.204644610312755,0.38968522419098295,0.7233922171978983,1.0060026217353992,1.2500000000000002,12068.448049073071,304.98217811664637,0.0,160.54794520547944,-0.8981748163916422
static_40_60_v285,False,0.8204707679247509,0.22141950902895458,2.640682939393805,-0.03109170752669077,10.925445876606233,0.667719378427788,0.38142588914574016,0.530527201859801,1.0,1.0,18204.70767924751,10.0,0.0,0.0,0.16055286113995582,0.1611428649120401,2.689904155422787,-0.017522544870855805,8.772535377726896,0.0,0.36464863367041384,0.5061656796958859,1.0,1.0,17502.580212610283,0.0,0.0,0.0,0.0401156548410706,0.04025530803631927,0.8006302368122221,-0.031091707526692325,10.515737413079169,0.0,0.39661265795402245,0.4957367298523373,1.0,1.0,18204.70767924751,0.0,0.0,0.0,1.8866884687114798
static_50_50,False,0.7999217159210261,0.2167991373452074,2.6127807401327723,-0.03799925461838227,9.972062628926299,0.667719378427788,0.396327390431026,0.5341186475476476,1.0,1.0,17999.21715921026,10.0,0.0,0.0,0.16851368831188474,0.16913502036781436,2.6556948283958306,-0.01993927395602979,7.81570477501374,0.0,0.3804285142618029,0.5149540493126605,1.0,1.0,17198.052588150127,0.0,0.0,0.0,0.04658460991171509,0.04674728493749525,0.8319854974872517,-0.037999254618382494,9.609145708424244,0.0,0.41397089855315783,0.5062817493472217,1.0,1.0,17999.21715921026,0.0,0.0,0.0,1.8776836119212943
