candidate,scenario,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross
v7_baseline,stress,validation_a,0.0193917760382047,0.0194455648001781,-0.1932225825531449,0.1958953456044627,19.86367717806313,0.3752198469509842,0.9037472821068104
v8_relative_standalone,stress,validation_a,0.0520053073597277,0.0521518415550585,-0.0519344204457498,0.6063947645814116,6.686850695439228,0.6741686987981311,0.9742481757975164
v8_v7_fixed,stress,validation_a,0.0497980773699555,0.0499382458402659,-0.1789676327241351,0.346663516283816,21.464619412027023,0.6271005068133119,0.8826952686730688
v8_v7_ratchet,stress,validation_a,0.0412564674702551,0.0413721223746565,-0.2238624070059396,0.2897649505855549,28.34248236926567,0.7699664977177212,0.8884250789892455
v7_baseline,stress,bridge_2025,0.0945041447116379,0.0947757038993604,-0.1521796487698392,0.506580114405705,17.635973803511604,0.3661459951131394,0.805118569008151
v8_relative_standalone,stress,bridge_2025,0.0923360492684068,0.0926011186634596,-0.1036332909594234,0.7859895984395092,7.308632402655716,0.494643912562983,0.6575504822032691
v8_v7_fixed,stress,bridge_2025,0.121853115520101,0.1222075472837287,-0.1621810474662367,0.5830544778389342,20.245045546098297,0.560303569130764,0.8776692037903647
v8_v7_ratchet,stress,bridge_2025,0.1198077520978257,0.1201559218968593,-0.2005254396900724,0.5259240307838168,27.139699993179292,0.7179728364986012,0.9878864849527113
v7_baseline,stress,final_2026h1,0.0615595516378297,0.1287802483418985,-0.0704150447037553,0.9896735425113206,13.37090092768164,0.2192007982473805,0.8513102348787539
v8_relative_standalone,stress,final_2026h1,0.0591718262490559,0.123637828774386,-0.0454023604330924,1.199950415040071,8.331476698772928,0.711329881187223,0.9366561645342985
v8_v7_fixed,stress,final_2026h1,0.0887283159282783,0.1881316878193015,-0.0714113246817906,1.219589409760265,15.35880313096338,0.3622735978153891,0.8441674972168872
v8_v7_ratchet,stress,final_2026h1,0.1472375602561388,0.3211853586054041,-0.1064702972592352,1.3725171772067566,22.59458238035601,0.5238384355008097,0.890715070557234
v7_baseline,stress,full,1.6339846784588543,0.1927030233669155,-0.2776166094504877,0.9927650641983754,14.713177490795486,0.2763730580290942,0.9165216599565864
v8_relative_standalone,stress,full,0.3342619946225074,0.0538726628676973,-0.1667056193309063,0.5084020454748656,7.746401763983794,0.5375812439016615,0.9742481757975162
v8_v7_fixed,stress,full,1.9736168512824048,0.219315699546778,-0.2968365818858143,1.0529436313840532,16.98224919230073,0.4576913814164405,0.9534414814453676
v8_v7_ratchet,stress,full,2.0147056557006904,0.2223641248889127,-0.2336861931223625,1.211992529517684,13.403704842778597,0.3603233971413409,0.9136463023235392
v7_baseline,severe,validation_a,-0.0574051054589496,-0.0575581835956094,-0.2317535586925559,-0.2034499424289541,19.86367717806313,0.3752198469509842,0.9037472821068104
v8_relative_standalone,severe,validation_a,0.0250801968168263,0.0251499577292904,-0.0644897198103741,0.3176664520846644,6.686850695439225,0.6741686987981312,0.974248175797516
v8_v7_fixed,severe,validation_a,-0.0354695125303186,-0.0355652025561891,-0.2222167073426189,-0.08682855836818,21.46461941202702,0.6271005068133116,0.8826952686730686
v8_v7_ratchet,severe,validation_a,-0.0688029713055677,-0.068985315578774,-0.2754677568903617,-0.1858094085808206,28.34248236926568,0.7699664977177214,0.8884250789892455
v7_baseline,severe,bridge_2025,0.0212481029221369,0.0213070943560236,-0.1604746474659819,0.2063214935033035,17.635973803511604,0.3661459951131394,0.805118569008151
v8_relative_standalone,severe,bridge_2025,0.0630711321949704,0.0632497723979022,-0.1093357743516326,0.562712243881094,7.308632402655718,0.494643912562983,0.6575504822032692
v8_v7_fixed,severe,bridge_2025,0.0367488000710005,0.0368515961409374,-0.1721166051575473,0.2690976562946682,20.245045546098297,0.560303569130764,0.8776692037903651
v8_v7_ratchet,severe,bridge_2025,0.0077081684724897,0.0077294263900173,-0.2147714102993712,0.1755150144980497,27.13969999317929,0.7179728364986012,0.987886484952711
v7_baseline,severe,final_2026h1,0.0351977087554009,0.0726645254379758,-0.0794480728979609,0.5990916641752816,13.37090092768164,0.2192007982473805,0.8513102348787541
v8_relative_standalone,severe,final_2026h1,0.0445421652105733,0.092389893152196,-0.0491998756856835,0.9225417560622352,8.331476698772923,0.711329881187223,0.9366561645342985
v8_v7_fixed,severe,final_2026h1,0.058605134581976,0.1224190982355954,-0.0783829250642633,0.841333700743588,15.35880313096338,0.3622735978153891,0.8441674972168872
v8_v7_ratchet,severe,final_2026h1,0.1008849081892231,0.2151876131101167,-0.1160954379260235,0.993602795353728,22.594582380356005,0.5238384355008097,0.890715070557234
v7_baseline,severe,full,0.9090950320483876,0.1248580850648715,-0.3292068746773187,0.6947322453302593,14.713177490795486,0.2763730580290942,0.9165216599565864
v8_relative_standalone,severe,full,0.127044751171067,0.0220000313310684,-0.2135018253023928,0.2447877688723279,7.746401763983794,0.5375812439016615,0.9742481757975164
v8_v7_fixed,severe,full,1.0516723808755244,0.1396968401520777,-0.3529923712244445,0.7292325545139405,16.98224919230073,0.4576913814164405,0.9534414814453674
v8_v7_ratchet,severe,full,1.2810799720734631,0.1618903584852329,-0.2808322801804893,0.9249108457447778,13.434392634838598,0.3607659076005796,0.9136463023235392
