block_days,horizon_days,simulations,positive_probability,greater_than_10_probability,greater_than_20_probability,median_return,p05_return,p95_return,median_max_drawdown,p05_max_drawdown,p20_before_m10_probability,p50_before_m20_probability
14.0,365.0,10000.0,0.8326,0.654,0.4619,0.17843245082943227,-0.10401002516549906,0.6430050999005358,-0.11578537566149755,-0.2128930673491938,0.5591,0.1478
30.0,365.0,10000.0,0.8018,0.6262,0.4531,0.16946114849392047,-0.118983342464495,0.7175609976318431,-0.11783811580111714,-0.20868897971452133,0.5435,0.1761
60.0,365.0,10000.0,0.7539,0.5778,0.4096,0.1447170885663891,-0.12857912733105778,0.6989677538964328,-0.11884060036986882,-0.20263373168183343,0.5016,0.1691
