symbol,dataset,date,valid,http_status,checksum_status,checksum_valid,bytes,row_count,reason,archive_sha256
BTCUSD_PERP,mark_price_1m,2021-10-15,True,200,200,True,36971,1440,ok,9d773b27ed8572cb00ec101fbf2f9199a1c6ab8f30ef07088246813b2a1b948c
BTCUSD_PERP,mark_price_1m,2022-01-15,True,200,200,True,34898,1440,ok,334b252467a110c8003be4409da346f8f60e8e411a51c7f95f9f1e5069c9a5de
BTCUSD_PERP,mark_price_1m,2022-04-15,True,200,200,True,34832,1440,ok,32f1617662e4b710b74f22e78c2cf13b1f3c3c247398d73c2ee9f518f96d3747
BTCUSD_PERP,mark_price_1m,2022-07-15,True,200,200,True,35983,1440,ok,085f1a33cebc618cf8631e64ffd079ca255f4eecd53eb270bc898d2b083306b1
BTCUSD_PERP,mark_price_1m,2022-10-15,True,200,200,True,32196,1440,ok,33468f0ccad08565ef22032423d604585d40b3c5301a3521e8435abe58a729ad
BTCUSD_PERP,mark_price_1m,2023-01-15,True,200,200,True,38710,1440,ok,223f84b229977ff52f5e120e9546b68fc105d9cb54683a6ce21e43d800ce8b52
BTCUSD_PERP,mark_price_1m,2023-04-15,True,200,200,True,32206,1440,ok,a5cb90780aea1cddd22c1c1364b02c4b981b8f95a1ec6e38645dc9d70dba424e
BTCUSD_PERP,mark_price_1m,2023-07-15,True,200,200,True,32273,1440,ok,6d86e72020e248cad76cd1d229877116c263d4f275d49bf01a04b3700e55bab0
BTCUSD_PERP,mark_price_1m,2023-10-15,True,200,200,True,31677,1440,ok,07a7f8a906a581549b25056c2bea972c60be041b43aba591bd80e4331bf9bc0b
BTCUSD_PERP,mark_price_1m,2024-01-15,True,200,200,True,38356,1440,ok,e56db6ce415b6348a3a0dbf1dfb12348302e485f3862eb4745d94c8ff786b427
BTCUSD_PERP,mark_price_1m,2024-04-15,True,200,200,True,38811,1440,ok,a817fc1115dbb0c159e734edb3f43338fa23c70225abe2af39200161b823ca37
BTCUSD_PERP,mark_price_1m,2024-07-15,True,200,200,True,38909,1440,ok,67c3aaad2e7d01720b0c95ed0356517c60dda7eacdb9780010f86a30840debfa
BTCUSD_PERP,mark_price_1m,2024-10-15,True,200,200,True,40364,1440,ok,23646b90bf4a51cd368fa54ecba7168e907c2369d7be1f517fc7010775231dda
BTCUSD_PERP,mark_price_1m,2025-01-15,True,200,200,True,38393,1440,ok,2d26d4b8e72e3321ec1fd85af04b45cbca1caf7b8011dbb645873b038af12aa2
BTCUSD_PERP,mark_price_1m,2025-04-15,True,200,200,True,37725,1440,ok,9af25ca4097374a0d20a80149f9fb818664a5b5d2839fb4b6ba7bb16498933c9
BTCUSD_PERP,mark_price_1m,2025-07-15,True,200,200,True,37425,1440,ok,1759e788a8da29d991bbb0ef526eaabea823b18858f684c388710a9395e9c59c
BTCUSD_PERP,mark_price_1m,2025-10-15,True,200,200,True,38578,1440,ok,4417605d70207a8720d500f33dafd77351d1233ea576252fd2280075c6dba926
BTCUSD_PERP,mark_price_1m,2026-01-15,True,200,200,True,36930,1440,ok,054b660c652c6fec2a8c2cbd9c69150c05828193ed3f9b2c5396dc8f406c2e57
BTCUSD_PERP,mark_price_1m,2026-04-15,True,200,200,True,36976,1440,ok,3b5cec8e39e71988de77c0eb587a84a6b3662899c089049d8c5e7591889c8864
ETHUSD_PERP,liquidations,2021-01-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2021-04-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2021-07-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2021-10-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2022-01-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2022-04-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2022-07-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2022-10-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2023-01-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2023-04-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2023-07-15,True,200,200,True,555,16,ok,be46ecb87aada828b12744328f0f5808a3fc836975846fd5571f926f970143d1
ETHUSD_PERP,liquidations,2023-10-15,True,200,200,True,579,20,ok,2f2ec07a412aee5d59ab9b761823fd5297ced05cb782541d50c3caebffecbcfb
ETHUSD_PERP,liquidations,2024-01-15,True,200,200,True,1234,82,ok,241f4eeb2e164de593a7527b1e21b251a69e1c7a04e13e64859cb3dd08533b93
ETHUSD_PERP,liquidations,2024-04-15,True,200,200,True,3016,256,ok,247a7ccf1376f7dabe6e303826ed7d57cefdbf4c0a822b8d1760741b190e68fa
ETHUSD_PERP,liquidations,2024-07-15,True,200,200,True,1935,152,ok,8c64f570740768d4de1fb00ac752490960e405216262c3ac6eeabb7632b08182
ETHUSD_PERP,liquidations,2024-10-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2025-01-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2025-04-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2025-07-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2025-10-15,False,404,404,,391,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2026-01-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,liquidations,2026-04-15,False,404,404,,371,,missing_archive_or_checksum,
ETHUSD_PERP,metrics,2021-01-15,False,404,404,,367,,missing_archive_or_checksum,
ETHUSD_PERP,metrics,2021-04-15,False,404,404,,347,,missing_archive_or_checksum,
ETHUSD_PERP,metrics,2021-07-15,True,200,200,True,6729,288,ok,a263949a6d0d2bb634a50cc542cc03e8fc88ed0f1e2d1af0c9495c9840375fd6
ETHUSD_PERP,metrics,2021-10-15,True,200,200,True,6769,288,ok,6372704148b206da11a7fe1b3b3b5191168018845a8531d2da0b7e17cb2ae42c
ETHUSD_PERP,metrics,2022-01-15,True,200,200,True,6685,288,ok,16f91aadeda27646b3b91cde71cc7723fdb34a6409cccf73d206b7d8115eda0d
ETHUSD_PERP,metrics,2022-04-15,True,200,200,True,6694,288,ok,efd9b7d97f960f64d1372ac8bd1dc3c078b9ceaf0d3ccf2fa2186ddc21210319
ETHUSD_PERP,metrics,2022-07-15,True,200,200,True,6725,288,ok,b3583492849eb2d09bc6202bc631ff71490c70499845293b129d8e42de28f2bb
ETHUSD_PERP,metrics,2022-10-15,True,200,200,True,6693,288,ok,fbde950c2f4272c5fac3cc76d2826c8267f9b36adbc810490fd5404e26ba6a91
ETHUSD_PERP,metrics,2023-01-15,True,200,200,True,6713,288,ok,0f22d27696399361b5862968f1654957ddff2ce89fdf859b2411a877a19bbeac
ETHUSD_PERP,metrics,2023-04-15,True,200,200,True,6711,288,ok,dac13f91d3d9cc4d57734f05cfc33ce97b2dac9a2e2e1dc2a527d7ead6dff47e
ETHUSD_PERP,metrics,2023-07-15,True,200,200,True,6789,288,ok,0061aba96f8e4246cb68edf6c48493581cf0d8ca80c3159547b958b0c32165a9
ETHUSD_PERP,metrics,2023-10-15,True,200,200,True,6605,288,ok,43da6e8e8b02391a969d07095115dd772ad2fdb149d4058ce1dc3a87a57ec3f8
