policy,name,entry_return,exit_return,minimum_hold_days,high_leverage,low_leverage,rebalance_days,no_trade_band,inverted,promotable,eligible,score,base_total_return,base_cagr,base_sharpe,base_sortino,base_max_drawdown,base_calmar,base_worst_rolling_365,base_final_equity,base_annual_meta_turnover,base_average_leverage,base_max_leverage,base_average_close_gross,base_max_close_gross,base_transfer_cost,base_financing_cost,base_extra_underlying_cost,base_risk_reductions,base_scheduled_rebalances,base_signal_switches,base_high_state_share,severe_total_return,severe_cagr,severe_sharpe,severe_sortino,severe_max_drawdown,severe_calmar,severe_worst_rolling_365,severe_final_equity,severe_annual_meta_turnover,severe_average_leverage,severe_max_leverage,severe_average_close_gross,severe_max_close_gross,severe_transfer_cost,severe_financing_cost,severe_extra_underlying_cost,severe_risk_reductions,severe_scheduled_rebalances,severe_signal_switches,severe_high_state_share,extreme_total_return,extreme_cagr,extreme_sharpe,extreme_sortino,extreme_max_drawdown,extreme_calmar,extreme_worst_rolling_365,extreme_final_equity,extreme_annual_meta_turnover,extreme_average_leverage,extreme_max_leverage,extreme_average_close_gross,extreme_max_close_gross,extreme_transfer_cost,extreme_financing_cost,extreme_extra_underlying_cost,extreme_risk_reductions,extreme_scheduled_rebalances,extreme_signal_switches,extreme_high_state_share,delay_total_return,delay_cagr,delay_sharpe,delay_sortino,delay_max_drawdown,delay_calmar,delay_worst_rolling_365,delay_final_equity,delay_annual_meta_turnover,delay_average_leverage,delay_max_leverage,delay_average_close_gross,delay_max_close_gross,delay_transfer_cost,delay_financing_cost,delay_extra_underlying_cost,delay_risk_reductions,delay_scheduled_rebalances,delay_signal_switches,delay_high_state_share,gate_promotable,gate_cagr_ge_50pct,gate_sharpe_ge_1_50,gate_max_dd_ge_minus25pct,gate_worst_rolling_365_ge_minus22pct,gate_2021_positive,gate_2022_positive,gate_2023_positive,gate_meta_turnover_le_6x,gate_average_leverage_le_1_35,gate_max_leverage_le_1_95,gate_severe_cagr_ge_40pct,gate_severe_dd_ge_minus28pct,gate_extreme_cagr_ge_30pct,gate_extreme_dd_ge_minus35pct,gate_delay_cagr_ge_50pct,gate_delay_dd_ge_minus25pct
h14_e06_xm02_hi195_lo06_r7,h14_e06_xm02_hi195_lo06_r7,0.06,-0.02,14,1.95,0.6,7,0.04,False,True,True,0.7455342087541167,2.6241070666685804,0.5360322703424936,1.687761281223422,3.1050415776254248,-0.1839804907640893,2.913527777408888,-0.15416703569625567,36241.0706666858,5.358401460743288,1.0056164383561643,1.95,0.9224566042699784,1.9887214117023786,420.2261620795825,1376.5267215229042,0.0,7,7,12,0.3004566210045662,1.9269480547721844,0.43044667200677034,1.4627432266690894,2.604988153471086,-0.23751804185025138,1.812269369743942,-0.1846740682567326,29269.480547721843,5.412325841966599,1.0056164383561643,1.95,0.9325026489499304,2.0089805759527635,932.7947256550581,2201.3490401250397,2819.506236356964,10,7,12,0.3004566210045662,1.4358315027251458,0.3454960102610489,1.22773317356818,2.1586612496831448,-0.33085594976273025,1.0442490470817214,-0.22026384199209192,24358.315027251458,5.4569760420880264,1.0056164383561643,1.95,0.937867838263327,2.016308592980343,1704.4917199669835,3191.543640574565,5171.616563986594,12,7,12,0.3004566210045662,2.4943535590916732,0.5174775740906172,1.6905852334381044,3.046865757198893,-0.17189752712845996,3.010384051097509,-0.1438172008087245,34943.535590916734,5.363891618505481,1.0056164383561643,1.95,0.9266278816744723,1.9996418391754431,408.2780420577799,1364.768500060244,0.0,7,7,12,0.3004566210045662,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
h21_e06_xm02_hi195_lo06_r7,h21_e06_xm02_hi195_lo06_r7,0.06,-0.02,21,1.95,0.6,7,0.04,False,True,True,0.7439337634424643,2.6148994935441725,0.5347303290471024,1.684502779118178,3.0990586710834207,-0.18608058450717302,2.873649233547467,-0.15416703569625567,36148.994935441726,5.359550863784878,1.0080821917808216,1.95,0.9250008250913251,1.9887214117023786,419.9925228213379,1387.233510740733,0.0,7,7,12,0.30228310502283107,1.9388869822871855,0.4323889489774575,1.4670298760622387,2.6127829848447868,-0.2343367548856259,1.8451606073852824,-0.1846740682567326,29388.869822871853,5.411209952520181,1.0080821917808218,1.95,0.9349039865842703,2.0089805759527635,933.7222489383774,2220.5031677541674,2828.6373210914944,11,7,12,0.30228310502283107,1.392608110711937,0.33748993815927286,1.2024169323706546,2.1049271061388337,-0.34288898700461956,0.9842542366481022,-0.2245634996055037,23926.08110711937,5.464923784306417,1.0080821917808218,1.95,0.9405989349403371,2.016308592980343,1698.5328096827361,3201.1471316844236,5169.707804947469,12,7,12,0.30228310502283107,2.511679023110742,0.5199813916106515,1.6959166898598972,3.0573320379507822,-0.1677214375509406,3.1002679156784714,-0.1438172008087245,35116.79023110742,5.361989339775143,1.0080821917808218,1.95,0.9290508763235912,1.9996418391754431,408.7666284331958,1377.8261690565814,0.0,7,7,12,0.30228310502283107,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
h14_e06_xm02_hi195_lo08_r7,h14_e06_xm02_hi195_lo08_r7,0.06,-0.02,14,1.95,0.8,7,0.04,False,True,False,0.7442649295008381,2.6824245042176074,0.5442275061715687,1.6410440511589002,3.003987812656467,-0.21770458895163536,2.4998439802868497,-0.18660402551173827,36824.24504217607,4.595574833644817,1.1455251141552512,1.95,1.0671964957017346,1.9887214117023788,364.67389674434656,1411.5673225675969,0.0,6,7,12,0.3004566210045662,1.962675997952961,0.4362434233046384,1.413365279552763,2.5179998041030425,-0.2729576599970549,1.5982091263141152,-0.223032075364346,29626.759979529612,4.642028423439845,1.1455251141552512,1.95,1.0801508613905233,2.0089805759527644,811.9778914640676,2267.229119191305,3362.9675602435973,9,7,12,0.3004566210045662,1.4224103032282085,0.34302027271240143,1.1704373212804726,2.0619427672239428,-0.37252573795025645,0.9207961699500212,-0.2630910247066388,24224.103032282084,4.704481330433668,1.1455251141552512,1.95,1.0883295278662872,2.0163085929803417,1479.7078761809348,3262.911865235732,6130.974888473169,12,7,12,0.3004566210045662,2.5911813279752693,0.5313663912425854,1.6474021966428694,2.966135954036758,-0.20791480895788872,2.55569285278861,-0.17819661551289634,35911.81327975269,4.60247382237693,1.1455251141552512,1.95,1.0719491157578498,1.999641839175444,358.4432695881915,1416.656614074188,0.0,6,7,12,0.3004566210045662,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
h21_e06_xm02_hi195_lo08_r7,h21_e06_xm02_hi195_lo08_r7,0.06,-0.02,21,1.95,0.8,7,0.04,False,True,False,0.7422435386036159,2.67419189451449,0.5430758638161826,1.6383226343078274,2.999046746102134,-0.21947092051798955,2.4744775414183757,-0.18660402551173827,36741.9189451449,4.59676557034693,1.1476255707762555,1.95,1.0693650007744673,1.9887214117023788,364.5119431070374,1422.5356259123846,0.0,6,7,12,0.30228310502283107,1.97256369952441,0.4378394328111419,1.4166565720916873,2.523871781191577,-0.2704789469325466,1.6187560539428325,-0.223032075364346,29725.636995244102,4.640828776481813,1.1476255707762555,1.95,1.082207158671656,2.0089805759527644,812.6188341692385,2286.1776546341603,3370.96108573697,10,7,12,0.30228310502283107,1.3851678933891018,0.3361021153042858,1.1498710125334446,2.0187314320275824,-0.38226310777507333,0.8792428787086902,-0.26347975038458593,23851.678933891017,4.712789876067486,1.1476255707762555,1.95,1.0906048658681151,2.0163085929803417,1475.706347360382,3274.2060005590256,6127.615869960646,12,7,12,0.30228310502283107,2.6061645732174243,0.5334931752967764,1.6516400051728,2.974417051267768,-0.20456464844827238,2.607944135722352,-0.17819661551289634,36061.64573217424,4.600466273818161,1.1476255707762555,1.95,1.0740331707808177,1.999641839175444,358.7826965994802,1429.7511965336298,0.0,6,7,12,0.30228310502283107,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
h14_e08_xm02_hi195_lo10_r7,h14_e08_xm02_hi195_lo10_r7,0.08,-0.02,14,1.95,1.0,7,0.04,False,True,False,0.7195347647322303,2.597749104461125,0.5322993755090981,1.614658267454614,2.9869689703105675,-0.24779629112319645,2.1481329405550134,-0.21542259303724776,35977.49104461125,2.6283863830006187,1.1969406392694064,1.95,1.137045414770575,1.9928241196529002,198.9269855161059,884.8610203588942,0.0,5,5,8,0.20730593607305936,1.9390976018334745,0.4324231662288245,1.3966844230313897,2.5229550175128974,-0.31933786095566186,1.3541243275530797,-0.25738436091091843,29390.976018334746,2.6893451292225863,1.196940639269406,1.95,1.155586572455393,1.9938755177555747,454.78792755062864,1584.5314252870694,3670.9842633230164,7,5,8,0.20730593607305936,1.4083884415115806,0.3404239472257664,1.160541299191744,2.079531999933369,-0.40752059815225017,0.8353539643622716,-0.2956945962651848,24083.884415115805,2.7465805803241765,1.1969406392694062,1.95,1.158076155437546,1.9971121729333412,836.2096606105712,2292.9116382796,6691.821962871063,10,5,8,0.20730593607305936,2.5212586319431836,0.5213622701780551,1.6202086899002743,2.9532057217530747,-0.24675558431165068,2.112869184429796,-0.21575330736399556,35212.58631943184,2.6388623913498255,1.196940639269406,1.95,1.140494397834712,1.9928241196528995,197.91835349645794,900.1638375555649,0.0,5,5,8,0.20730593607305936,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True
h14_e06_xm02_hi185_lo10_r7,h14_e06_xm02_hi185_lo10_r7,0.06,-0.02,14,1.85,1.0,7,0.04,False,True,False,0.7164491419275155,2.591251755225624,0.5313764018035827,1.5837114843166347,2.87685692096743,-0.24722729710253322,2.1493435718111806,-0.2160482460330473,35912.51755225624,3.501392671682005,1.2553881278538814,1.85,1.191975543936912,1.882800222838727,269.09716192270395,1267.3253209430122,0.0,6,7,12,0.3004566210045662,1.8815423980720345,0.42301126467978656,1.348364880647654,2.3977604109634503,-0.3052305796734822,1.3858744596701262,-0.25887769064508104,28815.423980720345,3.5295449875194826,1.2553881278538812,1.85,1.2078526461044798,1.900528229522695,600.0865267059077,2131.613678807839,3762.0949168782277,9,7,12,0.3004566210045662,1.3302581743369708,0.32576946868023904,1.1020905427528696,1.9411142433583222,-0.4079655711133411,0.7985219629960728,-0.30125400617272124,23302.58174336971,3.600786471533717,1.2553881278538812,1.85,1.2128092470320462,1.9068428169113982,1097.947117841441,3080.0095472290213,6801.199371939369,12,7,12,0.3004566210045662,2.5314298682126988,0.5228256919683181,1.5886831715689806,2.8507946945778104,-0.2403618005335877,2.1751613226714013,-0.21017268737696948,35314.29868212699,3.508999358139841,1.2553881278538812,1.85,1.196514570059712,1.8920260012436676,266.81046035571194,1283.24610246059,0.0,6,7,12,0.3004566210045662,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
h21_e06_xm02_hi185_lo10_r7,h21_e06_xm02_hi185_lo10_r7,0.06,-0.02,21,1.85,1.0,7,0.04,False,True,False,0.7149249912648873,2.585051765065417,0.5304946305491969,1.5816735824288881,2.873196993367706,-0.2485268950335483,2.1345562236939633,-0.2160482460330473,35850.51765065417,3.5024693439752768,1.2569406392694062,1.85,1.1935670028959173,1.882800222838727,269.02630110954425,1277.1436800487909,0.0,6,7,12,0.30228310502283107,1.8890008567523116,0.4242379603460962,1.3508381139032029,2.402100193199603,-0.30341734545526045,1.3981994328951475,-0.25887769064508104,28890.008567523117,3.528167213082679,1.2569406392694062,1.85,1.2094373165908674,1.900528229522695,600.4164837956303,2147.9948747878007,3768.221171840879,9,7,12,0.30228310502283107,1.303381023785239,0.32065261266648504,1.0873056741845821,1.9104698041991768,-0.4147684241413424,0.773088292172441,-0.30125400617272124,23033.81023785239,3.608415985971694,1.2569406392694062,1.85,1.2143386941061651,1.9068428169113982,1096.2953254733482,3091.497873221063,6797.397543995143,12,7,12,0.30228310502283107,2.542127789903167,0.524361863605183,1.5916592955003728,2.856567378284289,-0.2380605938625664,2.2026403240340557,-0.21017268737696948,35421.27789903167,3.507122076197074,1.2569406392694062,1.85,1.198100885780518,1.8920260012436676,266.9616921382547,1294.4836436661967,0.0,6,7,12,0.30228310502283107,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
h14_e06_xm02_hi195_lo08_r14,h14_e06_xm02_hi195_lo08_r14,0.06,-0.02,14,1.95,0.8,14,0.04,False,True,False,0.6936213537284859,2.416045539610844,0.5060563349776643,1.6063995455869013,2.870533941622489,-0.242425259149201,2.087473626938401,-0.19448040253298327,34160.45539610844,4.621069196124547,1.1455251141552512,1.95,1.0371488026410531,1.9931477766700572,352.7601062472188,1199.1103910699426,0.0,8,7,12,0.3004566210045662,1.900230423229341,0.4260809155061547,1.3979201846756386,2.481365444814374,-0.2855683302331571,1.4920454069898919,-0.22574907804067412,29002.30423229341,4.6467170256143815,1.1455251141552512,1.95,1.0520223159800601,2.0089805759527644,815.8153757629527,2031.1645723492845,3285.5067518795063,9,7,12,0.3004566210045662,1.3879726882920966,0.3366256318304901,1.1604430172156028,2.037149534049041,-0.3769075794786515,0.8931251324160675,-0.26996201814289733,23879.726882920968,4.70496638329374,1.1455251141552512,1.95,1.0673957645187861,2.0163085929803417,1487.4141678959763,3032.968838035838,6048.597516435693,11,7,12,0.3004566210045662,2.4768323189120123,0.5149370324465987,1.6217841306815566,2.9073419934114937,-0.23320153633763385,2.2081202402588915,-0.18433209787540472,34768.32318912012,4.6175181973759,1.1455251141552512,1.95,1.0423303637654977,1.999641839175444,359.2397065002766,1247.6050673884706,0.0,8,7,12,0.3004566210045662,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
h21_e06_xm02_hi195_lo08_r14,h21_e06_xm02_hi195_lo08_r14,0.06,-0.02,21,1.95,0.8,14,0.04,False,True,False,0.691635584753826,2.4083935262266203,0.5049309617196538,1.6035601860878264,2.865496504474304,-0.244141347682172,2.068191097138461,-0.19630450864606164,34083.935262266205,4.6222677856616174,1.1476255707762555,1.95,1.03932563946339,1.9931477766700572,352.60716580594533,1209.5105804303425,0.0,8,7,12,0.30228310502283107,1.9107067714807267,0.4277959708647099,1.4015345311956435,2.487814301666729,-0.28292979941423535,1.5120216101322614,-0.2241810695166182,29107.06771480727,4.645242796064078,1.1476255707762555,1.95,1.0541059912058899,2.0089805759527644,816.4993568687185,2050.147226559843,3293.5607415479035,9,7,12,0.30228310502283107,1.3516944891928047,0.3298223685722279,1.1399863850186918,1.99435581927343,-0.3864738905525651,0.8534143615773395,-0.28115393276560585,23516.944891928048,4.713114896067469,1.1476255707762555,1.95,1.0696588632980084,2.0163085929803417,1483.4483689744116,3045.18777196205,6045.933974084823,12,7,12,0.30228310502283107,2.491356558336344,0.5170436185514042,1.626070442399772,2.9156731511196923,-0.2299484368702822,2.2485198229161143,-0.18100656764503253,34913.56558336344,4.615496553122764,1.1476255707762555,1.95,1.0444171796714556,1.999641839175444,359.5739056206637,1260.3087297717384,0.0,8,7,12,0.30228310502283107,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
constant_l175_control,constant_l175_control,1000000000.0,-1000000000.0,1,1.75,1.75,14,0.04,False,False,False,0.6198892203255025,2.1936911772526204,0.4726435497757364,1.4038665649194286,2.524155948543238,-0.2993374297306902,1.5789657517971185,-0.26487920039533175,31936.911772526204,0.5833333333333334,1.75,1.75,1.3199243797666231,1.7446933581219024,17.5,2030.5581940616562,0.0,0,1,0,1.0,1.3762679606171324,0.3344382156779542,1.022216419529824,1.798473846070127,-0.46575447284041027,0.7180569059023265,-0.38497959241013724,23762.679606171325,0.6497935651582788,1.75,1.75,1.5001872115495722,1.8058384776355303,52.54334486875321,4766.599150365888,4461.441863328793,4,1,0,0.9990867579908675,0.5642140800851372,0.16082137626777682,0.6006124228292894,1.043703614648219,-0.630375332281669,0.25512003410044193,-0.5011493870900235,15642.140800851372,0.8778001839101818,1.75,1.75,1.6085799741028803,1.8187070803485659,156.5359546438671,7651.201386481167,8036.6524023238035,19,1,0,0.9981735159817352,2.1936911772526204,0.4726435497757364,1.4038665649194286,2.524155948543238,-0.2993374297306902,1.5789657517971185,-0.26487920039533175,31936.911772526204,0.5833333333333334,1.75,1.75,1.3199243797666231,1.7446933581219024,17.5,2030.5581940616562,0.0,0,1,0,0.9990867579908675,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False
naive_r20_control,naive_r20_control,0.0,0.0,0,1.85,0.6,3,0.04,False,False,False,0.5562964098195459,2.3294298379185348,0.4932182496601789,1.5258900887771043,2.7398535499683025,-0.24178999812041524,2.039862084843346,-0.21488402448632682,33294.29837918535,30.78985960095135,1.222146118721461,1.85,1.13997847989337,1.896867202298956,2361.078921302697,2251.036296599736,0.0,39,38,102,0.4977168949771689,0.9039493491680386,0.23941989626855564,0.8926576910311005,1.5041720771147404,-0.4096130159849499,0.5845026572040193,-0.36226394728253164,19039.493491680387,30.950986517525774,1.222146118721461,1.85,1.1426338298062209,1.9216144081746325,4611.234985949665,3058.3661928104766,2920.587799722994,40,38,102,0.4977168949771689,0.04559976204259053,0.014974563832333088,0.198817687096114,0.3279049080715033,-0.661790878028161,0.022627334902153004,-0.49268631689322206,10455.997620425906,33.59134073513689,1.222146118721461,1.85,1.148619847666986,1.9280552544547829,7508.215674723884,3785.098845127063,4564.984459657296,48,41,102,0.4977168949771689,1.706183545670981,0.3935388572559284,1.3061335404442764,2.229803856501736,-0.3093998266322818,1.2719427206520217,-0.2826003925041207,27061.83545670981,30.856370417632117,1.222146118721461,1.85,1.138434894313334,1.9095794808134308,2224.721083652021,2050.0675077400106,0.0,40,38,102,0.4977168949771689,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False
