timestamp,rate,interval_hours
2023-05-01 00:00:00.004000+00:00,0.0001,8
2023-05-01 08:00:00.008000+00:00,1.535e-05,8
2023-05-01 16:00:00.014000+00:00,0.0001,8
2023-05-02 00:00:00.015000+00:00,6.98e-06,8
2023-05-02 08:00:00.018000+00:00,3.889e-05,8
2023-05-02 16:00:00+00:00,-4.732e-05,8
2023-05-03 00:00:00.009000+00:00,2.069e-05,8
2023-05-03 08:00:00.003000+00:00,3.138e-05,8
2023-05-03 16:00:00.011000+00:00,3.849e-05,8
2023-05-04 00:00:00+00:00,-2.27e-06,8
2023-05-04 08:00:00+00:00,0.0001,8
2023-05-04 16:00:00.011000+00:00,0.0001,8
2023-05-05 00:00:00.002000+00:00,0.0001,8
2023-05-05 08:00:00+00:00,3.223e-05,8
2023-05-05 16:00:00+00:00,0.0001,8
2023-05-06 00:00:00.009000+00:00,0.0001,8
2023-05-06 08:00:00+00:00,0.0001,8
2023-05-06 16:00:00+00:00,2.441e-05,8
2023-05-07 00:00:00+00:00,3.648e-05,8
2023-05-07 08:00:00+00:00,-2.12e-05,8
2023-05-07 16:00:00.006000+00:00,6.249e-05,8
2023-05-08 00:00:00+00:00,0.0001,8
2023-05-08 08:00:00.007000+00:00,-7.742e-05,8
2023-05-08 16:00:00.015000+00:00,2.595e-05,8
2023-05-09 00:00:00.015000+00:00,-0.00019637,8
2023-05-09 08:00:00+00:00,-5.327e-05,8
2023-05-09 16:00:00+00:00,-5.678e-05,8
2023-05-10 00:00:00.007000+00:00,-4.287e-05,8
2023-05-10 08:00:00.003000+00:00,2.809e-05,8
2023-05-10 16:00:00+00:00,-2.9e-07,8
2023-05-11 00:00:00.011000+00:00,7.952e-05,8
2023-05-11 08:00:00+00:00,2.605e-05,8
2023-05-11 16:00:00.005000+00:00,2.286e-05,8
2023-05-12 00:00:00.020000+00:00,1.031e-05,8
2023-05-12 08:00:00.001000+00:00,8.362e-05,8
2023-05-12 16:00:00.010000+00:00,8.03e-06,8
2023-05-13 00:00:00+00:00,1.245e-05,8
2023-05-13 08:00:00+00:00,6.953e-05,8
2023-05-13 16:00:00.026000+00:00,0.0001,8
2023-05-14 00:00:00.029000+00:00,7.69e-05,8
2023-05-14 08:00:00.010000+00:00,6.449e-05,8
2023-05-14 16:00:00.008000+00:00,6.799e-05,8
2023-05-15 00:00:00.006000+00:00,8.94e-06,8
2023-05-15 08:00:00.005000+00:00,6.491e-05,8
2023-05-15 16:00:00.008000+00:00,8.447e-05,8
2023-05-16 00:00:00.021000+00:00,0.0001,8
2023-05-16 08:00:00+00:00,6.067e-05,8
2023-05-16 16:00:00+00:00,0.0001,8
2023-05-17 00:00:00.010000+00:00,3.051e-05,8
2023-05-17 08:00:00+00:00,0.0001,8
2023-05-17 16:00:00.001000+00:00,9.695e-05,8
2023-05-18 00:00:00+00:00,0.0001,8
2023-05-18 08:00:00.026000+00:00,0.0001,8
2023-05-18 16:00:00.019000+00:00,2.95e-05,8
2023-05-19 00:00:00+00:00,-9.122e-05,8
2023-05-19 08:00:00.002000+00:00,2.946e-05,8
2023-05-19 16:00:00+00:00,8.946e-05,8
2023-05-20 00:00:00.005000+00:00,9.555e-05,8
2023-05-20 08:00:00.014000+00:00,2.515e-05,8
2023-05-20 16:00:00.020000+00:00,3.057e-05,8
2023-05-21 00:00:00.014000+00:00,0.0001,8
2023-05-21 08:00:00.001000+00:00,0.0001,8
2023-05-21 16:00:00.015000+00:00,9.479e-05,8
2023-05-22 00:00:00.028000+00:00,2.963e-05,8
2023-05-22 08:00:00+00:00,7.846e-05,8
2023-05-22 16:00:00.012000+00:00,0.0001,8
2023-05-23 00:00:00.006000+00:00,0.0001,8
2023-05-23 08:00:00.014000+00:00,9.997e-05,8
2023-05-23 16:00:00.008000+00:00,0.0001,8
2023-05-24 00:00:00+00:00,0.0001,8
2023-05-24 08:00:00.025000+00:00,6.455e-05,8
2023-05-24 16:00:00.008000+00:00,9.78e-05,8
2023-05-25 00:00:00+00:00,5.668e-05,8
2023-05-25 08:00:00.025000+00:00,5.885e-05,8
2023-05-25 16:00:00.016000+00:00,0.0001,8
2023-05-26 00:00:00+00:00,0.0001,8
2023-05-26 08:00:00.024000+00:00,0.0001,8
2023-05-26 16:00:00.012000+00:00,0.0001,8
2023-05-27 00:00:00.012000+00:00,0.0001,8
2023-05-27 08:00:00.018000+00:00,0.0001,8
2023-05-27 16:00:00.008000+00:00,0.0001,8
2023-05-28 00:00:00.017000+00:00,0.0001,8
2023-05-28 08:00:00.015000+00:00,0.0001,8
2023-05-28 16:00:00+00:00,0.0001,8
2023-05-29 00:00:00+00:00,0.0001,8
2023-05-29 08:00:00.020000+00:00,0.0001,8
2023-05-29 16:00:00.011000+00:00,0.0001,8
2023-05-30 00:00:00.003000+00:00,0.0001,8
2023-05-30 08:00:00+00:00,0.0001,8
2023-05-30 16:00:00.003000+00:00,0.0001,8
2023-05-31 00:00:00.013000+00:00,0.0001,8
2023-05-31 08:00:00+00:00,0.0001,8
2023-05-31 16:00:00+00:00,0.0001,8
2023-06-01 00:00:00.008000+00:00,0.0001,8
2023-06-01 08:00:00.012000+00:00,0.0001,8
2023-06-01 16:00:00+00:00,0.0001,8
2023-06-02 00:00:00+00:00,0.0001,8
2023-06-02 08:00:00.006000+00:00,0.0001,8
2023-06-02 16:00:00.012000+00:00,0.0001,8
2023-06-03 00:00:00+00:00,0.0001,8
2023-06-03 08:00:00.011000+00:00,0.0001,8
2023-06-03 16:00:00.003000+00:00,0.0001,8
2023-06-04 00:00:00+00:00,0.0001,8
2023-06-04 08:00:00+00:00,0.0001,8
2023-06-04 16:00:00+00:00,0.0001,8
2023-06-05 00:00:00.005000+00:00,0.0001,8
2023-06-05 08:00:00+00:00,0.0001,8
2023-06-05 16:00:00+00:00,0.0001,8
2023-06-06 00:00:00+00:00,-7.522e-05,8
2023-06-06 08:00:00.009000+00:00,-1.215e-05,8
2023-06-06 16:00:00.013000+00:00,6.245e-05,8
2023-06-07 00:00:00+00:00,0.0001,8
2023-06-07 08:00:00.016000+00:00,0.0001,8
2023-06-07 16:00:00+00:00,8.161e-05,8
2023-06-08 00:00:00.006000+00:00,-2.973e-05,8
2023-06-08 08:00:00+00:00,-6.138e-05,8
2023-06-08 16:00:00+00:00,-3.987e-05,8
2023-06-09 00:00:00+00:00,-1.99e-05,8
2023-06-09 08:00:00+00:00,2.244e-05,8
2023-06-09 16:00:00+00:00,4.756e-05,8
2023-06-10 00:00:00+00:00,4.312e-05,8
2023-06-10 08:00:00+00:00,-0.00018689,8
2023-06-10 16:00:00+00:00,-0.00045568,8
2023-06-11 00:00:00.001000+00:00,-0.00025962,8
2023-06-11 08:00:00+00:00,-0.00039139,8
2023-06-11 16:00:00+00:00,-0.00011432,8
2023-06-12 00:00:00+00:00,-5.452e-05,8
2023-06-12 08:00:00+00:00,-0.00010351,8
2023-06-12 16:00:00.001000+00:00,0.0001,8
2023-06-13 00:00:00+00:00,-6.7e-06,8
2023-06-13 08:00:00+00:00,8.95e-06,8
2023-06-13 16:00:00+00:00,-1.734e-05,8
2023-06-14 00:00:00+00:00,-6.216e-05,8
2023-06-14 08:00:00+00:00,-9.959e-05,8
2023-06-14 16:00:00+00:00,-3.849e-05,8
2023-06-15 00:00:00+00:00,-3.913e-05,8
2023-06-15 08:00:00+00:00,-0.0001096,8
2023-06-15 16:00:00+00:00,0.0001,8
2023-06-16 00:00:00+00:00,2.986e-05,8
2023-06-16 08:00:00+00:00,3.481e-05,8
2023-06-16 16:00:00+00:00,-4.6e-06,8
2023-06-17 00:00:00+00:00,-3.146e-05,8
2023-06-17 08:00:00+00:00,5.237e-05,8
2023-06-17 16:00:00+00:00,6.248e-05,8
2023-06-18 00:00:00+00:00,-2.892e-05,8
2023-06-18 08:00:00+00:00,-5.493e-05,8
2023-06-18 16:00:00+00:00,-1.03e-06,8
2023-06-19 00:00:00+00:00,-6.35e-05,8
2023-06-19 08:00:00+00:00,-8.954e-05,8
2023-06-19 16:00:00+00:00,-4.972e-05,8
2023-06-20 00:00:00.001000+00:00,-0.0001454,8
2023-06-20 08:00:00+00:00,-8.12e-06,8
2023-06-20 16:00:00+00:00,1.7e-06,8
2023-06-21 00:00:00+00:00,5.55e-06,8
2023-06-21 08:00:00+00:00,7.67e-05,8
2023-06-21 16:00:00+00:00,1.523e-05,8
2023-06-22 00:00:00+00:00,5.684e-05,8
2023-06-22 08:00:00.001000+00:00,1.267e-05,8
2023-06-22 16:00:00+00:00,-9.97e-06,8
2023-06-23 00:00:00+00:00,8.86e-05,8
2023-06-23 08:00:00+00:00,0.0001,8
2023-06-23 16:00:00+00:00,-3.27e-06,8
2023-06-24 00:00:00+00:00,-5.354e-05,8
2023-06-24 08:00:00+00:00,8.164e-05,8
2023-06-24 16:00:00+00:00,1.615e-05,8
2023-06-25 00:00:00+00:00,-9.403e-05,8
2023-06-25 08:00:00+00:00,4.045e-05,8
2023-06-25 16:00:00+00:00,2.049e-05,8
2023-06-26 00:00:00+00:00,2.481e-05,8
2023-06-26 08:00:00+00:00,-6.749e-05,8
2023-06-26 16:00:00+00:00,5.956e-05,8
2023-06-27 00:00:00+00:00,-2.886e-05,8
2023-06-27 08:00:00+00:00,0.0001,8
2023-06-27 16:00:00+00:00,0.0001,8
2023-06-28 00:00:00+00:00,0.0001,8
2023-06-28 08:00:00+00:00,-1.801e-05,8
2023-06-28 16:00:00+00:00,5.458e-05,8
2023-06-29 00:00:00+00:00,1.7e-05,8
2023-06-29 08:00:00+00:00,0.0001,8
2023-06-29 16:00:00+00:00,0.0001,8
2023-06-30 00:00:00+00:00,4.827e-05,8
2023-06-30 08:00:00+00:00,0.0001,8
2023-06-30 16:00:00.001000+00:00,0.0001,8
2023-07-01 00:00:00+00:00,0.0001,8
2023-07-01 08:00:00+00:00,0.0001,8
2023-07-01 16:00:00+00:00,2.201e-05,8
2023-07-02 00:00:00+00:00,0.0001,8
2023-07-02 08:00:00+00:00,0.0001,8
2023-07-02 16:00:00.001000+00:00,0.0001,8
2023-07-03 00:00:00+00:00,0.0001,8
2023-07-03 08:00:00+00:00,0.0001,8
2023-07-03 16:00:00+00:00,0.0001,8
2023-07-04 00:00:00.001000+00:00,6.327e-05,8
2023-07-04 08:00:00+00:00,0.0001,8
2023-07-04 16:00:00+00:00,0.0001,8
2023-07-05 00:00:00+00:00,0.0001,8
2023-07-05 08:00:00+00:00,0.0001,8
2023-07-05 16:00:00+00:00,4.304e-05,8
2023-07-06 00:00:00+00:00,-5.29e-06,8
2023-07-06 08:00:00+00:00,0.0001,8
2023-07-06 16:00:00+00:00,0.0001,8
2023-07-07 00:00:00+00:00,0.0001,8
2023-07-07 08:00:00+00:00,8.838e-05,8
2023-07-07 16:00:00+00:00,-0.00022841,8
2023-07-08 00:00:00+00:00,-5.703e-05,8
2023-07-08 08:00:00+00:00,1.315e-05,8
2023-07-08 16:00:00+00:00,0.0001,8
2023-07-09 00:00:00+00:00,-0.00011345,8
2023-07-09 08:00:00+00:00,1.049e-05,8
2023-07-09 16:00:00+00:00,0.0001,8
2023-07-10 00:00:00+00:00,0.0001,8
2023-07-10 08:00:00+00:00,0.0001,8
2023-07-10 16:00:00+00:00,-5.346e-05,8
2023-07-11 00:00:00+00:00,-0.00013561,8
2023-07-11 08:00:00+00:00,-2.651e-05,8
2023-07-11 16:00:00+00:00,2.775e-05,8
2023-07-12 00:00:00+00:00,1.497e-05,8
2023-07-12 08:00:00+00:00,-2.714e-05,8
2023-07-12 16:00:00+00:00,4.12e-05,8
2023-07-13 00:00:00+00:00,9.789e-05,8
2023-07-13 08:00:00+00:00,-6.37e-06,8
2023-07-13 16:00:00+00:00,-0.00021919,8
2023-07-14 00:00:00+00:00,0.0001,8
2023-07-14 08:00:00+00:00,0.00029523,8
2023-07-14 16:00:00+00:00,0.00017912,8
2023-07-15 00:00:00+00:00,0.0001,8
2023-07-15 08:00:00+00:00,0.0001,8
2023-07-15 16:00:00+00:00,0.0001,8
2023-07-16 00:00:00.001000+00:00,0.0001,8
2023-07-16 08:00:00+00:00,0.0001,8
2023-07-16 16:00:00+00:00,0.0001,8
2023-07-17 00:00:00+00:00,0.0001,8
2023-07-17 08:00:00+00:00,0.0001,8
2023-07-17 16:00:00+00:00,0.0001,8
2023-07-18 00:00:00+00:00,9.171e-05,8
2023-07-18 08:00:00+00:00,0.0001,8
2023-07-18 16:00:00+00:00,0.0001,8
2023-07-19 00:00:00+00:00,0.0001,8
