audit,name,cost_bps_per_side,execution_delay_days,full_total_return,full_cagr,full_max_drawdown,full_sharpe,full_annual_turnover,full_average_gross,full_max_gross,full_costs,full_funding_pnl,full_rebalance_events,full_forced_exits,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_funding_pnl,development_rebalance_events,development_forced_exits,validation_total_return,validation_cagr,validation_max_drawdown,validation_sharpe,validation_annual_turnover,validation_average_gross,validation_max_gross,validation_costs,validation_funding_pnl,validation_rebalance_events,validation_forced_exits,holdout_total_return,holdout_cagr,holdout_max_drawdown,holdout_sharpe,holdout_annual_turnover,holdout_average_gross,holdout_max_gross,holdout_costs,holdout_funding_pnl,holdout_rebalance_events,holdout_forced_exits,final_total_return,final_cagr,final_max_drawdown,final_sharpe,final_annual_turnover,final_average_gross,final_max_gross,final_costs,final_funding_pnl,final_rebalance_events,final_forced_exits,long_leg_pnl,short_leg_pnl,symbol_count_traded,top_positive_asset_pnl_share,forced_exit_count
base,base,30.0,0,0.6805645093632144,0.09913176432651061,-0.15195156656225484,1.1040336902039418,14.333721356949274,0.32359154439991383,0.5313769234705499,4079.278330471575,-238.98899894682233,288,4,0.8929970832652248,0.2374543721340181,-0.04540227014248355,2.0790444927389373,14.071259488898189,0.32181988400459666,0.5289543004468745,2132.325612986467,-114.68469280259403,158,3,-0.10357961137715865,-0.10364473175397693,-0.12978645256923627,-1.319541482135248,15.335386509592173,0.32017396596739295,0.5313769234705499,444.93992741424734,19.33098423738062,52,0,0.003566382482866226,0.003578577948694317,-0.07309921660094643,0.10157939728397569,14.112497050081519,0.3199814616941503,0.4470116659729281,438.8254641591175,-33.25288105140606,52,1,-0.01315848283141674,-0.02651944623530844,-0.038457196403187344,-0.3375060893914817,14.584011994193373,0.3485002848793543,0.42520605324788846,211.4129213813373,-61.34582380678588,26,0,6479.8276095461315,325.81748408622843,13,0.22318348296258528,4
severe,severe,60.0,0,0.32661132476928345,0.0528065114071532,-0.24933238549560843,0.624927655641058,14.333721356949274,0.32359154439991383,0.5313769234705504,7226.107777199426,-202.26780376474437,288,4,0.6678736988516236,0.18623661107786504,-0.06261531875668291,1.6766219262552955,14.071259488898189,0.32181988400459666,0.5289543004468745,3974.331314587127,-104.34642078395537,158,3,-0.14392023140595334,-0.14400860826586948,-0.1622917998532334,-1.8983096422284285,15.33538650959217,0.32017396596739295,0.5313769234705504,870.4630491462453,18.934331619129033,52,0,-0.037953566557455964,-0.0380806209996396,-0.08290960241430101,-0.5989598818412848,14.112497050081519,0.31998146169415026,0.44701166597292785,858.0054330709114,-32.509017596091354,52,1,-0.0342376453894363,-0.06824894770936629,-0.05045216015052589,-1.2254318061230491,14.584011994193373,0.3485002848793543,0.42520605324788835,418.4975431217722,-60.48449040347182,26,0,4718.296940736069,-1452.1836930431944,13,0.3016099880468136,4
extreme,extreme,100.0,0,-0.0325101917744931,-0.005999580474294608,-0.38556923857091385,-0.00484574161004469,14.333721356949274,0.32359154439991383,0.5313769234705509,10333.090880595599,-162.910551018288,288,4,0.40854475628290476,0.12116239691267694,-0.10607351031610202,1.1402836754156154,14.071259488898193,0.32181988400459666,0.528954300446875,6062.531538806212,-91.89189570520267,158,3,-0.19495687142187357,-0.19507285194048252,-0.20768981894572536,-2.635209879842289,15.335386509592174,0.320173965967393,0.5313769234705509,1409.051138466699,18.428446638710902,52,0,-0.09070968462865292,-0.09100478235191267,-0.11788260752910773,-1.4775021603987821,14.112497050081517,0.31998146169415026,0.44701166597292813,1390.2331711958063,-31.548119220152856,52,1,-0.061673385855352536,-0.12117403359696488,-0.06661450467040786,-2.2701517123837487,14.584011994193373,0.34850028487935436,0.4252060532478881,688.0239649214845,-59.35746547139557,26,0,2906.5882702686586,-3231.6901880135033,13,0.4868695967612547,4
delay_1d,delay_1d,30.0,1,0.5581062841981035,0.08409444233078367,-0.15983939385092605,1.0504208524781666,14.306431899568956,0.3237044160178097,0.5481231583039038,3835.6479231724807,-186.2887740085434,289,4,0.781919493293094,0.21272244634005366,-0.053707671374063515,2.1584606967131634,14.032409080227838,0.3213845530710751,0.5481231583039038,2021.4518779438972,-81.66730764814537,158,3,-0.10771223153508214,-0.10777979080114009,-0.1262449260148929,-1.3943670114886706,15.342859307688915,0.32050918900413317,0.5321235381008642,443.7305409820873,20.08202002873927,52,0,-0.011932474212879463,-0.011972960441740566,-0.07210560471449157,-0.16496011807594785,14.063810071330458,0.32030650611777023,0.44613395319018495,433.4172686292421,-30.702181680341717,53,1,-0.008215230185664169,-0.016599267480505664,-0.03909069647094909,-0.37903023626152854,14.599313019418483,0.35105215152717056,0.41912260464784223,212.84171798842658,-58.29998243539025,26,0,4577.533482875439,1003.5293591052421,13,0.30111744214321345,4
