year,V75_original,V160_carry_convex,V161_integrated
2004,,-0.044580275577597694,
2005,,-0.05242676072237984,
2006,,-0.0009631760918030752,
2007,,0.2593281637903133,
2008,,0.012885118811228446,
2009,,-0.023318487330358684,
2010,,-0.012123857564152685,
2011,,0.01730440423554125,
2012,,-0.029230954995128733,
2013,,-0.008565334534137214,
2014,,-0.008985815961398025,
2015,,-0.013999553837677592,
2016,,-0.029151080035139443,
2017,,-0.04855925055544008,
2018,,0.017688386925065247,
2019,,-0.03549264010722142,
2020,,0.009609983396476895,
2021,1.044015828086435,-0.0488818645274407,
2022,0.01081155462862804,0.0010714647818603762,
2023,0.1485191407183737,-0.0323623384879963,
2024,0.4195522030251728,-0.031300427999497504,
2025,0.23816495433729012,-0.01642468835311317,
2026,0.04425555083890087,-0.0026942454894151036,
