audit,name,cost_bps,initial_margin_ratio,maintenance_margin_ratio,operational_reserve,funding_multiplier,execution_delay,intrabar_widen,financing_rate,apply_cash_credit,total_return,cagr,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,average_perp_gross,costs,funding_pnl,liquidations,min_margin_buffer,average_regime_overlay_gross,prefinal_cagr,final_2026h1_return
stress,stress,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,True,3.32633460278921,0.3052299019800875,-0.2243794959142068,1.262342192647412,11.232963437108781,0.42826991405999587,1.0581373909624983,0.17762629309848185,6495.564791592738,-390.37129489645554,0,0.2011201725868516,0.02055664471943058,0.3274655176890713,0.046238227736105086
severe,severe,80.0,0.3,0.12,0.22,2.0,0,0.0,0.09,True,2.2196726250108028,0.2369507395361392,-0.2648452910123785,1.0302382715062095,11.49719933193153,0.4307160076626431,1.0543571925002742,0.17922846300504436,11279.612904275591,-633.4134058494471,0,0.22155486481631975,0.018898139670772373,0.25496830953826133,0.03477652842509782
extreme,extreme,120.0,0.4,0.15,0.25,3.0,0,0.0,0.12,True,1.3996763905993337,0.17256219614004253,-0.31848250524650557,0.8049826621282912,11.574773855989989,0.4323219256796323,1.0543103280322788,0.18093632428294834,14773.31122451688,-686.0875346861105,0,0.25097914980968317,0.016424783139006333,0.18703116697360156,0.02239606124296234
catastrophic,catastrophic,200.0,0.5,0.2,0.28,4.0,2,0.2,0.16,True,0.09510593908005416,0.016659749555367975,-0.5002828395761724,0.18617426493888248,12.261973592134087,0.44308586723506754,1.0464914558350575,0.19083839336016206,17070.93196638283,-356.87208169892574,0,0.25098743848412586,0.011079802852878363,0.019047412036821587,-0.0014520416081708065
delay_1,delay_1,40.0,0.25,0.1,0.2,1.0,1,0.0,0.06,True,3.066436123225258,0.2906062636955875,-0.22117002495271487,1.2042463231727252,11.512634562129339,0.42834186595018886,1.0523801757294284,0.17755761817401128,6551.628524633536,-385.1780977910784,0,0.20628278621901652,0.0205500920075035,0.3096411079077932,0.056491038822636064
delay_2,delay_2,40.0,0.25,0.1,0.2,1.0,2,0.0,0.06,True,2.480691487131642,0.2546112494160899,-0.28035651061191913,1.0893884174069157,11.510399884520353,0.4298730012305786,1.052365353691597,0.17831472120096384,5859.779102691079,-319.24275087511364,0,0.2099348449010596,0.019283016815011038,0.2704309570361729,0.052907774833675925
delay_3,delay_3,40.0,0.25,0.1,0.2,1.0,3,0.0,0.06,True,2.246350643017554,0.23880842665060786,-0.2639982441983856,1.0242797353598572,11.674258263382582,0.432967530478451,1.0526743148557443,0.1804387630344906,5697.611319303658,-315.0468756484966,0,0.20690554308596332,0.020092203591552425,0.25256926687035675,0.05410450734443861
funding_x3,funding_x3,40.0,0.25,0.1,0.2,3.0,0,0.0,0.09,True,3.1996244441138684,0.2981928735772912,-0.22377434271510344,1.2397841599794581,11.248883884070553,0.4281870748833272,1.0580611860841957,0.1775106284289761,6378.832066058016,-1143.8749109940009,0,0.20111678623330817,0.020372309617215652,0.319392666928346,0.04698326630463079
margin_harsh,margin_harsh,120.0,0.5,0.2,0.25,3.0,2,0.2,0.12,True,0.9408188899877241,0.1281684639223002,-0.36424677746241874,0.6409453184503229,11.772065870468605,0.4306515336522692,1.052211749647055,0.18018267187768053,13194.01314319948,-427.2111089678935,0,0.22114002191437138,0.013500157323684904,0.13596095896608018,0.02766672893675093
no_cash_credit,no_cash_credit,40.0,0.25,0.1,0.2,1.0,0,0.0,0.06,False,3.210809733505302,0.2988210025389937,-0.23303260377383794,1.241275737021016,11.251658788500729,0.4282879875223406,1.0581402668210511,0.1776268783790087,6418.973447697104,-385.47031832680386,0,0.20110642964585285,0.020417962726176533,0.3215551304192348,0.04131362347100098
