sleeve,year,total_return,annualized_return,max_drawdown,sharpe
combined,2021,0.5315615079510416,0.5333562015003737,-0.14373482215696953,1.9844138896438128
combined,2022,0.05842811036298645,0.05859324062418825,-0.14484407626314122,0.5312998007012701
combined,2023,0.022014328731515986,0.02207547035496571,-0.19322258255314484,0.209032636390673
combined,2024,0.353296349478295,0.353296349478295,-0.19067979068927943,1.519053854914604
combined,2025,0.09745835781790047,0.0977387789399542,-0.15217964876984003,0.5182196134589641
combined,2026,0.06993327716009357,0.1469087185021325,-0.06821436380609702,1.1113369813703542
base_only,2021,0.5082553728762031,0.5099591448430494,-0.14143243090035584,1.9210022950376586
base_only,2022,-0.12019318026980241,-0.1205026363592765,-0.1268332229812532,-1.7023798061586712
base_only,2023,0.05200458871129121,0.05215112083193807,-0.19322258255314595,0.3568100634898471
base_only,2024,0.4102943371448753,0.4102943371448753,-0.16817387625663371,1.671718176286311
base_only,2025,0.03597411482390944,0.0360747064124014,-0.17005047972691856,0.2692499673786974
base_only,2026,-0.056267815578004865,-0.11080116095180204,-0.08516527427579268,-1.9285786874684279
