block_days,paths,horizon_days,median_total_return,median_annualized_return,mean_annualized_return,p_positive,p_annualized_above_10,p_annualized_above_20,p_total_below_minus_10,annualized_p05,annualized_p95,median_max_drawdown,max_drawdown_p05,p_hit_20_before_minus_10,p_hit_30_before_minus_15
14,10000,365,0.1835121395514887,0.1835121395514887,0.22585569669151517,0.7964,0.6335,0.4736,0.0849,-0.14025789087374535,0.7314051988743074,-0.13919136212278416,-0.25293084694284673,0.5602,0.4435
14,10000,730,0.4124204383881346,0.1884529600566751,0.21033910993303084,0.8846,0.694,0.4759,0.0557,-0.05859452034710238,0.5532006446591637,-0.18104547017600098,-0.3182159776924161,0.6644,0.692
30,10000,365,0.17696704900225513,0.17696704900225513,0.22716499848352306,0.7637,0.6098,0.4662,0.1029,-0.1548006279539299,0.8085051123409163,-0.1415026359263128,-0.25743300575644584,0.545,0.4463
30,10000,730,0.39719233085741945,0.18202890336636612,0.21087904810419486,0.8619,0.6734,0.4647,0.0692,-0.07269190425821398,0.587513089629992,-0.18700523360873894,-0.32432079398756086,0.6373,0.6644
60,10000,365,0.17202047302699242,0.17202047302699242,0.23327697865402433,0.7526,0.6059,0.4601,0.1125,-0.16819312391893598,0.8396674803520278,-0.14331724818401032,-0.2499364190042807,0.5446,0.4547
60,10000,730,0.4021927194674333,0.18414218716647957,0.2157504949836616,0.8537,0.6717,0.4673,0.0783,-0.08171482264115076,0.623580771215154,-0.18752013476839313,-0.31840716698989485,0.633,0.6784
