sleeve,period,total_return,annualized_return,max_drawdown,sharpe,sortino,calmar,annual_turnover,avg_gross,costs,funding
base_only,dev,0.3285939021544668,0.15287111619126592,-0.24731220305821744,0.9220304250706133,1.0198507598333144,0.6181300975078855,6.911654038016785,0.1149894488696927,824.1941334306065,0.0
base_only,va,0.052004588711293875,0.052151120831940734,-0.1932225825531455,0.3568100634898496,0.5008718366611798,0.26990178965026856,18.405209980737723,0.36927819691557545,708.7473840206248,0.0
base_only,vb,0.41029433714487307,0.41029433714487307,-0.16817387625663682,1.6717181762863058,2.4998987967640884,2.439703158882747,18.209454461088935,0.30099780435403223,821.6557688784974,0.0
base_only,bridge,0.035974114823900116,0.03607470641239208,-0.17005047972692022,0.26924996737865714,0.34687960612087176,0.21214116226148574,16.273558120969486,0.317107995281852,656.1038802899125,0.0
base_only,final,-0.05626781557800686,-0.11080116095180592,-0.08516527427579446,-1.9285786874685162,-1.3816231141200892,-1.3010133753928115,5.408597246525299,0.053953975845668654,104.55773956674444,0.0
base_only,full,0.992332636197854,0.13362685899042814,-0.3433228511955677,0.7554181298959571,0.9409333028742773,0.3892163266298578,12.418179629675759,0.22640962822549998,4397.991830701025,0.0
hedge_only,dev,0.21010711005061378,0.100192582956532,-0.05488266914942119,1.2865562336912322,1.351008257064289,1.8255778100688211,2.2212426103563008,0.06432157645480098,101.60200914003748,70.40355456479898
hedge_only,va,-0.028607294730448207,-0.028684748091226897,-0.028607294730448207,-2.2289193088852306,-0.5190309906011967,-1.002707468899401,1.4605662141508098,0.0059433640187938706,28.49859413249783,4.4011524192417655
hedge_only,vb,-0.043056173811219955,-0.043056173811219955,-0.04974375355607508,-0.7789476681629132,-0.1308492583057281,-0.8655594066234596,1.626543265087009,0.009176971912825318,31.719021686837472,9.374489127955314
hedge_only,bridge,0.05558462959688337,0.05574151378749126,-0.05288839285184943,0.6089384015616709,0.39301728742054254,1.0539460698613772,1.3900380256136566,0.04904749886920155,28.796078711447528,15.656867507376582
hedge_only,final,0.13301974201773836,0.28819482738212043,-0.05366508522479907,2.0646415744766293,2.5804021968825612,5.370248200946549,7.964284708417372,0.1651600907003753,81.51273091941886,14.764529433146294
hedge_only,full,0.34464178811644275,0.05535969399684304,-0.11778693856650457,0.7432880436679087,0.5178209317440294,0.4699985810870361,2.3046015308016248,0.04996470548230445,298.42300651271773,121.8699785373659
combined,dev,0.6096074312150408,0.2691173093838324,-0.14484407626314066,1.3939112885932006,1.8062287777717019,1.8579793963746398,9.125717132425015,0.1793090205108721,1008.0099390931056,104.4601275729087
combined,va,0.022014328731518207,0.02207547035496793,-0.19322258255314395,0.20903263639068081,0.2947112276965681,0.11424891471418094,19.863677178063135,0.37521984695098426,716.2209302309279,4.368558102208093
combined,vb,0.3532963494782908,0.3532963494782908,-0.19067979068928187,1.519053854914585,2.2407372314615785,1.852825347674087,19.827761710080352,0.31014007009637823,849.3979729193338,9.902232426916981
combined,bridge,0.09745835781790135,0.09773877893995508,-0.1521796487698388,0.5182196134589612,0.6935605958750952,0.6422591964828243,17.635973803511604,0.3661459951131394,719.5157249903402,15.595862665692069
combined,final,0.0699332771600929,0.14690871850213094,-0.06821436380609658,1.1113369813703533,1.4329124866876055,2.15363319842325,13.37090092768164,0.21920079824738056,183.24914597262145,14.311697362917739
combined,full,1.701033748012255,0.19817063305139127,-0.2737592704865309,1.0159844452131355,1.3710722002650246,0.7238864740514471,14.713177490795486,0.2763730580290942,5584.606508223127,199.75707700987454
