recipe,promotable,development_total_return,development_cagr,development_sharpe,development_max_drawdown,development_annual_turnover,development_annual_meta_turnover,development_average_gross,development_max_gross,development_average_risky_budget,development_max_risky_budget,development_final_equity,development_meta_cost,development_extra_underlying_cost,development_financing_drag,wf_2022_total_return,wf_2022_cagr,wf_2022_sharpe,wf_2022_max_drawdown,wf_2022_annual_turnover,wf_2022_annual_meta_turnover,wf_2022_average_gross,wf_2022_max_gross,wf_2022_average_risky_budget,wf_2022_max_risky_budget,wf_2022_final_equity,wf_2022_meta_cost,wf_2022_extra_underlying_cost,wf_2022_financing_drag,wf_2023_total_return,wf_2023_cagr,wf_2023_sharpe,wf_2023_max_drawdown,wf_2023_annual_turnover,wf_2023_annual_meta_turnover,wf_2023_average_gross,wf_2023_max_gross,wf_2023_average_risky_budget,wf_2023_max_risky_budget,wf_2023_final_equity,wf_2023_meta_cost,wf_2023_extra_underlying_cost,wf_2023_financing_drag,score
triple_equal,True,0.8415142617974751,0.2261151877290144,2.5819678530768306,-0.03529122074323565,11.757714579320535,0.8641015095148793,0.40607103958376833,0.5580119117740029,1.0641042678150838,1.081054865252441,18415.14261797475,12.94108778974624,0.0,187.32372806884416,0.16535425770917733,0.16596313412684105,2.5866746492137693,-0.019009929206234344,9.541310381362932,0.1683841745620995,0.3896656452142582,0.5395583482028042,1.068487311093025,1.081054865252441,17783.090434588943,0.8390567847471776,0.0,66.66666666666667,0.03554231395890772,0.03566577457866993,0.6730116653057935,-0.035291220743235874,11.328015820142609,0.1161730612564949,0.42280039704305433,0.5280977064954769,1.0661989094331874,1.0746666660915174,18415.14261797475,0.5788892899561818,0.0,66.66666666666667,2.219830687734285
barbell_defensive_2to1,True,0.8312768886933612,0.22383529407944747,2.581567413860869,-0.0347973125318326,11.759118419302059,1.0047374907480071,0.4006904045178211,0.5548728365750911,1.0501589519749122,1.0787763971715483,18312.768886933613,15.047301654083517,0.0,187.32372806884416,0.16363876324301962,0.1642408888412641,2.5935017767308777,-0.01862228312273151,9.579040770188387,0.336768349124199,0.3842952706189014,0.530770543401732,1.053641288852717,1.0787763971715483,17700.193439926967,1.6781135694943552,0.0,66.66666666666666,0.034608404088106504,0.03472856656170631,0.6664541073937813,-0.03479731253183371,11.263982776116109,0.2323461225129898,0.4159370813025841,0.519147288984255,1.0490644855330413,1.065999998849701,18312.768886933613,1.1577785799123637,0.0,66.66666666666666,2.2129392044209704
barbell_static_vol_equal,True,0.8676194758461606,0.23189093368217661,2.5539610118741023,-0.03844065976299338,12.1717431707054,0.7513386032087336,0.4264645674017031,0.5827337172411036,1.1170743754828827,1.125,18676.194758461606,11.25231088811344,0.0,280.9855921032662,0.17033495179999036,0.17096347725360306,2.531016369982158,-0.02033483550039905,9.869102299942758,0.0,0.4102297128792156,0.5694363896578716,1.125,1.125,18050.663605670114,0.0,0.0,99.99999999999999,0.034654191472218265,0.034774515578797516,0.6254376727091417,-0.038440659762994156,11.830204589714068,0.0,0.44618924019827527,0.5577038210838794,1.125,1.125,18676.194758461606,0.0,0.0,99.99999999999999,2.194998083725875
barbell_equal,True,0.8520879665794874,0.22846113711023674,2.5533053623063915,-0.03770020925651374,12.173848930677686,0.9622925750584252,0.4183936148027824,0.578025104442736,1.0961564017226255,1.1215822978786614,18520.879665794873,14.41163168461936,0.0,280.9855921032662,0.16775565848141416,0.16837399943250908,2.539929924387095,-0.01975326470083294,9.925697883180945,0.25257626184314924,0.40217415098618037,0.5562546824562633,1.1027309666395377,1.1215822978786614,17924.72473638205,1.2585851771207668,0.0,99.99999999999999,0.03325880526370373,0.03337420666878077,0.6149221936835524,-0.03770020925651474,11.734155023674324,0.17425959188474238,0.4358942665875702,0.5442781948170466,1.0992983641497809,1.111999999137276,18520.879665794873,0.8683339349342728,0.0,99.99999999999999,2.184476712202717
static_40_60_control,False,0.8204707679247509,0.22141950902895458,2.640682939393805,-0.03109170752669077,10.925445876606233,0.667719378427788,0.38142588914574016,0.530527201859801,1.0,1.0,18204.70767924751,10.0,0.0,0.0,0.16055286113995582,0.1611428649120401,2.689904155422787,-0.017522544870855805,8.772535377726896,0.0,0.36464863367041384,0.5061656796958859,1.0,1.0,17502.580212610283,0.0,0.0,0.0,0.0401156548410706,0.04025530803631927,0.8006302368122221,-0.031091707526692325,10.515737413079169,0.0,0.39661265795402245,0.4957367298523373,1.0,1.0,18204.70767924751,0.0,0.0,0.0,2.293558151875136
persistent_control,False,0.790218521655754,0.21460519392416533,2.6401385393530377,-0.029092555975313683,10.92965739655081,1.0896273221271715,0.36528398394789874,0.5119867614338651,0.9581640524794859,1.0,17902.18521655754,16.31864159301184,0.0,0.0,0.1554230215280188,0.1559929368802908,2.716671939685447,-0.01635968109292829,8.88572654420327,0.5051525236862985,0.3485375098843434,0.47980226529266934,0.9554619332790752,0.9931645957573225,17258.574467329363,2.5171703542415336,0.0,0.0,0.03729223120058611,0.037421879500329824,0.785976573278323,-0.02909255597531346,10.323638280999678,0.34851918376948476,0.3760227107326122,0.4688854773186717,0.9485967282995623,0.9739999982745517,17902.18521655754,1.7366678698685456,0.0,0.0,2.274654859509056
inverted_barbell_control,False,0.8192125898177389,0.2211376141084207,2.545428022632163,-0.037327580298026075,12.160832067226291,1.2030315619937753,0.4090460715341439,0.5484399572991003,1.072382218084684,1.1209049939361373,18192.12589817739,18.01702333136464,0.0,280.9855921032662,0.16706879616498282,0.16768442828685437,2.5366172925049546,-0.019734681339363513,9.892154781687669,0.26182816179875246,0.4004213527385051,0.5484399572991003,1.0981407371622003,1.1209049939361373,17621.698786939436,1.3046873090446194,0.0,99.99999999999999,0.03237072192272028,0.03248299367140439,0.6086595627805239,-0.037327580298024965,11.778766046896212,0.45490000211621345,0.42704436352379593,0.537956389272485,1.0766884501051401,1.0982641625538072,18192.12589817739,2.266762503956983,0.0,99.99999999999999,2.1654475860026507
vol22_control,False,0.915661786999544,0.2423812228106479,2.473207425242504,-0.04637700568404046,13.418040464804559,0.8349578279896792,0.47150324565766605,0.6474819080456706,1.2341487509657652,1.25,19156.61786999544,12.504621776226875,0.0,561.9711842065324,0.1801419821376824,0.18080940875411478,2.4039061416296548,-0.023144913284413038,10.965669222158622,0.0,0.4558107920880173,0.6327070996198574,1.25,1.25,18613.48544076669,0.0,0.0,199.99999999999997,0.029179512400143937,0.029280559757484337,0.4852836214266779,-0.04637700568404102,13.144671766348965,0.0,0.4957658224425281,0.6196709123154216,1.25,1.25,19156.61786999544,0.0,0.0,199.99999999999997,2.107640725403998
