kind,symbol,month,url,bytes,sha256,checksum_available,checksum_passed,rows,missing
fundingRate,BNBUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/BNBUSDT/BNBUSDT-fundingRate-2020-02.zip,695,98babcb280ea039fa506f7ad791889dfa3d4ca0ec968131e73a321d349370b22,True,True,59,False
fundingRate,XRPUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/XRPUSDT/XRPUSDT-fundingRate-2020-02.zip,908,210345a99e6025f347927e9a91da41de76c006a17540a303c9d30e6f506bf628,True,True,87,False
fundingRate,ADAUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/ADAUSDT/ADAUSDT-fundingRate-2020-02.zip,803,4de5299a72627e7b87538ea6fcaffeb58aae85ba06f823e4e8456a84464465cb,True,True,87,False
klines,ADAUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2020-02.zip,30744,e2410766c0c52b0f6015bdd7790b970836c7254eb22d3ee79e76c1373d8fc654,True,True,696,False
fundingRate,TRXUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/fundingRate/TRXUSDT/TRXUSDT-fundingRate-2020-01.zip,514,8aaf19a801d6a2575e1c6e57ed56325a9f4a2d177cc99d8f2c0e295edb6d75bd,True,True,50,False
klines,SOLUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2020-01.zip,0,,False,,0,True
fundingRate,BCHUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/BCHUSDT/BCHUSDT-fundingRate-2020-02.zip,897,84009995fa08a94ec7e773be53a5b3a0e03bf9a2e4b0a50992a1dcef18a91a87,True,True,87,False
fundingRate,EOSUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/EOSUSDT/EOSUSDT-fundingRate-2020-02.zip,867,a9199a7c0284092907d566472d119c556e22874d6542c76176bb0d6b34a8136e,True,True,87,False
fundingRate,ETHUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/ETHUSDT/ETHUSDT-fundingRate-2020-02.zip,911,5a1de843dc3f098e86ca3c0979b38591d57d18664a1079588e61def93224fa06,True,True,87,False
klines,EOSUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/EOSUSDT/1h/EOSUSDT-1h-2020-02.zip,29654,32a890a771a660a1272c31b903aab028837be2d6025255b8bbf92f3ef273496d,True,True,696,False
klines,ETHUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2020-02.zip,33463,10e0e094091fbc32271c19b3b0aaeaf229ed52538ca024dd133f9c34714d931a,True,True,696,False
fundingRate,DOGEUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOGEUSDT/DOGEUSDT-fundingRate-2020-02.zip,0,,False,,0,True
klines,XRPUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1h/XRPUSDT-1h-2020-02.zip,31421,530f7bac3e39ab3b5e82a78f961cd9b282d7fe579b9538caaf2a9ffbeb5d1dbb,True,True,696,False
klines,LINKUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/LINKUSDT/1h/LINKUSDT-1h-2020-02.zip,31452,6b856110cd6bf687f7f798292822d5eced45472b4052e4f365e3fcf47fe70439,True,True,696,False
klines,LTCUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/LTCUSDT/1h/LTCUSDT-1h-2020-02.zip,31722,95185f3b4cf0258b076883ae3f3b10962a24b2817c59da8668c3a430ef23df9f,True,True,696,False
klines,DOGEUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/DOGEUSDT/1h/DOGEUSDT-1h-2020-02.zip,0,,False,,0,True
fundingRate,LTCUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/LTCUSDT/LTCUSDT-fundingRate-2020-02.zip,911,0be0cbe81e1d8cba2adc87e283a44676c23da1241b6b0198ebfe075fbade0cb1,True,True,87,False
fundingRate,LINKUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/LINKUSDT/LINKUSDT-fundingRate-2020-02.zip,856,6a1ad605bff75dde1936bcc83aca2c3cc1f018d4d64f353bd8158cdf6617ac2a,True,True,87,False
klines,DOTUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1h/DOTUSDT-1h-2020-02.zip,0,,False,,0,True
fundingRate,DOTUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOTUSDT/DOTUSDT-fundingRate-2020-02.zip,0,,False,,0,True
klines,BCHUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/BCHUSDT/1h/BCHUSDT-1h-2020-02.zip,33061,04a6c86bc9ecd904ad4975340ce06b899215d40e27055bb70f3208404ddae514,True,True,696,False
fundingRate,TRXUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/TRXUSDT/TRXUSDT-fundingRate-2020-02.zip,823,e7691b01c9fab6081cd5d0c08c479c7c613edf20c330fb2b6b106bb738ac48f6,True,True,87,False
klines,TRXUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/TRXUSDT/1h/TRXUSDT-1h-2020-02.zip,30645,21dff80ff58087a162393bb7adeba70911f763301392c6aaa0e7b8172ec5ea56,True,True,696,False
fundingRate,SOLUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/fundingRate/SOLUSDT/SOLUSDT-fundingRate-2020-02.zip,0,,False,,0,True
klines,BTCUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2020-03.zip,38166,9fc0c560cce35fd083febee10c0c8c3ffcd56a9185f9b489f265a51bbf60ec6e,True,True,744,False
fundingRate,BTCUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-03.zip,928,eee845fde6336e29d25889563cba3d2cff2d4d640e51fb1f82ae9b28cedaee77,True,True,93,False
fundingRate,BNBUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/BNBUSDT/BNBUSDT-fundingRate-2020-03.zip,854,59a4380336d1625bfd5b4065279fbadbaa0ae5c973773392876f97451433e903,True,True,93,False
klines,BNBUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BNBUSDT/1h/BNBUSDT-1h-2020-03.zip,33836,5dd7f5a654fb2ed8b1ee5c3d6f0df82d882550485f618e4c7de2fa5f4afbf0f2,True,True,744,False
klines,ETHUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2020-03.zip,35834,36628b7275a7141048a7abbf8944ac07c9230fd055e81ff9d11beb1c229a6cd6,True,True,744,False
fundingRate,XRPUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/XRPUSDT/XRPUSDT-fundingRate-2020-03.zip,817,85306a96aeec94dc7cd6bb3f010d4552d980c85c076bc7b6856be8da6c9a3a18,True,True,93,False
klines,ADAUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2020-03.zip,32081,dc730323d7e8c687fae3684a3d1f0320d7232b249c88e118179dbcd57ca4fe90,True,True,744,False
klines,XRPUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1h/XRPUSDT-1h-2020-03.zip,32931,7b6078802e433e531d9273faef0272572cb2d3688fff87737c3b114d5f242f36,True,True,744,False
klines,SOLUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2020-02.zip,0,,False,,0,True
fundingRate,ADAUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/ADAUSDT/ADAUSDT-fundingRate-2020-03.zip,752,0ac40b12f77a8c901d33baa74011772c2c20668cf0cb78b75d35a3f7f8b5cf40,True,True,93,False
fundingRate,BCHUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/BCHUSDT/BCHUSDT-fundingRate-2020-03.zip,756,dcd2366d65ebbae83548d23a895d851fecb8c4e7bd35eacc8f274a415f3283a1,True,True,93,False
