audit,name,cost_bps_per_side,alpha_delay_days,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_max_stress_gross,development_costs,development_funding_pnl,development_daily_rebalance_events,development_risk_reduction_events,development_forced_exits,development_long_leg_pnl,development_short_leg_pnl,development_top_positive_asset_pnl_share,development_symbol_count_traded,development_forced_exit_count,validation_total_return,validation_cagr,validation_max_drawdown,validation_sharpe,validation_annual_turnover,validation_average_gross,validation_max_gross,validation_max_stress_gross,validation_costs,validation_funding_pnl,validation_daily_rebalance_events,validation_risk_reduction_events,validation_forced_exits,validation_long_leg_pnl,validation_short_leg_pnl,validation_top_positive_asset_pnl_share,validation_symbol_count_traded,validation_forced_exit_count,holdout_total_return,holdout_cagr,holdout_max_drawdown,holdout_sharpe,holdout_annual_turnover,holdout_average_gross,holdout_max_gross,holdout_max_stress_gross,holdout_costs,holdout_funding_pnl,holdout_daily_rebalance_events,holdout_risk_reduction_events,holdout_forced_exits,holdout_long_leg_pnl,holdout_short_leg_pnl,holdout_top_positive_asset_pnl_share,holdout_symbol_count_traded,holdout_forced_exit_count,final_total_return,final_cagr,final_max_drawdown,final_sharpe,final_annual_turnover,final_average_gross,final_max_gross,final_max_stress_gross,final_costs,final_funding_pnl,final_daily_rebalance_events,final_risk_reduction_events,final_forced_exits,final_long_leg_pnl,final_short_leg_pnl,final_top_positive_asset_pnl_share,final_symbol_count_traded,final_forced_exit_count,full_total_return,full_cagr,full_max_drawdown,full_sharpe,full_annual_turnover,full_average_gross,full_max_gross,full_max_stress_gross,full_costs,full_funding_pnl,full_daily_rebalance_events,full_risk_reduction_events,full_forced_exits,full_long_leg_pnl,full_short_leg_pnl,full_top_positive_asset_pnl_share,full_symbol_count_traded,full_forced_exit_count
base,base,30.0,0,0.6835065569431853,0.18975600785846347,-0.08616309095912167,1.5610711622000164,4.5334557490645375,0.4708348968574554,0.627557557834669,0.6487826328668371,566.2869429399763,2.6303539480754736,34,14,1,5872.818815848058,962.246753583448,0.2778483994764308,13,1,0.010528835119559155,0.010508132346433108,-0.14257985933038164,0.16418713002864585,5.671197910700975,0.5082398992082267,0.6111865295241052,0.6141118434555535,172.25193253573764,-124.1927717855306,12,7,0,2554.3156057644633,-2449.0272545686257,0.2720892784506191,11,0,-0.03364773286532052,-0.033673485780968626,-0.06171635559876143,-0.385142367121741,3.7411932129574685,0.48493923649912374,0.6036631430893179,0.6021842763592136,111.9662990968078,-33.85504415804421,10,1,0,-934.0707078567156,597.5933792038064,0.46242942119106073,12,0,0.04115818808728333,0.08481424066063181,-0.02342735704842336,1.641205341487557,5.710927553977676,0.4866676183401883,0.5731943332772655,0.5755264627185929,86.59139115893234,7.044062122022304,6,0,0,-900.411313775867,1311.9931946483516,0.19829783173453067,11,0,0.7176891229065707,0.10346131194240438,-0.14257985933037443,1.0022580130604335,4.434058903652281,0.4807515518055474,0.627557557834669,0.6487826328668371,1115.925267441139,-253.7682453778624,59,22,1,7173.824573105698,3.0666559601518717,0.22550552237803706,13,1
severe,severe,60.0,0,0.6161289334828883,0.17365598378839264,-0.08811215955954366,1.4406424893828755,4.533455749064538,0.4708348968574554,0.6275575578346696,0.6487826328668377,1097.2743459572516,1.899105788934662,34,14,1,5496.451160942779,664.8381738856795,0.2828605320711458,13,1,-0.0065856614072030695,-0.006572821942916751,-0.14549389721992234,0.02223635631243201,5.6711979107009745,0.5082398992082258,0.6111865295241061,0.6141118434555545,341.78227971588905,-123.68449655646265,12,7,0,2452.5659549318734,-2518.4225690040953,0.2723927888277788,11,0,-0.044444325779423366,-0.04447815010004119,-0.06471176925162636,-0.5112289669558726,3.741193212957452,0.48493923649912196,0.6036631430893205,0.602184276359216,222.81636563173203,-33.80074128467871,10,1,0,-981.2764593169001,536.8332015225956,0.47379242971422003,12,0,0.032336989992368226,0.066343198167228,-0.025068427395562698,1.359103338928843,5.7109275539776885,0.4866676183401905,0.5731943332772617,0.5755264627185891,172.5811561945857,6.9695568495387725,6,0,0,-947.6795860818372,1271.0494860056333,0.1979847663255848,11,0,0.5963958414951034,0.08885278476988856,-0.14549389721991668,0.8718062328045362,4.434058903652281,0.48075155180554724,0.6275575578346696,0.6487826328668377,2136.336243601897,-243.22823089166556,59,22,1,6524.545033546943,-560.5866185964074,0.23220051017848664,13,1
extreme,extreme,100.0,0,0.530352290873024,0.15249860658035153,-0.09070800441294691,1.2784256116570605,4.533455749064536,0.470834896857455,0.6275575578346694,0.6487826328668377,1769.9286958029247,0.963556048011128,34,14,1,5017.633037081092,285.8898716486078,0.29040538740218613,13,1,-0.028989645327324953,-0.028933768473559884,-0.14937043277236628,-0.16561106806877782,5.671197910700964,0.5082398992082257,0.6111865295241051,0.6141118434555535,563.6569346430354,-123.00974388592796,12,7,0,2318.9147968884517,-2608.81125016178,0.2728655670444697,11,0,-0.058672518855846456,-0.05871683465376287,-0.07678619719411373,-0.6762015866478591,3.741193212957441,0.48493923649912174,0.6036631430893211,0.6021842763592166,368.8970290733224,-33.728257093111964,10,1,0,-1043.5219203465547,456.7967317880201,0.49058458892553214,12,0,0.02067006857877285,0.042159190271922053,-0.027256521191728056,0.9820702958802042,5.7109275539776965,0.48666761834019184,0.5731943332772687,0.575526462718596,286.30391519223457,6.8710497940445086,6,0,0,-1010.1608786672997,1216.8615644552328,0.20770028211462915,11,0,0.4476814811585692,0.06964723956309338,-0.14937043277236894,0.6971574254581395,4.434058903652281,0.4807515518055471,0.6275575578346694,0.6487826328668377,3376.4304979635253,-229.8812301903719,59,22,1,5722.07440463154,-1245.2595930468128,0.24234523576783215,13,1
delay_1d,delay_1d,30.0,1,0.6925196230851001,0.191876937258032,-0.0853020463237053,1.5895682494278105,4.482459890334003,0.4707196310752726,0.6318288253119603,0.6351984620815077,561.1244679724609,-2.4586289634537053,34,14,1,5523.539289677637,1401.6569411731068,0.27321033350110935,13,1,0.012090628886065158,0.01206683687510579,-0.13675647326112872,0.1800326722567888,5.612786217069286,0.5059566633402257,0.6235726071882842,0.622844578161049,169.62046309978098,-120.96240929079475,12,7,0,2435.7288342385186,-2314.8225453776718,0.3229436216028453,11,0,-0.04016197670766708,-0.04019261090942061,-0.06691168169120221,-0.4679302036672798,3.7531109022191522,0.49063061607486047,0.6030374211246444,0.6030889877966467,112.12192401651271,-33.53619973125604,10,1,0,-889.7194339320304,488.0996668553374,0.5462907988668068,12,0,0.046425444808185556,0.09591987080602293,-0.021758977880062313,1.8886150136144777,5.751507281370895,0.4806397749333048,0.5731943332772655,0.5755264627185929,87.16180749491083,2.8868147995328695,6,0,0,-858.0411893609663,1322.2956374427838,0.19744959844393434,11,0,0.7259772934474815,0.10442838378277663,-0.1367564732611256,1.019592474198764,4.400322486897876,0.48137352753797213,0.6318288253119603,0.6351984620815077,1109.5935205876024,-262.31574288133135,59,22,1,6758.895943697509,500.8769907759634,0.2452416368211414,13,1
