open_time,equity,daily_return,gross,stress_gross,turnover,costs,funding_pnl,price_pnl,financing_drag,margin_buffer,liquidations,forced_exits,rebalance_events,risk_budget,drawdown_scale
2021-01-01 00:00:00+00:00,10274.631450968607,0.027463145096860764,0.6122930074517139,0.5960566228091038,0.5999999999999999,18.0,-9.253540602929538,301.88499157153655,0.0,0.9295378321972907,0,0,1,0.5999999999999999,1.0
2021-01-02 00:00:00+00:00,11888.881624071897,0.15711027503094632,0.665436199086702,0.6073729926232367,0.0,0.0,-5.957034639315138,1620.2072077426058,0.0,0.9275054491700222,0,0,0,0.5999999999999999,1.0
2021-01-03 00:00:00+00:00,12272.79370133483,0.03229168978229291,0.6774507834255151,0.654455405662875,0.0,0.0,-19.009431211933745,402.92150847486596,0.0,0.9048381265504646,0,0,0,0.5999999999999999,1.0
2021-01-04 00:00:00+00:00,12265.641452825612,-0.0005827726500804431,0.6810612389381775,0.6419113407954884,0.0,0.0,-46.59150495308791,39.43925644387053,0.0,0.8429136885737009,0,0,0,0.5999999999999999,1.0
2021-01-05 00:00:00+00:00,12562.53635901355,0.024205412112347613,0.6896630398505103,0.6641361765506132,0.0,0.0,-13.369143169028888,310.26404935696735,0.0,0.8865950374328345,0,0,0,0.5999999999999999,1.0
2021-01-06 00:00:00+00:00,13306.662690401548,0.0592337653895898,0.6255936260457774,0.591652648178408,0.4460655095837052,16.80931534953576,-35.64532268788308,796.5809694254144,0.0,0.9203691016621683,0,0,1,0.6000000000000001,1.0
2021-01-07 00:00:00+00:00,13039.628229656215,-0.020067725992479857,0.6200934389651733,0.6023455255633999,0.0,0.0,-28.25900944384855,-238.77545130148576,0.0,0.8847600485042069,0,0,0,0.6000000000000001,1.0
2021-01-08 00:00:00+00:00,12969.932455633501,-0.005344920330182634,0.6195538765255222,0.5927844433568655,0.0,0.0,-19.47979342975691,-50.21598059295751,0.0,0.8774749690873079,0,0,0,0.6000000000000001,1.0
2021-01-09 00:00:00+00:00,13157.50511058039,0.014462115017832344,0.6072127133446631,0.592636767366084,0.35390635858416836,13.77188588487044,-14.913994335764421,216.25853516752352,0.0,0.922751441741666,0,0,1,0.6,1.0
2021-01-10 00:00:00+00:00,12779.363002298329,-0.028739651256375676,0.5911365189182599,0.5716362963356136,0.31790876286886693,12.54928589080021,-33.23061228988121,-332.362210101379,0.0,0.8795676706279979,0,0,1,0.6,1.0
2021-01-11 00:00:00+00:00,11967.67739819004,-0.06351534141117277,0.574264693573269,0.5349457280322709,0.3252410855926521,12.4688678502262,-11.590788002005691,-787.6259482560565,0.0,0.8133088603511687,0,0,1,0.6,1.0
