model,full_total_pct,full_cagr_pct,full_mark_dd_pct,later_total_pct,later_cagr_pct,later_mark_dd_pct,later_double_cost_total_pct,later_delay2_total_pct,separate2024_total_pct,later_episodes,max_full_mark_gross
old_pair_1x,55.6302389902183,8.121291975103805,-26.953809533374507,28.901821218225933,16.476158371770634,-8.184635132757755,23.957075179218368,30.70738778112265,-9.508418638428918,33,1.3901681999876372
old_pair_15x,87.51496290609077,11.73784130781732,-37.819932925862545,45.5499999550226,25.29333702751,-12.121310098934035,37.3988004612704,48.60307613610226,-14.30709149310374,33,2.212113705261245
old_pair_2x,28.233147076631006,4.487848159615826,-48.95197523995467,36.04984085788041,20.314446375842053,-17.484913486809983,26.61297130566387,34.73188973856536,-18.729803755855702,33,2.3971969660846772
pair_risk30_cap15,29.10337800420799,4.612678324971431,-22.79474785805695,18.314528384184147,10.631016790931081,-6.827929616145367,12.719341382129246,20.632266705673196,-6.745173718577558,54,1.5134740538841662
btc_slow_risk30_cap15,5.741021294238879,0.9903356633222282,-20.20342218821002,-10.476365154023348,-6.432063501921748,-17.09620093283073,-11.521771283174587,-10.72434660489473,17.099109957328174,23,0.5805323400436898
multi_risk30_cap15,7.9106896574348,1.3530964140193946,-31.6675537541662,4.835316026323699,2.8773440185828614,-10.354056547949163,0.053640032810142735,12.186621378536543,5.690100163983813,80,1.2075584059549527
multi_risk30_cap2,9.065842685114212,1.543789895706782,-33.129072442917085,8.724951089836486,5.153666672077151,-10.337765495125673,3.6437672519181508,15.136048221460197,6.333917090472285,79,1.3852539410149616
multi_risk20_cap15,6.535267063969519,1.1238358546562965,-23.2140394162478,6.172298331049109,3.6635274680325125,-7.001699066781086,2.721697644925025,11.301323675639075,3.844236973314774,76,1.066278129870212
multi_risk30_no_refresh,23.58097509060657,3.8084336647233874,-29.98065462822409,11.646436804770888,6.842079385216726,-10.433308829824718,8.152515530361315,15.432500088121603,6.022919552919981,59,1.207700017307307
runner720_15,107.51472481222662,13.754894150243068,-36.496944629662444,73.46749611939649,39.22201615988092,-12.61470915280638,70.34915378240225,78.2789774028604,-18.334463478400576,11,2.211835569744385
runner720_risk30,94.03770100736043,12.414374666219752,-35.00287912900575,60.16897872079201,32.708413951275084,-11.037073267038311,57.674778711647676,64.24560475399676,-17.58161645311973,11,1.8773383990202461
runner720_trail15,60.807338682342426,8.747708540792631,-40.13416100645003,43.185889040657784,24.06678231760764,-13.230166880477089,40.16133932583872,52.47633831960936,-14.97325532338537,12,2.2432396412301205
runner168_trail15,69.37841202529074,9.749198145754189,-40.83187840452537,36.53201791507858,20.570426388348228,-12.1183710511932,28.734167417389457,42.46291728251319,-16.82572767463344,33,2.116967835764131
runner720_1x,71.28521101693511,9.966305224137795,-25.85890406965321,45.826607827401425,25.436325918822856,-8.683053431537868,44.12680308247494,48.115033792703585,-12.401292621223547,11,1.3907453422067952
runner720_125x,89.73042659516213,11.969770827754056,-31.37848275985907,59.325956057584264,32.28836185909771,-10.669056227136108,56.65323230882269,62.60181878189699,-15.44875349731587,11,1.7867981875140633
