timestamp,open_binance,close_binance,open_okx,close_okx
2021-01-01 00:00:00+00:00,737.18,734.6,736.26,734.15
2021-01-01 01:00:00+00:00,734.61,749.33,734.22,748.7
2021-01-01 02:00:00+00:00,749.37,745.15,748.86,744.86
2021-01-01 03:00:00+00:00,745.15,745.88,744.68,745.58
2021-01-01 04:00:00+00:00,745.9,743.4,745.58,742.85
2021-01-01 05:00:00+00:00,743.46,741.61,742.8,741.25
2021-01-01 06:00:00+00:00,741.73,740.76,741.39,740.63
2021-01-01 07:00:00+00:00,740.76,738.18,740.62,737.8
2021-01-01 08:00:00+00:00,738.18,731.01,737.81,730.02
2021-01-01 09:00:00+00:00,731.01,734.38,729.89,733.4
2021-01-01 10:00:00+00:00,734.38,737.69,733.54,736.82
2021-01-01 11:00:00+00:00,737.69,739.88,736.82,739.16
2021-01-01 12:00:00+00:00,739.89,734.03,739.16,733.22
2021-01-01 13:00:00+00:00,733.97,741.06,733.39,740.32
2021-01-01 14:00:00+00:00,741.08,738.81,740.13,738.04
2021-01-01 15:00:00+00:00,738.8,736.06,737.88,735.74
2021-01-01 16:00:00+00:00,736.11,736.59,735.61,735.64
2021-01-01 17:00:00+00:00,736.57,729.02,735.64,728.22
2021-01-01 18:00:00+00:00,728.8,725.14,728.0,724.39
2021-01-01 19:00:00+00:00,725.15,725.68,724.37,725.36
2021-01-01 20:00:00+00:00,725.69,730.01,725.11,729.72
2021-01-01 21:00:00+00:00,730.09,728.89,729.54,728.13
2021-01-01 22:00:00+00:00,728.89,729.53,728.1,729.03
2021-01-01 23:00:00+00:00,729.57,729.77,729.03,729.19
2021-01-02 00:00:00+00:00,729.7,720.8,729.02,720.01
2021-01-02 01:00:00+00:00,720.81,730.2,720.17,729.51
2021-01-02 02:00:00+00:00,730.19,730.69,729.66,729.56
2021-01-02 03:00:00+00:00,730.68,731.42,729.55,730.64
2021-01-02 04:00:00+00:00,731.44,730.21,730.65,729.98
2021-01-02 05:00:00+00:00,730.2,732.84,729.85,732.27
2021-01-02 06:00:00+00:00,732.84,737.88,732.37,737.37
2021-01-02 07:00:00+00:00,737.87,735.82,737.37,735.73
2021-01-02 08:00:00+00:00,735.76,734.51,735.61,734.06
2021-01-02 09:00:00+00:00,734.51,726.31,734.06,725.37
2021-01-02 10:00:00+00:00,726.29,729.42,725.13,728.29
2021-01-02 11:00:00+00:00,729.41,730.5,728.35,730.0
2021-01-02 12:00:00+00:00,730.47,753.78,729.89,753.0
2021-01-02 13:00:00+00:00,753.78,772.35,753.01,771.58
2021-01-02 14:00:00+00:00,772.43,762.02,771.58,761.66
2021-01-02 15:00:00+00:00,761.96,769.57,761.73,769.01
2021-01-02 16:00:00+00:00,769.57,783.71,769.0,782.99
2021-01-02 17:00:00+00:00,783.7,780.11,782.93,779.32
2021-01-02 18:00:00+00:00,780.03,781.16,779.18,780.35
2021-01-02 19:00:00+00:00,781.09,785.41,780.5,784.44
2021-01-02 20:00:00+00:00,785.4,759.77,784.93,759.69
2021-01-02 21:00:00+00:00,759.61,769.73,759.4,769.31
2021-01-02 22:00:00+00:00,769.78,772.59,769.31,772.38
2021-01-02 23:00:00+00:00,772.58,775.02,772.17,774.93
2021-01-03 00:00:00+00:00,775.04,776.42,774.69,776.1
2021-01-03 01:00:00+00:00,776.42,777.5,776.0,776.74
2021-01-03 02:00:00+00:00,777.49,779.66,776.93,778.86
