year,low_idiosyncratic_skewness_l180_k3_r28_beta
2021,0.2950479579352405
2022,0.20645962065878187
2023,0.07749724857021256
2024,0.011465874171120438
2025,-0.03231351998743037
2026,0.04242266437050568
