model,all_oos_periods_positive,full_cagr,full_sharpe,full_max_drawdown,severe_full_cagr_positive,extreme_full_cagr_positive,delay_full_cagr_positive,worst_calendar_year,max_risky_budget,diagnostic_robustness_pass
V285_raw,False,0.1033122086834255,1.0052468201948541,-0.12843348467962923,True,True,True,-0.032313519987419825,1.0,False
V365_raw,False,0.09893050583768392,1.0903067187072686,-0.1519515665622333,True,False,True,-0.10357961137714955,1.0,False
static_40_60,False,0.1033655961716573,1.5427196954663536,-0.08620251785698263,True,True,True,-0.05621639456072269,1.0,False
persistent_budget,False,0.10113837254215285,1.5631830024815638,-0.07842264560762702,True,True,True,-0.05207404459095932,1.0,False
vol22_budget,False,0.10044242268580761,1.2797256501362766,-0.14058957219519075,True,False,True,-0.08865792836004771,1.25,False
barbell_equal,False,0.1008258932370103,1.4091039695616359,-0.10783884529469878,True,True,True,-0.07051292547035559,1.1215822978786614,False
barbell_static_vol_equal,False,0.10192880636605928,1.401674435971548,-0.11126474473416248,True,True,True,-0.0725575795518929,1.125,False
triple_equal,False,0.10167582043921541,1.4519190940211155,-0.10024680688590026,True,True,True,-0.06576879818505654,1.0810548652524408,False
