model,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,annual_meta_turnover,average_gross,max_gross,average_risky_budget,max_risky_budget,final_equity,meta_cost,extra_underlying_cost,financing_drag
V285_raw,development_2021_2023,0.681823050386277,0.1895397001892858,1.5931291500663018,-0.07742144395515604,5.20514639052662,0.667719378427788,0.4708348968574554,0.5895490492452801,1.0,1.0,16818.23050386277,10.0,0.0,0.0
V285_raw,validation_2024,0.011465874171129764,0.011473535444515903,0.155280800787125,-0.1284334846796289,5.191582673799469,0.0,0.5069345339368602,0.5818344341450417,1.0,1.0,17011.06621860112,0.0,0.0,0.0
V285_raw,holdout_2025,-0.03231351998742038,-0.03242201324493932,-0.43253093359627565,-0.05877667882798543,3.264726916978011,0.0,0.48111486399848785,0.5811024625389184,1.0,1.0,16461.378790339022,0.0,0.0,0.0
V285_raw,final_2026h1,0.042422664370509455,0.08796072428750201,1.703926413007299,-0.01661449321108499,4.731878012349347,0.0,0.487067334997133,0.5726774240905974,1.0,1.0,17159.7143378374,0.0,0.0,0.0
V285_raw,full,0.71597143378374,0.1033122086834255,1.0052468201948541,-0.12843348467962923,4.800327251832408,0.3641500498504487,0.4807515518055474,0.5895490492452801,1.0,1.0,17159.7143378374,10.0,0.0,0.0
V365_raw,development_2021_2023,0.8910941419296137,0.2370389265933992,2.056390433034696,-0.04540227014248066,14.738978867325978,0.667719378427788,0.3218198840045966,0.5289543004468745,1.0,1.0,18910.941419296138,10.0,0.0,0.0
V365_raw,validation_2024,-0.10357961137714977,-0.10364473175396804,-1.3535230560262057,-0.12978645256922883,15.33538650959217,0.0,0.32017396596739295,0.5313769234705499,1.0,1.0,16952.1534563094,0.0,0.0,0.0
V365_raw,holdout_2025,0.0035663824828739976,0.0035785779487020886,0.08949256447746134,-0.07309921660094287,14.112497050081519,0.0,0.3199814616941503,0.4470116659729281,1.0,1.0,17012.611319442974,0.0,0.0,0.0
V365_raw,final_2026h1,-0.0131584828314113,-0.02651944623529745,-0.5629899625057835,-0.038457196403183236,14.584011994193371,0.0,0.34850028487935425,0.4252060532478884,1.0,1.0,16788.75116547861,0.0,0.0,0.0
V365_raw,full,0.678875116547861,0.09893050583768392,1.0903067187072686,-0.1519515665622333,14.697871406799724,0.3641500498504487,0.32359154439991383,0.5313769234705499,1.0,1.0,16788.75116547861,10.0,0.0,0.0
static_40_60,development_2021_2023,0.8204707679247509,0.22141950902895458,2.640682939393805,-0.03109170752669077,10.925445876606233,0.667719378427788,0.38142588914574016,0.530527201859801,1.0,1.0,18204.70767924751,10.0,0.0,0.0
static_40_60,validation_2024,-0.056216394560722915,-0.05625267304714077,-1.0452741362123994,-0.0842741977850745,11.277864975275092,0.0,0.3948781931551798,0.5353346982323217,1.0,1.0,17181.304649488313,0.0,0.0,0.0
static_40_60,holdout_2025,-0.009872223826393745,-0.009905754825492719,-0.2041769158821279,-0.059687632556237546,9.773388996840115,0.0,0.3844348226158853,0.4822500779749369,1.0,1.0,17011.6869643591,0.0,0.0,0.0
static_40_60,final_2026h1,0.008969612855616482,0.018284475894847274,0.5360593696363426,-0.017125129728236987,10.64315840145576,0.0,0.40392710492646583,0.4726459950284879,1.0,1.0,17164.27521045034,0.0,0.0,0.0
static_40_60,full,0.7164275210450342,0.1033655961716573,1.5427196954663536,-0.08620251785698263,10.738853744812795,0.3641500498504487,0.38645554736216725,0.5353346982323217,1.0,1.0,17164.27521045034,10.0,0.0,0.0
persistent_budget,development_2021_2023,0.790218521655754,0.21460519392416533,2.6401385393530377,-0.029092555975313683,10.92965739655081,1.0896273221271715,0.36528398394789874,0.5119867614338651,0.9581640524794859,1.0,17902.18521655754,16.31864159301184,0.0,0.0
persistent_budget,validation_2024,-0.05207404459095877,-0.052107724268845246,-1.0281349776149895,-0.0774546536676799,10.904150150993354,0.3228890814567711,0.37098334585174225,0.49698337070759663,0.9392472749145788,0.9782545143192845,16969.94602531492,1.613373508446052,0.0,0.0
persistent_budget,holdout_2025,-0.007530344259716104,-0.007555951443988462,-0.16083254808500752,-0.05562600355947811,9.791867098752908,0.5054779015052637,0.36495722948952897,0.473495437940458,0.9491851525978712,0.9904988209364323,16842.156489675497,2.518791708904577,0.0,0.0
persistent_budget,final_2026h1,0.007878321926651832,0.016050910801951312,0.4927760151756539,-0.016767653286931306,10.869029563682817,0.707724450962767,0.38498397168262155,0.45190493952401095,0.9530334913240851,0.9792031502276829,16974.84442044021,1.7439153599772486,0.0,0.0
persistent_budget,full,0.6974844420440212,0.10113837254215285,1.5631830024815638,-0.07842264560762702,10.696772154709933,0.8082209184746066,0.36804053544739374,0.5119867614338651,0.9526187258154736,1.0,16974.84442044021,22.194722170339716,0.0,0.0
vol22_budget,development_2021_2023,0.915661786999544,0.2423812228106479,2.473207425242504,-0.04637700568404046,13.418040464804559,0.8349578279896792,0.47150324565766605,0.6474819080456706,1.2341487509657652,1.25,19156.61786999544,12.504621776226875,0.0,561.9711842065324
vol22_budget,validation_2024,-0.08865792836004827,-0.08871413761445301,-1.3425914720503478,-0.11419118007852935,14.097331219093864,0.0,0.49359774144397484,0.6691683727904021,1.25,1.25,17458.231815256568,0.0,0.0,200.54794520547938
vol22_budget,holdout_2025,-0.032173816728337856,-0.03228184879607343,-0.5687310441149892,-0.07922826098086366,12.216736246050143,0.0,0.4805435282698567,0.6028125974686711,1.25,1.25,16896.533864431665,0.0,0.0,199.99999999999997
vol22_budget,final_2026h1,0.0011523218061497698,0.002339591419389331,0.07509890957826419,-0.026685444637975286,13.303948001819702,0.0,0.5049088811580821,0.5908074937856099,1.25,1.25,16916.004108851994,0.0,0.0,99.1780821917808
vol22_budget,full,0.6916004108851994,0.10044242268580761,1.2797256501362766,-0.14058957219519075,13.293352341652666,0.4553558643174023,0.4801891991388887,0.6691683727904021,1.241351710168168,1.25,16916.004108851994,12.504621776226875,0.0,1061.6972116037923
barbell_equal,development_2021_2023,0.8520879665794874,0.22846113711023674,2.5533053623063915,-0.03770020925651374,12.173848930677686,0.9622925750584252,0.4183936148027824,0.578025104442736,1.0961564017226255,1.1215822978786614,18520.879665794873,14.41163168461936,0.0,280.9855921032662
barbell_equal,validation_2024,-0.07051292547035737,-0.07055808006928577,-1.2076626898184326,-0.09407904254303112,12.500740685043608,0.16144454072838554,0.4322905436478585,0.5830758717489993,1.0946236374572893,1.1141272571596423,17214.918258275222,0.806686754223026,0.0,100.27397260273969
barbell_equal,holdout_2025,-0.01990778961405759,-0.0199750608339182,-0.3927796370132345,-0.06749562769798512,11.004301672401526,0.25273895075263186,0.4227503788796928,0.5355210667597854,1.0995925762989358,1.1202494104682161,16872.20728736628,1.2593958544522885,0.0,99.99999999999999
barbell_equal,final_2026h1,0.0045161456127904565,0.009185120152349624,0.25625820004614797,-0.021425705235872394,12.086488782751259,0.3538622254813835,0.4449464264203518,0.5213562166548105,1.101516745662043,1.1146015751138414,16948.40463228521,0.8719576799886243,0.0,49.5890410958904
