model,state_label,days,total_return,mean_daily_return,negative_days,negative_pnl_proxy,average_risky_budget,average_gross
V285_raw,calm_risk_on,117,-0.0003349119259099531,3.857765620822493e-05,47,-0.34064187283504826,1.0,0.39795659776396897
V285_raw,deleveraging,476,0.04762910195355041,0.0001078147832329724,241,-0.7513924389377684,1.0,0.460487823394124
V285_raw,rotation,219,0.08238501694744205,0.00038381184979269033,96,-0.4702201590560581,1.0,0.49456775366473843
V285_raw,speculative_risk_on,63,0.05618465060091804,0.0009045798741781703,27,-0.17390036141642998,1.0,0.4946232628452973
V285_raw,transition,652,0.282045573638545,0.0003891193292082026,286,-0.828535610706535,1.0,0.4876883302840909
V285_raw,transition_2,480,0.11795130515877728,0.0002473257495130566,218,-0.7217545275008621,1.0,0.503480924255599
V365_raw,calm_risk_on,117,0.4476451075368,0.003250109544798456,48,-0.2525174043679398,1.0,0.3432634194925079
V365_raw,deleveraging,476,0.028744159638817157,6.487096527134218e-05,244,-0.5513944273771421,1.0,0.3172557166734044
V365_raw,rotation,219,-0.06931535091364083,-0.0003163255100571637,112,-0.3578966088670689,1.0,0.3482066394847252
V365_raw,speculative_risk_on,63,0.07686504900972513,0.001204008499241894,25,-0.13696435066250912,1.0,0.34390685868845283
V365_raw,transition,652,-0.013834474466375646,-1.7669015065802497e-05,342,-0.6105266040057393,1.0,0.32214790939583837
V365_raw,transition_2,480,0.14060495539183382,0.0002793372638217122,234,-0.4830577901706161,1.0,0.3131434694226025
static_40_60,calm_risk_on,117,0.2534170768045718,0.0019654967893623634,49,-0.18022203466787587,1.0,0.36514069080109235
static_40_60,deleveraging,476,0.03814102352047577,8.204849245599432e-05,233,-0.44027813671037197,1.0,0.37454855936169223
static_40_60,rotation,219,-0.009123275524855257,-3.627056611722213e-05,114,-0.2759752574988072,1.0,0.40675108515673053
static_40_60,speculative_risk_on,63,0.06937337017655976,0.0010842370492164042,25,-0.11766937998366213,1.0,0.40419342035119077
static_40_60,transition,652,0.09748691247674346,0.0001450463226437995,304,-0.4576233809604401,1.0,0.38836407775113935
static_40_60,transition_2,480,0.13429277795353078,0.00026653265809825,214,-0.3783877299959146,1.0,0.3892784513558011
persistent_budget,calm_risk_on,117,0.24855292561391473,0.0019310681957634523,49,-0.17552984098777813,0.9774220895370059,0.35585374868991415
persistent_budget,deleveraging,476,0.03867179971499324,8.281497410379296e-05,233,-0.41728268337841234,0.9491697273883233,0.3555044906744889
persistent_budget,rotation,219,-0.006334685008065111,-2.3889330861925837e-05,114,-0.2638378830552998,0.9606459632174704,0.39081706165197944
persistent_budget,speculative_risk_on,63,0.06728302960716182,0.001052068280351987,25,-0.11391599605348704,0.9662123793828246,0.3903668803465079
persistent_budget,transition,652,0.09209343788745139,0.00013726914955047268,304,-0.43326836871090263,0.9446512240353914,0.36677141841845806
persistent_budget,transition_2,480,0.1301627093854667,0.00025853981696922243,214,-0.3598897066914549,0.9553690918378429,0.37184440356811344
vol22_budget,calm_risk_on,117,0.2685637886182779,0.0020721488046610294,49,-0.19798574112794717,1.1036941388955732,0.40785645260652864
vol22_budget,deleveraging,476,0.02040774546699131,4.7766095022047525e-05,235,-0.5631441215297128,1.25,0.4681856992021153
vol22_budget,rotation,219,-0.023557451679949937,-0.0001001327281944728,115,-0.3512632322190059,1.25,0.5084388564459131
vol22_budget,speculative_risk_on,63,0.08408644933681919,0.00131158601562455,25,-0.14688415886398173,1.2462010802655672,0.5036860500676943
vol22_budget,transition,652,0.08336860332200824,0.0001265133827568041,315,-0.5890451747107479,1.25,0.4854550971889242
vol22_budget,transition_2,480,0.13952765254465715,0.00027837130207486715,220,-0.484840005056976,1.25,0.4865980641947513
barbell_equal,calm_risk_on,117,0.25853706047962643,0.0020016085002122408,49,-0.18675779105786264,1.0405581142162892,0.3818551006482213
barbell_equal,deleveraging,476,0.029536164943450238,6.529053456292033e-05,233,-0.49019873877702425,1.0995848636941619,0.4118450949383021
barbell_equal,rotation,219,-0.014957790808516669,-6.201102952819947e-05,115,-0.30754780987652863,1.1053229816087353,0.4496279590489463
barbell_equal,speculative_risk_on,63,0.0756760879626237,0.0011818271479882687,25,-0.13040007745873436,1.1062067298241964,0.4470264652071011
barbell_equal,transition,652,0.08775967822996233,0.0001318912661536384,311,-0.5110902337422802,1.0973256120176957,0.4261132578036912
barbell_equal,transition_2,480,0.13488510799584263,0.0002684555595220448,216,-0.4223269056248561,1.1026845459189216,0.4292212338814324
barbell_static_vol_equal,calm_risk_on,117,0.2609826274022744,0.002018822797011696,49,-0.18910388789791152,1.0518470694477866,0.38649857170381047
barbell_static_vol_equal,deleveraging,476,0.029262317847242647,6.49072937390209e-05,233,-0.5016964654430041,1.125,0.42136712928190373
barbell_static_vol_equal,rotation,219,-0.016347931658382442,-6.82016471558475e-05,115,-0.3136163610518999,1.125,0.4575949708013219
barbell_static_vol_equal,speculative_risk_on,63,0.0767240002391576,0.0011979115324204771,25,-0.13227676942382194,1.1231005401327836,0.45393973520944236
barbell_static_vol_equal,transition,652,0.090431118524809,0.00013577985270030185,311,-0.5232656030785396,1.125,0.4369095874700318
barbell_static_vol_equal,transition_2,480,0.13694140777767028,0.0002724519800865585,216,-0.4315753810383449,1.125,0.43793825777527623
triple_equal,calm_risk_on,117,0.2568309162796809,0.001989571263262282,49,-0.1845792055945337,1.02703874281086,0.37628363069917836
