audit,model,total_return,cagr,sharpe,max_drawdown,annual_turnover,annual_meta_turnover,average_gross,max_gross,average_risky_budget,max_risky_budget,final_equity,meta_cost,extra_underlying_cost,financing_drag
base,V285_raw,0.71597143378374,0.1033122086834255,1.0052468201948541,-0.12843348467962923,4.800327251832408,0.3641500498504487,0.4807515518055474,0.5895490492452801,1.0,1.0,17159.7143378374,10.0,0.0,0.0
base,V365_raw,0.678875116547861,0.09893050583768392,1.0903067187072686,-0.1519515665622333,14.697871406799724,0.3641500498504487,0.32359154439991383,0.5313769234705499,1.0,1.0,16788.75116547861,10.0,0.0,0.0
base,static_40_60,0.7164275210450342,0.1033655961716573,1.5427196954663536,-0.08620251785698263,10.738853744812795,0.3641500498504487,0.38645554736216725,0.5353346982323217,1.0,1.0,17164.27521045034,10.0,0.0,0.0
base,persistent_budget,0.6974844420440212,0.10113837254215285,1.5631830024815638,-0.07842264560762702,10.696772154709933,0.8082209184746066,0.36804053544739374,0.5119867614338651,0.9526187258154736,1.0,16974.84442044021,22.194722170339716,0.0,0.0
base,vol22_budget,0.6916004108851994,0.10044242268580761,1.2797256501362766,-0.14058957219519075,13.293352341652666,0.4553558643174023,0.4801891991388887,0.6691683727904021,1.241351710168168,1.25,16916.004108851994,12.504621776226875,0.0,1061.6972116037923
base,barbell_equal,0.6948404632285208,0.1008258932370103,1.4091039695616359,-0.10783884529469878,11.9950622481813,0.6317883913960044,0.42411486729314124,0.5830758717489993,1.096985217991821,1.1215822978786614,16948.40463228521,17.349671973283296,0.0,530.8486058018962
base,barbell_static_vol_equal,0.7041875975457212,0.10192880636605928,1.401674435971548,-0.11126474473416248,12.016103043232732,0.4097529570839255,0.433322373250528,0.6022515355113619,1.1206758550840838,1.125,17041.875975457213,11.252310888113438,0.0,530.8486058018962
base,triple_equal,0.7020398368225114,0.10167582043921541,1.4519190940211155,-0.10024680688590026,11.576326080391798,0.5425756108808192,0.4115617606494833,0.5671621472434402,1.064656811994547,1.0810548652524408,17020.398368225113,14.8997813155222,0.0,353.8990705345976
severe,V285_raw,0.5897542531573909,0.08807082114637876,0.8661692342126308,-0.13142987737618772,4.800327251832408,0.3641500498504487,0.4807515518055474,0.5895490492452801,1.0,1.0,15897.542531573908,40.0,730.9366900491433,0.0
severe,V365_raw,0.32137663309428466,0.052048896880008355,0.6033774622332262,-0.24932953110946876,14.697871406799724,0.3641500498504487,0.32359154439991383,0.5313769234705499,1.0,1.0,13213.766330942846,40.0,2361.727759669828,0.0
severe,static_40_60,0.4421524354260413,0.06893663670823424,1.0474314159607,-0.14988018724987096,10.738853744812795,0.3641500498504487,0.38645554736216725,0.5353346982323217,1.0,1.0,14421.524354260413,40.0,1709.4113318215543,0.0
severe,persistent_budget,0.4324862637539739,0.06762854153621767,1.0634830867708602,-0.1426493915118192,10.696772154709933,0.8082209184746066,0.36804053544739374,0.5119867614338651,0.9526187258154736,1.0,14324.86263753974,88.77888868135886,1629.3093311885718,0.0
severe,vol22_budget,0.32785642851193586,0.05298635465774271,0.7016654903618096,-0.2479621714598993,13.293352341652666,0.4553558643174023,0.4801891991388887,0.6691683727904021,1.241351710168168,1.25,13278.564285119359,50.0184871049075,2115.281293951378,1327.1215145047413
severe,barbell_equal,0.3794317933754292,0.06031748498423428,0.8652742489550579,-0.19630053474370757,11.9950622481813,0.6317883913960044,0.42411486729314124,0.5830758717489993,1.096985217991821,1.1215822978786614,13794.317933754292,69.39868789313319,1872.2953125699748,663.5607572523706
severe,barbell_static_vol_equal,0.38400818358178035,0.060957102963222765,0.8607875374489415,-0.19970590152883338,12.016103043232732,0.4097529570839255,0.433322373250528,0.6022515355113619,1.1206758550840838,1.125,13840.081835817804,45.00924355245375,1912.3463128864662,663.5607572523706
severe,triple_equal,0.40005847072692413,0.06318678091433227,0.9233620188075676,-0.18065353559062658,11.576326080391798,0.5425756108808192,0.4115617606494833,0.5671621472434402,1.064656811994547,1.0810548652524408,14000.584707269241,59.5991252620888,1818.000652320501,442.3738381682471
extreme,V285_raw,0.43555882535794566,0.06804512310918565,0.6813510216750562,-0.13541580957892918,4.800327251832408,0.3641500498504487,0.4807515518055474,0.5895490492452801,1.0,1.0,14355.588253579457,80.0,1705.5189434480012,0.0
extreme,V365_raw,-0.04013093211479102,-0.007429761983684724,-0.0350770105227741,-0.38556304226058935,14.697871406799724,0.3641500498504487,0.32359154439991383,0.5313769234705499,1.0,1.0,9598.69067885209,80.0,5510.698105896266,0.0
extreme,static_40_60,0.1431469920010462,0.024658005033246333,0.39716887212852775,-0.25945940503882303,10.738853744812795,0.3641500498504487,0.38645554736216725,0.5353346982323217,1.0,1.0,11431.469920010462,80.0,3988.6264409169603,0.0
