model,period,start,return_pct,cagr_pct,max_mark_close_drawdown_pct,completed_episodes,order_fills,fees,funding_cashflow,max_gross,qualified
relative125,full,2021-01-01,89.73042659516213,11.969770827754056,-31.37848275985907,47,188,794.5740083788851,-157.09072959299473,1.7867981875140633,True
relative125,later,2025-01-01,59.325956057584264,32.28836185909771,-10.669056227136108,11,44,183.733929263475,-2.454117570055482,1.486115517256084,True
relative125,validation,2024-01-01,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,40,109.155409739969,8.910507728449895,1.5395482041114161,True
relative125,later_double_costs,2025-01-01,56.65323230882269,30.950721914956603,-10.966191531841352,11,44,364.495316837108,-2.4966047046432287,1.4836205691484503,True
relative125,later_delay2,2025-01-01,62.60181878189699,33.91570130765582,-9.19767353009765,11,44,184.315840482299,-2.99306838800358,1.4671928853468534,True
daily25,full,2021-01-01,52.510576554116504,7.735486685449411,-19.039145938251444,69,192,221.04189741970401,-1336.4979191565728,0.39419505641136804,True
daily25,later,2025-01-01,13.292963245417022,7.785881789901206,-8.242726118184873,20,56,51.4750760634625,-26.1643200097432,0.3103135790089191,True
daily25,validation,2024-01-01,6.670772472710951,6.656657669364452,-8.418575126486127,12,32,30.484016852253003,-190.09686356863992,0.3253865687769106,True
daily25,later_double_costs,2025-01-01,12.67089743502645,7.429956439084329,-8.35080613071808,20,56,102.691995448724,-26.136185300631617,0.31061563953659943,True
daily25,later_delay2,2025-01-01,12.400436611949539,7.274963128461209,-8.286983334998698,20,56,50.461512510808,-25.186350534290224,0.3099074795693713,True
daily50,full,2021-01-01,118.88517269132137,14.831210165368569,-34.495576275966634,69,192,548.6111100850945,-2983.3473534637687,0.6662720050881655,True
daily50,later,2025-01-01,27.309129370665165,15.609450976093653,-15.704402418088758,20,56,107.52195791211301,-52.01842431942396,0.6268637049255017,True
daily50,validation,2024-01-01,13.047401334520137,13.018995483753004,-15.56855360995064,12,32,61.7733194270505,-374.2908557039682,0.5946518229709488,True
daily50,later_double_costs,2025-01-01,25.8731304930375,14.824293937986056,-15.905203129490031,20,56,214.105456345734,-51.78161724050102,0.6271557138651751,True
daily50,later_delay2,2025-01-01,25.17651342418119,14.442118919264257,-15.712803023464982,20,56,103.03058507078751,-47.79617860609358,0.6294465228485961,True
mix25,full,2021-01-01,163.18709569097916,18.629096791646525,-25.089738999634946,98,334,879.765599616745,-1642.836621189165,1.168134093743915,True
mix25,later,2025-01-01,53.18554085149061,29.201557815466074,-9.588405273865085,25,84,163.068157381753,-57.92901027119962,1.1080006093634212,True
mix25,validation,2024-01-01,-4.472316012865962,-4.463359070832052,-17.189550070184502,21,70,97.045964466526,-156.04592567410077,1.1072401157711649,True
mix25,later_double_costs,2025-01-01,51.09224685932454,28.138008662005465,-9.725024416145878,25,84,323.778686636048,-57.860427879499824,1.102489794851779,True
mix25,later_delay2,2025-01-01,57.2285175250788,31.23940440155244,-8.316788286862176,25,84,164.39837741920152,-58.786104799834916,1.1054371830452066,True
mix50,full,2021-01-01,315.2899720359316,28.576144487469946,-30.233261136810686,121,386,1787.6861534418645,-3915.441746379455,1.2532909072618221,True
mix50,later,2025-01-01,51.19488829937151,28.190294767021395,-16.764970220533783,33,106,260.680506090812,-103.27826739819794,1.1275733120388889,True
mix50,validation,2024-01-01,6.4670500613285276,6.45337922546616,-16.394816319399684,22,72,112.249809684042,-340.1143710311115,1.0740152529299203,True
mix50,later_double_costs,2025-01-01,47.79087018445489,26.44862910571746,-17.081640156453346,33,106,515.532127863946,-101.90447813253118,1.129432194088551,True
mix50,later_delay2,2025-01-01,58.43156532825324,31.841743334612605,-15.16152980869464,33,106,263.757107297783,-104.57921577503696,1.1336012209814441,True
mix25,full_double_costs,2021-01-01,148.76625916309428,17.454827962731677,-26.63846495537454,98,334,1706.3568492203242,-1618.9435028981197,1.1709863219532595,True
mix25,later_capital1000,2025-01-01,51.69476477455917,28.44473224927033,-9.965070189156744,25,84,15.179882803284501,-6.070797478116003,1.0776026982593672,True
mix25,origin365,2021-01-01,58.40732833125064,58.45724530464389,-13.274730841274174,18,64,147.07638890749502,-1095.6255290573772,1.168134093743915,True
mix25,origin365,2022-01-01,20.912496488153167,20.928224162799513,-13.819417244286536,13,42,61.331513164880505,-15.554903582877566,1.1104159084931364,True
mix25,origin365,2023-01-01,-6.2365484224332075,-6.240683880519871,-10.29851631146974,21,74,93.43216889101001,-72.31604396635527,0.8809597344143922,True
mix25,origin365,2025-01-01,49.009855040999554,49.050567058576576,-9.588405273865085,16,52,104.3407593124445,-43.65664402656707,1.1080006093634212,True
mix25,origin365,2022-07-01,-4.351914563313453,-4.3548294602479665,-10.77721886806139,18,62,80.746708210315,-40.08910946102536,0.8559053079155986,True
mix25,origin365,2023-07-01,-14.069299582368222,-14.07822349444624,-18.942108087099495,21,74,106.88055544487851,-137.47573311491325,1.0069037606797873,True
mix25,origin365,2024-07-01,45.86259238727071,45.90031121991564,-7.224487858271223,19,60,110.8153206049835,-97.1626583829282,1.1124808627295668,True
relative125,full_double_costs,2021-01-01,76.60323788097459,10.561468770930361,-33.169266014343535,47,188,1531.334048981816,-155.365886992624,1.788333480377058,True
relative125,later_capital1000,2025-01-01,59.199228577015184,32.22514083432198,-11.090170458574288,11,44,17.936969252094002,-1.0414649817525745,1.4783175571977527,True
relative125,origin365,2021-01-01,26.02984156330912,26.04981356937719,-29.19000992101418,11,44,159.605118854984,-140.18999169611868,1.7867981875140633,True
relative125,origin365,2022-01-01,17.39648842314958,17.40938560294609,-7.093527805249189,6,24,77.88598363476551,-30.692648685334046,1.3846780355668369,True
relative125,origin365,2023-01-01,-4.843313811802563,-4.846549431165403,-9.702385112083523,9,36,111.01691290394801,8.167870711677448,1.4414342535565772,True
relative125,origin365,2025-01-01,48.843836561122586,48.8843895407117,-9.435414939265796,8,32,129.2532331746155,-8.720103596092342,1.486115517256084,True
relative125,origin365,2022-07-01,4.806148515328701,4.809518320708861,-10.1383491956759,8,32,106.90565662055201,-19.687314236558432,1.4174758197268356,True
relative125,origin365,2023-07-01,-20.616431437946638,-20.628983857613925,-27.766513217234824,11,44,131.6978102366695,15.227599300978497,1.5377262562201433,True
relative125,origin365,2024-07-01,38.22735421642949,38.25800712928415,-9.42874120303594,9,36,131.455118580015,0.08190374299943506,1.486427118068992,True
