family,key,scenario,period,start,end,total_return,annualized_return,max_drawdown,sharpe,sortino,calmar,trades,profit_factor,win_rate,turnover,average_exposure,final_equity,average_r
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,low,validation,2023-01-01,2025-01-01,1.8919459122240223,0.6995429597619027,-0.1599492002824528,2.039942671706705,2.9326350990864696,4.373532087228859,,,,241.43138749940573,0.3906024396594934,28919.459122240223,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,low,validation,2023-01-01,2025-01-01,-0.0303209643913338,-0.0152566552496076,-0.036193954743298,-1.2896061713877172,-0.3290046054407577,-0.421524957905648,41.0,0.4928493966377794,0.4634146341463415,,0.0010446209555591,9696.790356086662,-0.1533303146676959
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,low,research_holdout,2025-01-01,2026-07-01,0.1619916366077871,0.1056085712590633,-0.2256833134592906,0.5836451848896528,0.6978532558288619,0.4679502867991757,,,,149.3603173367299,0.2609024588255909,11619.91636607787,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,low,research_holdout,2025-01-01,2026-07-01,-0.0060149702171795,-0.0040250928308728,-0.0194394727197296,-0.3520743978246202,-0.054904279828709,-0.2070577164774454,12.0,0.6982977627055995,0.5,,0.0002937301744804,9939.850297828203,-0.0792958900162882
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,base,validation,2023-01-01,2025-01-01,1.5629704788521628,0.6000692048788954,-0.1863098721878296,1.8215622584360525,2.613718679942491,3.2208127128869,,,,241.43138749940573,0.3906024396594934,25629.704788521627,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,base,validation,2023-01-01,2025-01-01,-0.0491406558023937,-0.0248465715560756,-0.0539142722918645,-1.9254305736644632,-0.5276910648566749,-0.4608533232456311,41.0,0.3099914819219553,0.3414634146341463,,0.0009891321377979,9508.593441976062,-0.2710239171431887
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,base,research_holdout,2025-01-01,2026-07-01,0.0783428116175088,0.051730767468884,-0.249808210683209,0.3446472376124594,0.412733613316683,0.2070819342863223,,,,149.3603173367299,0.2609024588255909,10783.42811617509,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,base,research_holdout,2025-01-01,2026-07-01,-0.0093285574027469,-0.0062459248671775,-0.0213927833159539,-0.5363713972377963,-0.0846053604040333,-0.2919641065367863,12.0,0.5683787416360083,0.5,,0.0003128448815479,9906.71442597253,-0.1700479772259024
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,stress,validation,2023-01-01,2025-01-01,1.0128417460031631,0.4181808148128636,-0.2445222287012319,1.3852428877543852,1.9774946674801803,1.7101954985197496,,,,241.43138749940573,0.3906024396594934,20128.417460031636,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,stress,validation,2023-01-01,2025-01-01,-0.0874278520454833,-0.0446544187584916,-0.0907503901824076,-2.6442577368242186,-0.8365552644590125,-0.492057595220655,41.0,0.1152749174563169,0.2439024390243902,,0.0009656641213831,9125.721479545167,-0.5175661964480882
rotation_ensemble,rot_f7_s21_e40_v30_tv40_r12_h0.00+rot_f7_s21_e10_v30_tv40_r4_h0.00+rot_f14_s21_e10_v30_tv30_r4_h0.00,stress,research_holdout,2025-01-01,2026-07-01,-0.0672579357259032,-0.045492186623094,-0.3014487993659386,-0.1284141712282294,-0.1474584606344506,-0.1509118189184413,,,,140.69133490939242,0.2254341480200797,9327.420642740968,
shock_primary,shock_b2_z2.5_e20_loc0.55_tk0.50_vol1.25_sl1.0_tp1.0_h8,stress,research_holdout,2025-01-01,2026-07-01,-0.0232722027406285,-0.0156183599721159,-0.0284491080727394,-1.2326746833282796,-0.2352327289605914,-0.5489929572548443,12.0,0.2134958485670644,0.4166666666666667,,0.0002556626350764,9767.277972593714,-0.5181091097890431
