date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY
2007-01-03 00:00:00+00:00,98.86947631835938,37.03886795043945,60.27806091308594,41.088035583496094,25.692625045776367,34.29819107055664,48.42680740356445,50.3125114440918,,62.279998779296875,19.330032348632812,,116.75173950195312,
2007-01-04 00:00:00+00:00,99.07931518554688,37.741275787353516,60.440006256103516,40.97065734863281,25.337825775146484,34.34266662597656,48.72039794921875,50.495052337646484,,61.650001525878906,18.82647705078125,,116.05149841308594,
2007-01-05 00:00:00+00:00,98.28909301757812,37.561397552490234,59.17522048950195,40.35581588745117,24.59699058532715,33.706703186035156,48.50834655761719,50.33074951171875,,60.16999816894531,18.761499404907227,,115.30693817138672,
2007-01-08 00:00:00+00:00,98.74362182617188,37.58708953857422,58.94387435913086,40.41170883178711,24.775503158569336,33.755615234375,48.595394134521484,50.36727523803711,,60.47999954223633,18.85896110534668,,115.46650695800781,
2007-01-09 00:00:00+00:00,98.65968322753906,37.775543212890625,59.4991569519043,40.450843811035156,24.222118377685547,34.18254089355469,48.595394134521484,50.355072021484375,,60.849998474121094,18.69652557373047,,115.28031158447266,
2007-01-10 00:00:00+00:00,98.98838806152344,38.220977783203125,59.961875915527344,40.143428802490234,24.166332244873047,34.62283706665039,48.37784957885742,50.26991271972656,,60.59000015258789,18.420385360717773,,114.8460693359375,
2007-01-11 00:00:00+00:00,99.42201232910156,38.615013122558594,60.332000732421875,40.400535583496094,24.472036361694336,35.07202911376953,48.095096588134766,50.13605880737305,,60.630001068115234,18.39601707458496,,114.42950439453125,
2007-01-12 00:00:00+00:00,100.17733764648438,38.81202697753906,60.910465240478516,40.858882904052734,24.969640731811523,35.183223724365234,47.87215042114258,50.032596588134766,,62.16999816894531,18.82647705078125,,114.6510238647461,
2007-01-16 00:00:00+00:00,99.98152923583984,38.78630065917969,60.501708984375,40.808570861816406,25.05889892578125,35.681312561035156,47.97550964355469,50.12996292114258,,61.970001220703125,18.39601707458496,,114.6688461303711,
2007-01-17 00:00:00+00:00,100.0234375,38.469383239746094,60.23953628540039,40.83092498779297,24.95402717590332,35.667991638183594,47.828678131103516,50.032596588134766,,62.63999938964844,18.558454513549805,,114.76630401611328,
2007-01-18 00:00:00+00:00,99.687744140625,37.758419036865234,59.73823547363281,40.69118881225586,24.690704345703125,35.62350845336914,47.97550964355469,50.099510192871094,,62.2599983215332,18.3635311126709,,115.0676040649414,
2007-01-19 00:00:00+00:00,99.88358306884766,37.83549118041992,59.96957778930664,41.18864440917969,25.134761810302734,35.979278564453125,47.844974517822266,50.02040100097656,,63.0,18.63967514038086,,115.10311889648438,
2007-01-22 00:00:00+00:00,99.57584381103516,37.424346923828125,59.52998733520508,40.981834411621094,25.105756759643555,35.6768798828125,47.959136962890625,50.111663818359375,,62.720001220703125,18.655914306640625,,114.99675750732422,
