scenario,period,total_return,annualized_return,sharpe,max_drawdown,calmar,annual_turnover,average_gross,max_gross,final_equity
stress,development,0.7809029078737073,0.08604142564889639,0.7120609693656689,-0.1554767757366543,0.5534037173155228,14.338488358532654,0.6459291192025862,1.0,17809.029078737072
stress,validation_a,0.48538683547569406,0.10408511255672992,0.9654229139837683,-0.10698113454414238,0.972929601095065,23.297073132979897,0.9514591985947667,1.0,26228.497214359784
stress,validation_b,0.1266546414933345,0.040551557006390127,0.2858028480564063,-0.17803340485025088,0.2277749899829149,18.952418217127185,0.8596942904443258,1.0,29902.9018153085
stress,bridge,0.2460425429388704,0.07639373124258353,0.5216816382167538,-0.1960936921125972,0.38957770859206514,25.074120567928304,0.8665045222871666,1.0,36873.51532674109
stress,holdout,0.017104286400030144,0.008549955518682317,0.06825235875111203,-0.1910872218628782,0.04474373239262256,24.325713793470072,0.929080959842366,1.0,37116.964065586784
stress,final_2026h1,0.10948244393739781,0.23720556782545432,1.8524168581596019,-0.0599147578987379,3.959050760521408,20.48780487804878,1.0,1.0,41559.4200897232
stress,selection,1.9902901815308502,0.08145497452141193,0.6661148780801224,-0.17803340485025088,0.45752635349487414,17.887261646749916,0.779056852367602,1.0,29902.9018153085
stress,prefinal,2.7116964065586786,0.07158757347051492,0.564765312607967,-0.1960936921125972,0.36506821152313895,19.69558962693837,0.8085882744181802,1.0,37116.964065586784
stress,full,3.1559420089723202,0.07596419484086248,0.5990259361170344,-0.1960936921125972,0.38738724342669706,19.71546367872026,0.8133901594368552,1.0,41559.4200897232
severe,development,0.5321191285398967,0.06291958165917455,0.5201107725495691,-0.16683426282325442,0.37713824842941324,14.338488358532654,0.6459291192025862,1.0,15321.191285398967
severe,validation_a,0.29186921469281546,0.06618421545119313,0.6140822276927939,-0.12071795430975596,0.5482549454190376,23.297073132979897,0.9514591985947667,1.0,19624.774641273394
severe,validation_b,0.034674680888707954,0.011427149824979388,0.08069474894929285,-0.18511110893067673,0.06173130230265545,18.952418217127185,0.8596942904443258,1.0,20547.435067134465
severe,bridge,0.11364726734818786,0.036679794093885665,0.2505832410029244,-0.2158753279730642,0.1699119322170173,25.074120567928304,0.8665045222871666,1.0,22644.885770879533
severe,holdout,-0.054409147078815945,-0.02769340536008913,-0.2196280642635191,-0.21373382870316915,-0.12956959377052746,24.325713793470072,0.929080959842366,1.0,21191.700899238105
severe,final_2026h1,0.09299957411965565,0.19984152306208447,1.564689875461613,-0.06344351807232496,3.149912380871868,20.48780487804878,1.0,1.0,23375.580584884487
severe,selection,1.0547435067134465,0.05283143242625976,0.43207166240160627,-0.18511110893067673,0.2854039000222558,17.887261646749916,0.779056852367602,1.0,20547.435067134465
severe,prefinal,1.1191700899238106,0.04038804382552308,0.3184531893683717,-0.2158753279730642,0.1870896697864542,19.69558962693837,0.8085882744181802,1.0,21191.700899238105
severe,full,1.3375580584884488,0.04460793308048738,0.35159693393902736,-0.2158753279730642,0.20663747682205413,19.71546367872026,0.8133901594368552,1.0,23375.580584884487
extreme,development,0.19192389742659066,0.025427619234587695,0.20923629536094152,-0.21590032375127677,0.11777480826699004,14.338488358532654,0.6459291192025862,1.0,11919.238974265907
extreme,validation_a,0.023450552284635995,0.005817564498222572,0.05374647350258533,-0.1543294978920131,0.03769573916642441,23.297073132979897,0.9514591985947667,1.0,12095.086713934077
extreme,validation_b,-0.1023849470477537,-0.035364199843096134,-0.24997599199134016,-0.23331345130886105,-0.1515737718708764,18.952418217127185,0.8596942904443258,1.0,10986.218443472468
extreme,bridge,-0.07667786782519337,-0.026345063032928828,-0.17965339168554764,-0.26411465369791154,-0.09974858518475739,25.074120567928304,0.8665045222871666,1.0,10038.308644847828
extreme,holdout,-0.16271210094612498,-0.08528927449013712,-0.6669448760016832,-0.25570188219360057,-0.3335496546152199,24.325713793470072,0.929080959842366,1.0,8318.16973811205
extreme,final_2026h1,0.06604392606339471,0.14000060818520588,1.0980392770291745,-0.06930123127363019,2.020174903277332,20.48780487804878,1.0,1.0,8949.102372845211
extreme,selection,0.09862184434724686,0.006746698091769865,0.055015392702803596,-0.23331345130886105,0.02891688436273897,17.887261646749916,0.779056852367602,1.0,10986.218443472468
extreme,prefinal,-0.168183026188795,-0.009660979169070272,-0.07587989418666923,-0.3661086557312728,-0.026388283963877435,19.69558962693837,0.8085882744181802,1.0,8318.16973811205
extreme,full,-0.10508976271547887,-0.005690463624608899,-0.0446841827154547,-0.3805422374206946,-0.0149535664245281,19.71546367872026,0.8133901594368552,1.0,8949.102372845211
