year,return,max_drawdown
2007,0.0,0.0
2008,-0.061431103283259514,-0.11606438711530787
2009,0.1652100598766033,-0.0860828628695468
2010,0.05431273765741507,-0.14210965249794794
2011,0.03321606891466122,-0.14262141405694972
2012,0.08594866707921489,-0.0677061891627263
2013,0.3765752522977215,-0.05632625165897909
2014,0.10627020453919322,-0.06546514838656914
2015,-0.020174793181670703,-0.1052788734553648
2016,0.1455255613380293,-0.0579521698212091
2017,0.1860924925718903,-0.04034887047893554
2018,-0.06171885465215843,-0.1575980762753707
2019,0.20460259025602845,-0.05273597224687421
2020,0.008702610639585995,-0.17803340485025054
2021,0.15610041745564818,-0.058672597766197154
2022,-0.06116364846498901,-0.16565015196576016
2023,0.13609788941492051,-0.12820899978030897
2024,0.1260344481003317,-0.06327394436083678
2025,-0.1060644128443351,-0.1910872218628784
2026,0.11968802233626796,-0.059914757898738125
