,equity,gross,turnover,short_gross
2010-06-18 00:00:00+00:00,10607.076204615047,0.6070501737750752,0.0003457743943361402,0.0
2010-06-21 00:00:00+00:00,10555.557319381229,0.6063305159827441,0.0007196577923310743,0.0
2010-06-22 00:00:00+00:00,10412.466321559312,0.6064372639962426,0.00010674801349852547,0.0
2010-06-23 00:00:00+00:00,10408.443779995327,0.6059752683449777,0.0004619956512649237,0.0
2010-06-24 00:00:00+00:00,10259.890377077692,0.598040129888453,0.007935138456524715,0.0
2010-06-25 00:00:00+00:00,10277.867946827444,0.5982867908318747,0.0002466609434217393,0.0
2010-06-28 00:00:00+00:00,10232.459638934137,0.5885908379910675,0.009695952840807265,0.0
2010-06-29 00:00:00+00:00,10017.819753281967,0.5884812028254446,0.0001096351656229011,0.0
2010-06-30 00:00:00+00:00,10003.081506736717,0.0,0.5884812028254446,0.0
2010-07-01 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-02 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-06 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-07 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-08 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-09 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-12 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-13 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-14 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-15 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-16 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-19 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-20 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-21 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-22 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-23 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-26 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-27 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-28 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-29 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-07-30 00:00:00+00:00,10003.081506736717,0.0,0.0,0.0
2010-08-02 00:00:00+00:00,10097.4421959109,0.5955883391624575,0.5955883391624575,0.0
2010-08-03 00:00:00+00:00,10045.7211856509,0.6000250640391606,0.004436724876703102,0.0
2010-08-04 00:00:00+00:00,10095.865063024872,0.5974955414987263,0.002529522540434259,0.0
2010-08-05 00:00:00+00:00,10092.137409653942,0.6069394276969559,0.009443886198229556,0.0
2010-08-06 00:00:00+00:00,10079.65864631501,0.6050312971482846,0.0019081305486712274,0.0
2010-08-09 00:00:00+00:00,10116.195450973786,0.6220486981165625,0.017017400968277863,0.0
2010-08-10 00:00:00+00:00,10104.305499430146,0.6262815518133761,0.004232853696813588,0.0
2010-08-11 00:00:00+00:00,9930.350571102083,0.6819264134130247,0.055644861599648654,0.0
2010-08-12 00:00:00+00:00,9906.64480217948,0.6819440705643962,1.7657151371475166e-05,0.0
2010-08-13 00:00:00+00:00,9890.77958059495,0.6776940826960236,0.004249987868372607,0.0
2010-08-16 00:00:00+00:00,9875.188428778582,0.6819914203236339,0.3431443789756221,0.0
2010-08-17 00:00:00+00:00,9958.542089626331,0.6880939831234308,0.006102562799796957,0.0
2010-08-18 00:00:00+00:00,9956.08235145348,0.6895859191345468,0.0014919360111159408,0.0
2010-08-19 00:00:00+00:00,9847.75961204739,0.6873153937640668,0.00227052537047992,0.0
2010-08-20 00:00:00+00:00,9828.041427747663,0.6881983224027773,0.4590931911480884,0.0
2010-08-23 00:00:00+00:00,9856.766518942659,0.7191710065956224,0.7191710065956224,0.0
2010-08-24 00:00:00+00:00,9868.235921364627,0.7294160918967142,0.010245085301091805,0.0
2010-08-25 00:00:00+00:00,9863.51707097685,0.7303998766779475,0.0009837847812332878,0.0
2010-08-26 00:00:00+00:00,9830.595308508073,0.7313751569116371,0.000975280233689646,0.0
2010-08-27 00:00:00+00:00,9967.050736292866,0.7313809820196783,5.825108041146443e-06,0.0
2010-08-30 00:00:00+00:00,9847.967369356325,0.7830639732677359,0.05168299124805764,0.0
2010-08-31 00:00:00+00:00,9882.376994373799,0.7717279850408251,0.011335988226910843,0.0
2010-09-01 00:00:00+00:00,10049.12305670308,0.7764458288006689,0.004717843759843854,0.0
2010-09-02 00:00:00+00:00,10048.34266121697,0.8075090561771272,0.03106322737645828,0.0
2010-09-03 00:00:00+00:00,10082.806150603052,0.7842545272197451,0.023254528957382115,0.0
2010-09-07 00:00:00+00:00,10037.281344588802,0.8565676685594027,0.0723131413396576,0.0
2010-09-08 00:00:00+00:00,9994.335556896616,0.8833201835135788,0.026752514954176077,0.0
2010-09-09 00:00:00+00:00,10082.010066316463,0.886908920868187,0.0035887373546081847,0.0
2010-09-10 00:00:00+00:00,10031.13692458554,0.8860443859483865,0.0008645349198004304,0.0
2010-09-13 00:00:00+00:00,10063.011558111895,0.9640942791334964,0.07804989318510991,0.0
2010-09-14 00:00:00+00:00,10050.688882932756,0.9623749417329728,0.0017193374005236572,0.0
2010-09-15 00:00:00+00:00,9995.455829736287,0.9618909286198153,0.00048401311315748874,0.0
2010-09-16 00:00:00+00:00,9959.4073282101,1.0,0.03810907138018471,0.0
2010-09-17 00:00:00+00:00,9942.324626466865,1.0,0.0,0.0
2010-09-20 00:00:00+00:00,10074.462433452078,1.0,0.0,0.0
2010-09-21 00:00:00+00:00,10022.897126062611,1.0,0.0,0.0
2010-09-22 00:00:00+00:00,10093.79916113856,1.0,0.0,0.0
2010-09-23 00:00:00+00:00,9977.774593666563,1.0,0.0,0.0
2010-09-24 00:00:00+00:00,10138.9174921815,1.0,0.0,0.0
2010-09-27 00:00:00+00:00,10158.254219867982,1.0,0.0,0.0
2010-09-28 00:00:00+00:00,10171.709321235645,1.0,1.5,0.0
2010-09-29 00:00:00+00:00,10140.724022715533,1.0,0.0,0.0
2010-09-30 00:00:00+00:00,10107.111075763823,1.0,0.0,0.0
2010-10-01 00:00:00+00:00,10130.778668654017,1.0,0.0,0.0
2010-10-04 00:00:00+00:00,10094.954050120945,1.0,0.49999999999999994,0.0
2010-10-05 00:00:00+00:00,10234.334114292033,1.0,0.0,0.0
2010-10-06 00:00:00+00:00,10209.802650341153,1.0,0.0,0.0
2010-10-07 00:00:00+00:00,10220.278639665366,1.0,0.0,0.0
2010-10-08 00:00:00+00:00,10273.333058602044,1.0,1.6653345369377348e-16,0.0
2010-10-11 00:00:00+00:00,10279.049975789489,1.0,1.6653345369377348e-16,0.0
2010-10-12 00:00:00+00:00,10281.54328157938,1.0,1.6653345369377348e-16,0.0
2010-10-13 00:00:00+00:00,10371.06997469189,1.0,1.0,0.0
2010-10-14 00:00:00+00:00,10328.23440549185,1.0,0.0,0.0
2010-10-15 00:00:00+00:00,10332.58629031965,1.0,0.5,0.0
2010-10-18 00:00:00+00:00,10343.73348494728,0.9999999999999999,1.1102230246251565e-16,0.0
2010-10-19 00:00:00+00:00,10211.422223384197,1.0,0.5,0.0
2010-10-20 00:00:00+00:00,10316.1560960424,1.0,0.5,0.0
2010-10-21 00:00:00+00:00,10309.839600386333,1.0,0.5,0.0
2010-10-22 00:00:00+00:00,10310.27770734082,1.0,0.0,0.0
2010-10-25 00:00:00+00:00,10332.392130413844,1.0,0.0,0.0
2010-10-26 00:00:00+00:00,10284.877061713203,1.0,1.0,0.0
2010-10-27 00:00:00+00:00,10225.876924982822,1.0,0.0,0.0
2010-10-28 00:00:00+00:00,10217.216613458737,1.0,1.0,0.0
2010-10-29 00:00:00+00:00,10220.866075674938,1.0,0.5,0.0
2010-11-01 00:00:00+00:00,10173.08986951035,1.0,0.5,0.0
2010-11-02 00:00:00+00:00,10259.378945054572,1.0,0.5,0.0
2010-11-03 00:00:00+00:00,10290.10583095313,1.0,0.0,0.0
2010-11-04 00:00:00+00:00,10427.562352521118,1.0,0.0,0.0
2010-11-05 00:00:00+00:00,10424.223043668617,1.0,0.0,0.0
2010-11-08 00:00:00+00:00,10402.904486879252,1.0,0.0,0.0
2010-11-09 00:00:00+00:00,10349.709250716074,1.0,0.0,0.0
2010-11-10 00:00:00+00:00,10355.239921451828,1.0,0.0,0.0
2010-11-11 00:00:00+00:00,10313.502913970327,1.0,0.0,0.0
2010-11-12 00:00:00+00:00,10216.30112175434,0.9999999999999999,1.1102230246251565e-16,0.0
2010-11-15 00:00:00+00:00,10213.846375909592,1.0,1.1102230246251565e-16,0.0
2010-11-16 00:00:00+00:00,10074.250025457752,1.0,0.0,0.0
2010-11-17 00:00:00+00:00,10097.408839585052,1.0,0.0,0.0
2010-11-18 00:00:00+00:00,10206.31959564752,1.0,0.5,0.0
2010-11-19 00:00:00+00:00,10218.131468316427,1.0,0.0,0.0
2010-11-22 00:00:00+00:00,10216.695697054887,1.0,0.5,0.0
2010-11-23 00:00:00+00:00,10070.472431058823,1.0,0.5,0.0
2010-11-24 00:00:00+00:00,10199.16143721732,1.0,0.0,0.0
2010-11-26 00:00:00+00:00,10102.762838369168,1.0,0.5,0.0
2010-11-29 00:00:00+00:00,10085.74772357938,1.0,0.0,0.0
2010-11-30 00:00:00+00:00,10036.704302775861,1.0,1.0,0.0
2010-12-01 00:00:00+00:00,10257.418555630418,1.0,0.5,0.0
2010-12-02 00:00:00+00:00,10370.530987314012,1.0,0.0,0.0
2010-12-03 00:00:00+00:00,10389.634254359795,1.0,0.0,0.0
2010-12-06 00:00:00+00:00,10393.253565536534,1.0,0.0,0.0
2010-12-07 00:00:00+00:00,10382.19152806707,1.0,0.5,0.0
2010-12-08 00:00:00+00:00,10326.634173254197,0.9999999999999999,1.1102230246251565e-16,0.0
2010-12-09 00:00:00+00:00,10337.81125798894,1.0,0.5,0.0
2010-12-10 00:00:00+00:00,10385.361757227858,1.0,0.0,0.0
2010-12-13 00:00:00+00:00,10396.490577331777,0.9999999999999999,1.1102230246251565e-16,0.0
2010-12-14 00:00:00+00:00,10408.243133796397,1.0,1.1102230246251565e-16,0.0
2010-12-15 00:00:00+00:00,10377.856512019425,1.0,0.0,0.0
2010-12-16 00:00:00+00:00,10462.893766017558,1.0,0.0,0.0
