policy,promotable,development_total_return,development_cagr,development_sharpe,development_max_drawdown,development_annual_turnover,development_annual_meta_turnover,development_average_gross,development_max_gross,development_average_risky_budget,development_max_risky_budget,development_final_equity,development_meta_cost,development_extra_underlying_cost,development_financing_drag,wf_2022_total_return,wf_2022_cagr,wf_2022_sharpe,wf_2022_max_drawdown,wf_2022_annual_turnover,wf_2022_annual_meta_turnover,wf_2022_average_gross,wf_2022_max_gross,wf_2022_average_risky_budget,wf_2022_max_risky_budget,wf_2022_final_equity,wf_2022_meta_cost,wf_2022_extra_underlying_cost,wf_2022_financing_drag,wf_2023_total_return,wf_2023_cagr,wf_2023_sharpe,wf_2023_max_drawdown,wf_2023_annual_turnover,wf_2023_annual_meta_turnover,wf_2023_average_gross,wf_2023_max_gross,wf_2023_average_risky_budget,wf_2023_max_risky_budget,wf_2023_final_equity,wf_2023_meta_cost,wf_2023_extra_underlying_cost,wf_2023_financing_drag,score
persistent_budget_75_115_r56_s28,True,0.7909944225261683,0.21478092016924255,2.633816354437757,-0.029502729928066462,10.721446448485171,0.8744323211462749,0.36543883379461445,0.530527201859801,0.9583902645169114,1.0,17909.944225261683,13.095805654243753,0.0,0.0,0.15391749651696318,0.15448153104126616,2.717400058098933,-0.01647121253573247,8.636665506416394,0.27023823352543686,0.34794274373686324,0.48279349348007056,0.9537407519336221,0.9815650769138287,17264.260371582986,1.3465946186883921,0.0,0.0,0.037400029875678475,0.03753005968069134,0.7890376020780172,-0.02950272992806746,10.140886877736559,0.17626401362308072,0.3756891816073902,0.47218298605130077,0.9474675873210185,0.9646059761530223,17909.944225261683,0.8783219499209618,0.0,0.0,1.9035839647696644
persistent_budget_75_115_r28_s14,True,0.790218521655754,0.21460519392416533,2.6401385393530377,-0.029092555975313683,10.92965739655081,1.0896273221271715,0.36528398394789874,0.5119867614338651,0.9581640524794859,1.0,17902.18521655754,16.31864159301184,0.0,0.0,0.1554230215280188,0.1559929368802908,2.716671939685447,-0.01635968109292829,8.88572654420327,0.5051525236862985,0.3485375098843434,0.47980226529266934,0.9554619332790752,0.9931645957573225,17258.574467329363,2.5171703542415336,0.0,0.0,0.03729223120058611,0.037421879500329824,0.785976573278323,-0.02909255597531346,10.323638280999678,0.34851918376948476,0.3760227107326122,0.4688854773186717,0.9485967282995623,0.9739999982745517,17902.18521655754,1.7366678698685456,0.0,0.0,1.901246255035161
slow_budget_80_115_r28_s14,True,0.783819470268756,0.21315399670670088,2.628248883299195,-0.029185507502838437,10.781246482516249,0.9831668993306436,0.36352398549992365,0.5180874471242684,0.9530682362538533,0.9955215936817312,17838.19470268756,14.724252898659437,0.0,0.0,0.14900953848332144,0.14955444850208877,2.6931538856381394,-0.01622655288490149,8.376410495674502,0.1965456694481698,0.3400881101343863,0.4771855608063309,0.9323163230140253,0.9512437700142795,17189.61938943802,0.9793852533472119,0.0,0.0,0.037730638390286675,0.037861838475776066,0.7945207709087675,-0.029185507502839658,10.40017865813018,0.3860493778839547,0.3776896389334471,0.46489402935811,0.9527440656215878,0.9796874082537484,17838.19470268756,1.9236804800887015,0.0,0.0,1.8979666045145693
slow_budget_75_110_r28_s14,True,0.7399897026939193,0.20311970323357742,2.61649337261451,-0.0276285866331496,10.309131092773105,0.9976853746166292,0.3448831757696765,0.4978723391131566,0.9046906085086052,0.9931063513322622,17399.897026939194,14.941686685292542,0.0,0.0,0.14056058866663457,0.14107274469327646,2.693333217529491,-0.015349335305580025,7.937783728817854,0.19654567083554272,0.3218556784778745,0.4518772769112631,0.8823163230846083,0.9012437707233477,16799.34651135704,0.9793852602604783,0.0,0.0,0.03574844504672581,0.0358726340167872,0.7941765605757204,-0.027628586633148267,9.87439178747622,0.3860493778839535,0.35785900603574605,0.44010719286549327,0.9027440656215879,0.9296874082537485,17399.897026939194,1.9236804800886953,0.0,0.0,1.8835674982191464
persistent_budget_65_110_r28_s14,True,0.748168457437048,0.20500480433057255,2.635862703783335,-0.027522566274650884,10.771781534623411,1.4053600940556035,0.34723934923250704,0.484310959585471,0.911701240341174,1.0,17481.68457437048,21.04716651124705,0.0,0.0,0.15106413918099837,0.1516170464978146,2.7355807739659825,-0.015444239094394407,8.87697813619275,0.820961038377913,0.3351691103455545,0.47464091298729233,0.9186537728524876,0.9876478626243683,16896.589588819614,4.090841262579797,0.0,0.0,0.03462799297309238,0.03474822459610971,0.7727224947608864,-0.027522566274651328,10.004036268995774,0.5953683997266015,0.35450788265075434,0.44401373537948113,0.8946091133973372,0.9460051305053102,17481.68457437048,2.9667152302988145,0.0,0.0,1.8807155783736458
slow_budget_65_105_r28_s14,True,0.6742172678965577,0.1877409873307352,2.5928698964803507,-0.025132461177777565,9.627809170620965,1.0772185332193673,0.3156960327770639,0.46721650556363503,0.8288751740516582,0.9890162327875538,16742.172678965577,16.13280321077076,0.0,0.0,0.12696664093817467,0.12742654820119048,2.6941904245076254,-0.013911379839106841,7.254584793015166,0.22462362559582053,0.2923007013205681,0.4115825686483726,0.8012186550445879,0.8228500245954851,16214.081703170734,1.1192974491862073,0.0,0.0,0.032569897294372874,0.03268287072087439,0.7925203543414026,-0.025132461177776788,9.10675929297785,0.4411992890102319,0.3268262420360908,0.40029132637686526,0.8245646464246715,0.8553570380042838,16742.172678965577,2.1984919772442204,0.0,0.0,1.8564297441270736
persistent_budget_75_120_vol18,True,0.8615391316264334,0.23055049316468845,2.5021725101631307,-0.043207821619541176,12.918782743603295,0.9465912181778315,0.4476516994713044,0.6073988156350631,1.1727677012406732,1.2,18615.391316264333,14.17648264764571,0.0,421.7237159635988,0.17621622327866504,0.17686804408749124,2.451572477261844,-0.02202114886116613,10.527042453272276,0.0,0.43757836040449666,0.6073988156350631,1.1999999999999997,1.2,18049.171809417498,0.0,0.0,159.9999999999999,0.03137094116148864,0.03147969275715967,0.5378413906576026,-0.04320782161954173,12.618884895695006,0.0,0.475935189544827,0.5948840758228047,1.1999999999999997,1.2,18615.391316264333,0.0,0.0,159.9999999999999,1.7640440251656706
persistent_budget_75_125_vol22,True,0.915661786999544,0.2423812228106479,2.473207425242504,-0.04637700568404046,13.418040464804559,0.8349578279896792,0.47150324565766605,0.6474819080456706,1.2341487509657652,1.25,19156.61786999544,12.504621776226875,0.0,561.9711842065324,0.1801419821376824,0.18080940875411478,2.4039061416296548,-0.023144913284413038,10.965669222158622,0.0,0.4558107920880173,0.6327070996198574,1.25,1.25,18613.48544076669,0.0,0.0,199.99999999999997,0.029179512400143937,0.029280559757484337,0.4852836214266779,-0.04637700568404102,13.144671766348965,0.0,0.4957658224425281,0.6196709123154216,1.25,1.25,19156.61786999544,0.0,0.0,199.99999999999997,1.7427823465963028
static_40_60_control,False,0.8204707679247509,0.22141950902895458,2.640682939393805,-0.03109170752669077,10.925445876606233,0.667719378427788,0.38142588914574016,0.530527201859801,1.0,1.0,18204.70767924751,10.0,0.0,0.0,0.16055286113995582,0.1611428649120401,2.689904155422787,-0.017522544870855805,8.772535377726896,0.0,0.36464863367041384,0.5061656796958859,1.0,1.0,17502.580212610283,0.0,0.0,0.0,0.0401156548410706,0.04025530803631927,0.8006302368122221,-0.031091707526692325,10.515737413079169,0.0,0.39661265795402245,0.4957367298523373,1.0,1.0,18204.70767924751,0.0,0.0,0.0,1.9204602253985033
inverted_persistent_budget_control,False,0.7269953255038535,0.20011248444190555,2.62289421501374,-0.02857246310016448,10.903623669648024,1.571105295997871,0.34658889741062177,0.47664113493115834,0.9106156852036028,1.0,17269.953255038534,23.52942488650241,0.0,0.0,0.15406118467915886,0.1546257801826063,2.7099877333395344,-0.016322289700195447,8.81864034121672,0.5236563235975049,0.34503191338899286,0.47664113493115834,0.9462814743244006,0.9918099878722744,16677.986130639805,2.6093746180892388,0.0,0.0,0.03549392113423111,0.035617210781581754,0.7778294159793523,-0.028572463100164036,10.41286032744346,0.9098000042324269,0.3583229046050639,0.45624186622954843,0.9033769002102806,0.9465283251076142,17269.953255038534,4.533525007913966,0.0,0.0,1.866439484755961
