year,V75_original,V142_futures_proxy
2007,,0.0
2008,,0.05801577309153294
2009,,-0.005366955424605635
2010,,0.025831073864220677
2011,,-0.04693632844403406
2012,,-0.020944080577194324
2013,,0.08075739340198629
2014,,0.05030172741643546
2015,,0.01651226132922945
2016,,-0.04498921579051918
2017,,0.040395645317559126
2018,,-0.0003794544885442619
2019,,-0.002391283859308424
2020,,0.02740737584217534
2021,1.044015828086435,0.019846576593130605
2022,0.01081155462862804,0.0007236093705826896
2023,0.1485191407183737,0.008109028594028178
2024,0.4195522030251728,0.03159718899370301
2025,0.23816495433729012,0.04856303729268663
2026,0.04425555083890087,0.002157470580792742
