policy,audit,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,average_gross,max_gross,max_stress_gross,minimum_margin_buffer,liquidations,forced_exits,costs,funding_pnl,financing_drag,rebalance_events,average_risk_budget,final_equity
diversified_growth_k3_convex,base,development,3.012380358578117,0.5901995864179892,1.2265756095237095,-0.24338058751656433,14.534535870979996,0.12380060485991148,0.8608547147475225,0.8251721040241428,0.7466024595547054,0,0,4202.295305849055,-4055.092743507785,0.0,520,0.12229543269207946,40123.80358578117
diversified_growth_k3_convex,base,validation_2024,0.1744196129578497,0.17454506605848996,0.7388561410814571,-0.13510404567338563,16.93709063897508,0.1331531847544548,0.7484240108758441,0.737599325163633,0.8045025909062572,0,0,2155.2129791732523,-854.6268558478528,0.0,236,0.13276665683113426,11744.196129578497
diversified_growth_k3_convex,base,holdout_2025,-0.04306827869422736,-0.04321206757520912,-0.27075130068731323,-0.11859475527192964,20.28260676084117,0.18347840082690753,0.7297172463279085,0.72813723069075,0.8785444235363455,0,1,2920.316269550897,-450.72698081559247,0.0,199,0.1832966669264703,9569.317213057726
diversified_growth_k3_convex,base,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k3_convex,base,full,3.5092710615824805,0.31551689063919763,0.9283776486049368,-0.24338058751656433,14.688778258735894,0.12519449140187086,0.8608547147475225,0.8251721040241428,0.7466024595547054,0,1,9277.824554573202,-5360.44658017123,0.0,955,0.12426974520487484,45092.710615824806
diversified_growth_k3_convex,severe,development,1.761998027080379,0.40380470992570805,1.0556062396022095,-0.2602967920638166,13.433473040842884,0.11338282807957575,0.8623669632326253,0.8251721040241429,0.7538682015861491,0,0,5729.65634881212,-6182.100095987707,0.0,492,0.11170963167519,27619.98027080379
diversified_growth_k3_convex,severe,validation_2024,0.03929950114830261,0.03932611789363949,0.5194425639854132,-0.07778387877910642,8.946109256713724,0.07621311686167036,0.18143693365947622,0.1774889519066571,0.9520851642494139,0,0,1475.7047833120744,-543.4401637330088,0.0,223,0.07592839511996563,10392.995011483026
diversified_growth_k3_convex,severe,holdout_2025,0.001407341724762201,0.001412149021934539,0.053469124130587665,-0.040045930337705093,7.766605434772749,0.09573211902172198,0.23919676916866928,0.23848539804122906,0.9218037708434728,0,1,1362.1307248980022,-225.22111458730092,0.0,199,0.095597608203947,10014.073417247622
diversified_growth_k3_convex,severe,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k3_convex,severe,full,1.874583006895525,0.21197881329270696,0.7992632206063335,-0.2602967920638166,10.363207260039834,0.09316911856573756,0.8623669632326253,0.8251721040241429,0.7538682015861491,0,1,8567.491857022196,-6950.761374308017,0.0,914,0.0921798536585357,28745.83006895525
diversified_growth_k3_convex,extreme,development,1.3306427127831109,0.3264330164805034,0.8398304206140292,-0.2767220062894703,13.704568770603396,0.11495910036800899,0.9233374845607143,0.9081028144223438,0.6125810670458414,0,0,8999.305272984628,-9298.5895577317,0.0,409,0.11324370155490653,23306.42712783111
diversified_growth_k3_convex,extreme,validation_2024,-0.0013707224157180065,-0.001371632476310114,-0.0001771159084392889,-0.06261446917406399,6.203779143569237,0.051165988234597753,0.10498279318511418,0.0930279841831888,0.9627257771132555,0,0,1411.905911812967,-417.9080688980396,0.0,102,0.05087378449123175,9986.29277584282
diversified_growth_k3_convex,extreme,holdout_2025,-0.011841805327803212,-0.011881985775518689,-0.41542996961216727,-0.0326787004122191,3.7055118294853093,0.046909301497589415,0.11358230978664095,0.10138765744918736,0.9669764290196706,0,1,859.3124982140423,-113.09131073529227,0.0,71,0.04645302120950134,9881.581946721968
diversified_growth_k3_convex,extreme,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k3_convex,extreme,full,1.2998868618718835,0.16374469695420557,0.6115875396809485,-0.3006293540736026,9.27516646479339,0.0805823924481578,0.9233374845607143,0.9081028144223438,0.6125810670458414,0,1,11270.523683011637,-9829.588937365032,0.0,582,0.07951021976476406,22998.868618718836
diversified_growth_k3_convex,delay_1d,development,3.679122975226969,0.6739438962023887,1.2964880486889616,-0.23736282875284886,16.44097551394932,0.14468561447896605,1.0199435581171437,1.0193203258776797,0.6824697594228493,0,0,5594.443858897822,-5176.612316194169,0.20855603985385932,497,0.14325990753648013,46791.22975226969
diversified_growth_k3_convex,delay_1d,validation_2024,0.22207822112548814,0.2222410666011294,0.7421180363026427,-0.1640768381637563,15.805964504573161,0.12059970037513738,0.7886129799730607,0.7167958638023925,0.8151847673662014,0,0,2347.1161309745344,-904.1591075283379,0.0,238,0.12024364770032347,12220.782211254882
diversified_growth_k3_convex,delay_1d,holdout_2025,-0.001034782088447317,-0.0010383124429151902,0.024683564039255874,-0.0565492615886275,11.237349536855929,0.12005526230513755,0.4406695651192437,0.43960575127390217,0.9174059142648798,0,1,1972.2958734367753,-259.5056745348281,0.0,200,0.11993665274751314,9989.652179115526
diversified_growth_k3_convex,delay_1d,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k3_convex,delay_1d,full,4.712337134884587,0.3733995385817004,1.0026538123677395,-0.23736282875284886,13.881355676891983,0.12276552512862149,1.0199435581171437,1.0193203258776797,0.6824697594228493,0,1,9913.85586330913,-6340.277098257335,0.20855603985385932,935,0.12190117193004806,57123.37134884587
diversified_growth_k4_convex,base,development,2.879482963069342,0.5724174480242266,1.346035210844618,-0.26737415725348124,11.526207266676215,0.10811703330388771,0.9196528716685025,0.9028327846031082,0.7090521880760916,0,0,2934.110241621144,-4321.75360721896,0.0,418,0.10637260276916745,38794.82963069342
diversified_growth_k4_convex,base,validation_2024,0.2130488024700743,0.21320446718721753,0.9953172209047504,-0.1429416723916057,10.224095433682548,0.10391546474134765,0.7889643814451992,0.7781611592895725,0.7838450903794483,0,0,1316.2933537428296,-721.8454964981241,0.0,207,0.10341106504259258,12130.488024700742
diversified_growth_k4_convex,base,holdout_2025,-0.041026110394249415,-0.041163228859449785,-0.3081761536750551,-0.0897716871700367,15.277501734938797,0.14006295525123477,0.683418457541917,0.6816011036148395,0.8693242384024775,0,1,2182.6667154739407,-333.0342490991683,0.0,187,0.139948358736066,9589.738896057506
diversified_growth_k4_convex,base,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_convex,base,full,3.5129331983177865,0.3157113508819749,1.0410498448360628,-0.26737415725348124,10.918482659299917,0.10341015955644792,0.9196528716685025,0.9028327846031082,0.7090521880760916,0,1,6433.070310837914,-5376.633352816254,0.0,812,0.10234559082037437,45129.331983177864
diversified_growth_k4_convex,severe,development,1.8787201278816732,0.4233384574118315,1.1380668919944021,-0.2752152928557483,11.346029075804926,0.10422854602999446,0.9234238878388421,0.9073136731618427,0.7362303508115664,0,0,4650.387360289072,-7031.04185331285,0.0,407,0.10238945593122058,28787.20127881673
diversified_growth_k4_convex,severe,validation_2024,0.08717259652703291,0.08723296827696103,1.2020908468415927,-0.04192193443365344,5.803918036864139,0.06148213106986075,0.19322885323147262,0.18396329934488576,0.9442564207815384,0,0,1028.6265495413884,-526.3698963734623,0.0,175,0.06102422656217769,10871.725965270329
