timestamp,equity,gross,turnover,costs,funding_pnl,price_pnl,missing_penalties,trade_events,forced_exits
2023-05-01 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-02 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-02 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-02 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08 00:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08 08:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08 16:00:00+00:00,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
