asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_hyperliquid,exit_binance,exit_hyperliquid,forecast_spread,predicted_edge_bps,entry_basis_bps,holding_blocks,holding_hours,exit_reason,price_pnl,funding_pnl,entry_cost,exit_cost,penalty,capital_before,equity_after,net_return,component,component_weight
DOGE,-1,2023-11-12 00:00:00+00:00,2023-11-12 00:00:00+00:00,2023-11-13 00:00:00+00:00,0.07851,0.078653,0.07802,0.078137,-0.0023489886,35.234829,18.19767241178453,3,24,fixed_horizon,1.6530935788990782,30.612150768390716,7.494379215588309,7.446407711539126,0.0,10000.0,10017.324457420164,0.0017324457420162531,fund_l3_e32_h3_b40,0.3333333333333333
DOGE,-1,2024-03-04 08:00:00+00:00,2024-03-04 08:00:00+00:00,2024-03-05 08:00:00+00:00,0.1639,0.16444,0.17835,0.17848,-0.0031664377,47.4965655,32.89276279893823,3,24,fixed_horizon,12.499314761484698,38.16157137492063,7.50736282094941,8.1587752798909,0.0,10017.324457420164,10052.319205455726,0.0034934226383813716,fund_l3_e32_h3_b40,0.3333333333333333
DOGE,-1,2024-03-05 08:00:00+00:00,2024-03-05 08:00:00+00:00,2024-03-06 08:00:00+00:00,0.17835,0.17848,0.16806,0.1684,-0.0021559752999999997,32.339629499999994,7.286383193765167,3,24,fixed_horizon,-5.911512427237938,27.265406386512772,7.533589212182656,7.1035266831011326,0.0,10052.319205455726,10059.035983519718,0.0006681819316229909,fund_l3_e32_h3_b40,0.3333333333333333
DOGE,-1,2023-12-06 16:00:00+00:00,2023-12-06 16:00:00+00:00,2023-12-07 16:00:00+00:00,0.10084,0.10113,0.09634,0.09634,-0.00117390295,17.60854425,28.717155943599767,3,24,fixed_horizon,14.347807248737269,14.32371140675043,7.494379215588309,7.149660777638043,0.0,10000.0,10014.027478662261,0.0014027478662261839,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2023-12-07 16:00:00+00:00,2023-12-07 16:00:00+00:00,2023-12-08 16:00:00+00:00,0.09634,0.09634,0.09795,0.098021,-0.0012208757,18.3131355,0.0,3,24,fixed_horizon,-3.6872695851011628,13.464577657046245,7.504891940041664,7.6330764914983655,0.0,10014.027478662261,10008.666818302667,-0.0005353151238117748,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2023-12-09 08:00:00+00:00,2023-12-09 08:00:00+00:00,2023-12-10 08:00:00+00:00,0.10484,0.10493,0.10013,0.10014,-0.00117896335,17.684450249999998,8.580827146139864,3,24,fixed_horizon,3.8141453759232036,8.67909031565502,7.500874457883587,7.1611771353403535,0.0,10008.666818302667,10006.49800240102,-0.0002166937855979656,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2024-02-29 16:00:00+00:00,2024-02-29 16:00:00+00:00,2024-03-01 16:00:00+00:00,0.1343,0.13472,0.12443,0.12462,-0.00146136795,21.920519249999998,31.224469648246448,3,24,fixed_horizon,8.548694198451244,8.13912685424364,7.499249065002013,6.942561815622449,0.0,10006.49800240102,10008.74401257309,0.0002244551661860772,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2024-03-02 00:00:00+00:00,2024-03-02 00:00:00+00:00,2024-03-03 00:00:00+00:00,0.13952,0.13978,0.14218,0.14242,-0.0015123754500000002,22.685631750000002,18.617978883134374,3,24,fixed_horizon,0.7161649180278573,11.90722316386211,7.50093231019717,7.643270087655261,0.0,10008.74401257309,10006.223198257127,-0.0002518612038430179,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2024-03-03 08:00:00+00:00,2024-03-03 08:00:00+00:00,2024-03-04 08:00:00+00:00,0.13137,0.13164,0.1639,0.16444,-0.00124672515,18.70087725,20.531545937225804,3,24,fixed_horizon,-10.26445960947467,47.862013476712534,7.499043116355579,9.361757411597242,0.0,10006.223198257127,10026.959951596413,0.0020723856472537605,fund_l12_e16_h3_b40,0.3333333333333333
DOGE,-1,2024-03-04 08:00:00+00:00,2024-03-04 08:00:00+00:00,2024-03-05 08:00:00+00:00,0.1639,0.16444,0.17835,0.17848,-0.00113927095,17.08906425,32.89276279893823,3,24,fixed_horizon,12.511337639959208,38.19827834196583,7.51458402567805,8.166623067194674,0.0,10026.959951596413,10061.988360485466,0.0034934226383815936,fund_l12_e16_h3_b40,0.3333333333333333
