audit,name,fee_bps_per_side,slippage_bps_per_side,execution_delay_blocks,missing_funding_penalty_bps,forced_exit_extra_bps,total_return,cagr,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,funding_pnl,trade_count,forced_exits,observations_per_year,development_cagr,development_sharpe,development_max_drawdown,holdout_return,final_return,component_forced_exits
base,base,5.0,2.5,0,8.0,15.0,0.005943229456873533,0.001872900006893774,-0.000970923082817432,1.0313925244585616,3.5381024123109963,0.004838829672509943,1.0727508751030088,84.30261371144238,120.36056364199297,5,0,1095.7275,0.0035504389437914785,1.4199028574135601,-0.000970923082817432,0.0,0.0,0
severe,severe,5.5,6.0,0,8.0,15.0,0.0014449141744790062,0.00045603752106182505,-0.0018106507399182625,0.2619396523668147,3.5373880212787654,0.004838829672509944,1.0727508751030088,128.91565045956787,120.01768875212805,5,0,1095.7275,0.000863958958098987,0.3604619566454595,-0.0018106507399182625,0.0,0.0,0
extreme,extreme,7.5,10.0,0,8.0,15.0,-0.0052628933606992945,-0.0016648734208117855,-0.0053578682173461845,-0.8093827112413129,3.5363175044449675,0.004838829672509944,1.072750875103009,195.38492491628597,119.50608528092353,5,0,1095.7275,-0.003151097541867265,-1.1140792696903554,-0.0053578682173461845,0.0,0.0,0
delay_8h,delay_8h,5.0,2.5,1,8.0,15.0,0.001743741360686002,0.0005502958652268131,-0.0017015301271906536,0.3865695408565512,3.1657273768979235,0.004282875564196813,1.010285571812101,75.23347908587492,98.71758130433093,5,0,1095.7275,0.0010425744584841024,0.5319859310426233,-0.0017015301271906536,0.0,0.0,0
